Date,No.,Description,Debit,Credit
4/6/2015,4214,LOVE S TRAVEL 00095182 SPRINGVILLE UT 84663 US,49.04,
4/6/2015,4214,DRIVER LICENSE OREM OREM UT 84057 US,20,
4/6/2015,2948,GREYHOUND LINES 4553 PROVO UT 84601 US,367.5,
4/6/2015,2948,USAIRWAYS 0372397802496 800-428-4322 AZ 85034 US,87.6,
4/6/2015,8673,GREYHOUND LINES CNP 214-849-8966 TX 75201 US,196,
4/6/2015,5993,THE HOME DEPOT 4407 LINDON UT 84042 US,35.86,
4/6/2015,5993,THE HOME DEPOT 4407 LINDON UT 84042 US,10.63,
4/6/2015,8903,EXPEDIA*1102121664270 EXPEDIA.COM NV 89144 US,62.71,
4/6/2015,8903,EXPEDIA*1102128283965 EXPEDIA.COM NV 89144 US,62.71,
4/6/2015,8461,TRAVEL INSURANCE POLICY 800-729-6021 VA 23294 US,20.13,
4/6/2015,5993,PRIME TRAILER (SLC PARTS) WEST VALLEY UT 84120 US,90.77,
4/6/2015,7952,PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US,3962.8,
4/7/2015,1481,USPS 49700401634502781 PLEASANT GROV UT 84062 US,5.75,
4/7/2015,8461,UNITED 0162444898710 800-932-2732 TX 77002 US,187.6,
4/7/2015,8461,KEARNEY TOWING & REPAIR KEARNEY NE 68847 US,330.73,
4/7/2015,8461,SQ *REPAIR KELLY CUELL Moab UT 84532 US,42.7,
4/7/2015,8461,DAYS INN OF LEHI LEHI UT 84043 US,143.34,
4/7/2015,8461,DAYS INN OF LEHI LEHI UT 84043 US,143.34,
4/7/2015,5993,LES SCHWAB TIRES #0508 LINDON UT 84042 US,21.91,
4/7/2015,7952,POSTSCAN MAIL 800-624-5866 CA 92801 US,19.95,
4/7/2015,710,WWW CALLFIRE COM 213-221-2289 CA 90401 US,150,
4/8/2015,4214,BYUCOPY CENTER PROVO UT 84602 US,20.97,
4/8/2015,2948,RIA FINANCIAL SERVICES 562-3452100 CA 90620 US,950.79,
4/8/2015,2948,CASH ADVANCE FEE,28.52,
4/8/2015,2948,MAVERIK #474 SALT LAKE CIT UT 84104 US,86.11,
4/8/2015,8461,SQ *REPAIR KELLY CUELL Moab UT 84532 US,,42.7
4/8/2015,7952,UNITED 0162445015892 800-932-2732 TX 77002 US,193.6,
4/8/2015,7952,UNITED 0162445017584 800-932-2732 TX 77002 US,135,
4/8/2015,7952,AMERICAN AI 0017485907670 NORWALK CT 74133 US,244.6,
4/8/2015,710,RINGCENTRAL INC 650-4724100 CA 94404 US,0.32,
4/8/2015,710,RINGCENTRAL INC 650-4724100 CA 94404 US,0.32,
4/8/2015,710,RINGCENTRAL INC 650-4724100 CA 94404 US,0.32,
4/8/2015,710,RINGCENTRAL INC 650-4724100 CA 94404 US,0.32,
4/8/2015,710,RINGCENTRAL INC 650-4724100 CA 94404 US,65.34,
4/8/2015,710,RINGCENTRAL INC 650-4724100 CA 94404 US,6.03,
4/8/2015,710,MACEYS PLEASANT GRO PLEASANT GROV UT 84062 US,9.15,
4/8/2015,710,WWW CALLFIRE COM 213-221-2289 CA 90401 US,1,
4/9/2015,1481,USPS 49486201334506097 LEHI UT 84043 US,5.75,
4/9/2015,2948,1405 - MOTEL 6 LEHI UT 84043 US,210.5,
4/9/2015,2948,WAL-MART #5270 LINDON UT 84042 US,17.47,
4/9/2015,2948,WAL-MART #5270 LINDON UT 84042 US,127.13,
4/9/2015,9122,LOVE S COUNTRY00003491 YUMA AZ 85365 US,56.58,
4/9/2015,9122,DELTA AIR 0062306769700 DELTA.COM CA 30354 US,233.6,
4/9/2015,9122,TRAVEL INSURANCE POLICY 800-729-6021 VA 23294 US,21,
4/9/2015,7952,PROGRESSIVE *INSURANCE 800-776-4737 OH 44143 US,,2821.8
4/9/2015,710,MPP N/A 00000 HK,87.5,
4/9/2015,2423,EXPEDIA*1102373827025 EXPEDIA.COM NV 89144 US,78.86,
4/9/2015,9356,CAPITAL ONE MEMBER FEE,59,
4/9/2015,9356,INTEREST CHARGE:CASH ADVANCES,11.2,
4/10/2015,8903,MIDLANDS CARRIER TRANSICO 402-8955500 NE 68138 US,106.73,
4/10/2015,2948,AZ MOTOR VEHICLE DIV W 602-255-0072 AZ 85012 US,3,
4/10/2015,9122,DELTA AIR 0062193601196 SALT LAKE CTY UT 30354 US,363,
4/10/2015,8673,PADI AMERICAS 949-8587234 CA 92688 US,54.95,
4/10/2015,9356,SENAWAVE COMMUNICATION 801-2179000 UT 84119 US,195,
4/10/2015,710,RINGCENTRAL INC 650-4724100 CA 94404 US,1199.85,
4/10/2015,710,MPP N/A 00000 HK,23.7,
4/10/2015,710,WWW CALLFIRE COM 213-221-2289 CA 90401 US,527.96,
4/11/2015,4214,WAL-MART #5270 LINDON UT 84042 US,90.69,
4/11/2015,2948,AMTRAK .COM 0990654106170 WASHINGTON DC 20002 US,87,
