"Date","No.","Description","Debit","Credit"
"4/6/2015","4461","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1099.85",""
"4/7/2015","4461","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","2401.65",""
"4/8/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1131.50",""
"4/8/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","114.73",""
"4/8/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","6.46",""
"4/13/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 13-APR","","10000.00"
"4/14/2015","4461","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","2459.09",""
"4/14/2015","4461","NATIONALEASE OF UTAH 208-436-6620 UT 84120 US","6780.93",""
"4/14/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1302.26",""
"4/14/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","628.84",""
"4/14/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1367.80",""
"4/14/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1112.18",""
"4/14/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1180.07",""
"4/14/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1096.43",""
"4/14/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","628.84",""
"4/14/2015","4461","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1137.47",""
"4/15/2015","4461","LOANSTAR LEASING 801-433-5425 UT 84119 US","1080.84",""
"4/16/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 16-APR","","15000.00"
"4/18/2015","4461","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","3251.35",""
"4/18/2015","4461","NATIONALEASE OF UTAH 208-436-6620 UT 84120 US","6629.08",""
"4/18/2015","4461","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1029.54",""
"4/18/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1358.29",""
"4/18/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","628.84",""
"4/18/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1163.81",""
"4/18/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1002.97",""
"4/18/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1053.08",""
"4/18/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1258.80",""
"4/18/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","628.84",""
"4/21/2015","4461","LOANSTAR LEASING 801-433-5425 UT 84119 US","1080.84",""
"4/21/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 21-APR","","20000.00"
"4/23/2015","4461","LOANSTAR LEASING 801-433-5425 UT 84119 US","1080.84",""
"4/25/2015","4461","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","3090.90",""
"4/25/2015","4461","NATIONALEASE OF UTAH 208-436-6620 UT 84120 US","6591.30",""
"4/25/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1255.28",""
"4/25/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","628.61",""
"4/25/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1246.87",""
"4/25/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1034.91",""
"4/25/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1093.83",""
"4/25/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","628.84",""
"4/25/2015","4461","INL - BIRMINGHAM 205-2519545 AL 35203 US","1390.25",""
"4/27/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 27-APR","","10000.00"
"4/28/2015","4461","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1386.62",""
"4/29/2015","4461","K B D LEASING 503-8606592 OR 97402 US","8000.00",""
"4/29/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 29-APR","","10000.00"
"5/2/2015","4461","IDEALEASE OF EL PASO 915-858-4644 TX 79936 US","2879.83",""
"5/2/2015","4461","NATIONALEASE OF UTAH 208-436-6620 UT 84120 US","6151.18",""
"5/2/2015","4461","LOANSTAR LEASING 801-433-5425 UT 84119 US","1080.84",""
"5/2/2015","4461","MCCANDLESS RENTAL & LEASI N LAS VEGAS NV 89030 US","1146.29",""
"5/4/2015","4461","CAPITAL ONE ONLINE PYMT AuthDate 04-MAY","","20000.00"
