,,,,,,,,,,
7/22/2015,3:51,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,49, , 
7/22/2015,3:51,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-333.3,-1,51977.69
7/22/2015,6:12,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,133,2.5,-332.37,-1, 
7/22/2015,6:12,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,4.21,2.86,-12.05, , 
7/22/2015,6:12,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,24.24,2.5,-60.58, , 
7/22/2015,6:12,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,12.58, , 
7/22/2015,6:12,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-392.42,-1,51584.27
7/22/2015,10:35,FP #2S ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,117.96,2.6,-306.58,-1, 
7/22/2015,10:35,FP RFR ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  ,30.02,2.6,-78.02, , 
7/22/2015,10:35,FP Discount ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,48.84, , 
7/22/2015,10:35,FP TOTAL ,TA-DENVER WEST TRAVEL CTR I-70 & WARD ROAD EXIT 266  ,WHEAT RIDGE ,CO  , , ,-335.76,-1,51247.51
7/22/2015,10:51,Subtract ,  , , , , ,-131.35, ,51116.16
7/22/2015,11:19,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,121.31,3.02,-366.25,-1, 
7/22/2015,11:19,FP RFR ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,32.86,2.72,-89.34, , 
7/22/2015,11:19,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,83.56, , 
7/22/2015,11:19,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-372.03,-1,50743.13
7/22/2015,14:23,FP #2S ,TA-BLOOMSBURG EXIT 34 I-80  ,BLOOMSBURG ,PA  ,79.99,2.99,-239.09,-1, 
7/22/2015,14:23,FP Discount ,TA-BLOOMSBURG EXIT 34 I-80  ,BLOOMSBURG ,PA  , , ,24.4, , 
7/22/2015,14:23,FP TOTAL ,TA-BLOOMSBURG EXIT 34 I-80  ,BLOOMSBURG ,PA  , , ,-214.69,-1,50527.44
7/22/2015,14:52,FP #2S ,WILCO #179 4020 JONES SAUSAGE ROAD  ,GARNER ,NC  ,41.73,2.6,-108.47,-1, 
7/22/2015,14:52,FP TOTAL ,WILCO #179 4020 JONES SAUSAGE ROAD  ,GARNER ,NC  , , ,-108.47,-1,50417.97
7/22/2015,16:36,Load ,  , , , , ,30187.28,-4,80601.25
7/22/2015,21:37,FP #2S ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  ,161.22,2.82,-454.49,-1, 
7/22/2015,21:37,FP OTH ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  ,9.83,2.86,-28.09, , 
7/22/2015,21:37,FP RFR ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  ,46.4,2.82,-130.79, , 
7/22/2015,21:37,FP Discount ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  , , ,109.21, , 
7/22/2015,21:37,FP TOTAL ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  , , ,-504.16,-1,80096.09
7/22/2015,22:33,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,174.69,2.46,-429.57,-1, 
7/22/2015,22:33,FP OTH ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,6.63,2.85,-18.88, , 
7/22/2015,22:33,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,66.91, , 
7/22/2015,22:33,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-381.54,-1,79713.55
7/22/2015,22:35,FP #2S ,TA-BARKEYVILLE 5644 S R 8  ,HARRISVILLE ,PA  ,120.84,3.03,-366.04,-1, 
7/22/2015,22:35,FP RFR ,TA-BARKEYVILLE 5644 S R 8  ,HARRISVILLE ,PA  ,8.91,3.03,-26.99, , 
7/22/2015,22:35,FP Discount ,TA-BARKEYVILLE 5644 S R 8  ,HARRISVILLE ,PA  , , ,48.01, , 
7/22/2015,22:35,FP TOTAL ,TA-BARKEYVILLE 5644 S R 8  ,HARRISVILLE ,PA  , , ,-345.02,-1,79367.53
