,,,,,,,,,,
7/23/2015,1:58,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,164.93,2.79,-460,-1, 
7/23/2015,1:58,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,5.32,2.85,-15.16, , 
7/23/2015,1:58,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,20.97,2.79,-58.48, , 
7/23/2015,1:58,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,23.79, , 
7/23/2015,1:58,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-509.85,-1,78856.68
7/23/2015,2:18,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,116.6,2.5,-291.39,-1, 
7/23/2015,2:18,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,5.35,2.86,-15.28, , 
7/23/2015,2:18,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,10.99,2.5,-27.46, , 
7/23/2015,2:18,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,45.67, , 
7/23/2015,2:18,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-288.46,-1,78567.22
7/23/2015,4:35,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,107.23,2.63,-281.92,-1, 
7/23/2015,4:35,FP OTH ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,10.31,2.78,-28.64, , 
7/23/2015,4:35,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,35.28, , 
7/23/2015,4:35,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-275.28,-1,78290.94
7/23/2015,5:15,FP #2S ,PILOT #238 2495 210TH AVE  ,PERCIVAL ,IA  ,145.41,2.6,-377.93,-1, 
7/23/2015,5:15,FP OTH ,PILOT #238 2495 210TH AVE  ,PERCIVAL ,IA  ,6.23,2.8,-17.45, , 
7/23/2015,5:15,FP TOTAL ,PILOT #238 2495 210TH AVE  ,PERCIVAL ,IA  , , ,-395.38,-1,77894.56
7/23/2015,9:25,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,70.44,2.65,-186.37,-1, 
7/23/2015,9:25,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,10,2.86,-28.59, , 
7/23/2015,9:25,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,10.02,2.65,-26.52, , 
7/23/2015,9:25,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,28.82, , 
7/23/2015,9:25,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-212.66,-1,77680.9
7/23/2015,11:30,FP #2S ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,133.01,2.46,-327.07,-1, 
7/23/2015,11:30,FP Discount ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,39.5, , 
7/23/2015,11:30,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-287.57,-1,77392.33
7/23/2015,13:40,Check ,  , , , , ,-47000,-1.5,30390.83
7/23/2015,14:29,FP #2S ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,92.37,2.73,-252.08,-1, 
7/23/2015,14:29,FP RFR ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,30.39,2.73,-82.92, , 
