,,,,,,,,,,
7/24/2015,0:10,FP RFR ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  ,3.63,2.76,-10.03,-1, 
7/24/2015,0:10,FP TOTAL ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  , , ,-10.03,-1,40241.53
7/24/2015,2:09,FP #2S ,TA-HURRICANE I-64 AND RT 34 MM #39  ,HURRICANE ,WV  ,74.9,2.78,-208.16,-1, 
7/24/2015,2:09,FP RFR ,TA-HURRICANE I-64 AND RT 34 MM #39  ,HURRICANE ,WV  ,12.71,2.78,-35.31, , 
7/24/2015,2:09,FP Discount ,TA-HURRICANE I-64 AND RT 34 MM #39  ,HURRICANE ,WV  , , ,40.28, , 
7/24/2015,2:09,FP TOTAL ,TA-HURRICANE I-64 AND RT 34 MM #39  ,HURRICANE ,WV  , , ,-203.19,-1,40037.34
7/24/2015,3:06,FP #2S ,TA-ROGERS 13400 ROGERS DRIVE  ,ROGERS ,MN  ,70.95,2.76,-195.75,-1, 
7/24/2015,3:06,FP Discount ,TA-ROGERS 13400 ROGERS DRIVE  ,ROGERS ,MN  , , ,22.99, , 
7/24/2015,3:06,FP TOTAL ,TA-ROGERS 13400 ROGERS DRIVE  ,ROGERS ,MN  , , ,-172.76,-1,39863.58
7/24/2015,11:05,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,143.45,2.72,-390.04,-1, 
7/24/2015,11:05,FP RFR ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,11.93,2.72,-32.44, , 
7/24/2015,11:05,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,46.77, , 
7/24/2015,11:05,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-375.71,-1,39486.87
7/24/2015,14:00,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,163.97,2.46,-403.19,-1, 
7/24/2015,14:00,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,7.35,2.86,-21, , 
7/24/2015,14:00,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,25.36,2.46,-62.36, , 
7/24/2015,14:00,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,62.1, , 
7/24/2015,14:00,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-424.45,-1,39061.42
7/24/2015,14:32,Check ,  , , , , ,-5000,-1.5,34059.92
7/24/2015,16:20,Load ,  , , , , ,7788.11,-4,41844.03
7/24/2015,19:50,FP #2S ,PETRO FUEL #57 9787 US RT 40 WEST  ,NEW PARIS ,OH  ,83.03,2.77,-229.91,-1, 
7/24/2015,19:50,FP Discount ,PETRO FUEL #57 9787 US RT 40 WEST  ,NEW PARIS ,OH  , , ,38.36, , 
7/24/2015,19:50,FP TOTAL ,PETRO FUEL #57 9787 US RT 40 WEST  ,NEW PARIS ,OH  , , ,-191.55,-1,41651.48
7/24/2015,21:38,FP #2S ,KJ'S TRAVEL CENTER 615 E IONA RD  ,IDAHO FALLS ,ID  ,167.22,2.76,-461.35,-1, 
7/24/2015,21:38,FP TOTAL ,KJ'S TRAVEL CENTER 615 E IONA RD  ,IDAHO FALLS ,ID  , , ,-461.35,-1,41189.13
7/24/2015,21:59,FP #2S ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,176.03,2.63,-462.79,-1, 
7/24/2015,21:59,FP OTH ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,6.11,2.86,-17.47, , 
7/24/2015,21:59,FP RFR ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,15.61,2.63,-41.05, , 
7/24/2015,21:59,FP Discount ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,60.76, , 
7/24/2015,21:59,FP TOTAL ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,-460.55,-1,40727.58
7/24/2015,22:55,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,52.74,2.73,-143.92,-1, 
7/24/2015,22:55,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,23.26, , 
7/24/2015,22:55,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,-120.66,-1,40605.92
