,,,,,,,,,,
Date    ,Time,Description,Location,City,State,Product Qty,Unit Cost,Amount,        Fee,Balance
7/25/2015,2:38,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,208,2.73,-567.63,-1, 
7/25/2015,2:38,FP OTH ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,13.09,2.85,-37.3, , 
7/25/2015,2:38,FP RFR ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,29.85,2.73,-81.47, , 
7/25/2015,2:38,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,108.22, , 
7/25/2015,2:38,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,-578.18,-1,40026.74
7/25/2015,3:55,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,120.35,2.83,-340.48,-1, 
7/25/2015,3:55,FP RFR ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,11.23,2.83,-31.77, , 
7/25/2015,3:55,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,57.63, , 
7/25/2015,3:55,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-314.62,-1,39711.12
7/25/2015,5:42,FP #2S ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  ,153.46,2.68,-411.11,-1, 
7/25/2015,5:42,FP Discount ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,74.89, , 
7/25/2015,5:42,FP TOTAL ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,-336.22,-1,39373.9
7/25/2015,5:54,FP OTH ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  ,17.01,2.86,-48.63,-1, 
7/25/2015,5:54,FP TOTAL ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  , , ,-48.63,-1,39324.27
7/25/2015,6:10,FP RFR ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  ,32.84,2.68,-87.98, , 
7/25/2015,6:10,FP Discount ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,16.03, , 
7/25/2015,6:10,FP TOTAL ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,-71.95, ,39252.32
7/25/2015,7:08,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,168.67,2.46,-414.76,-1, 
7/25/2015,7:08,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,8.84,2.86,-25.26, , 
