,,,,,,,,,,
7/26/2015,0:12,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,50.06,2.6,-130.1,-1, 
7/26/2015,0:12,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,7.41, , 
7/26/2015,0:12,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-122.69,-1,35787.3
7/26/2015,0:19,FP #2S ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,118.62,2.65,-314.21,-1, 
7/26/2015,0:19,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,38.43, , 
7/26/2015,0:19,FP TOTAL ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,-275.78,-1,35510.52
7/26/2015,0:23,FP RFR ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,10.08,2.65,-26.71, , 
7/26/2015,0:23,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,3.28, , 
7/26/2015,0:23,FP TOTAL ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,-23.43, ,35487.09
7/26/2015,4:47,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,133.78,2.6,-347.69,-1, 
7/26/2015,4:47,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,5.33,2.86,-15.24, , 
7/26/2015,4:47,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,25.02, , 
7/26/2015,4:47,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-337.91,-1,35148.18
7/26/2015,4:53,FP #2S ,PETRO FUEL #45 7265 N. BAKER ROAD  ,FREMONT ,IN  ,142.06,2.61,-371.35,-1, 
7/26/2015,4:53,FP OTH ,PETRO FUEL #45 7265 N. BAKER ROAD  ,FREMONT ,IN  ,8.46,2.86,-24.19, , 
7/26/2015,4:53,FP Discount ,PETRO FUEL #45 7265 N. BAKER ROAD  ,FREMONT ,IN  , , ,51.43, , 
7/26/2015,4:53,FP TOTAL ,PETRO FUEL #45 7265 N. BAKER ROAD  ,FREMONT ,IN  , , ,-344.11,-1,34803.07
7/26/2015,5:56,FP #2S ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,67,2.67,-178.81,-1, 
7/26/2015,5:56,FP TOTAL ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  , , ,-178.81,-1,34623.26
7/26/2015,9:04,FP OTH ,TA-BUTTONWILLOW (SHOP) 27769 LAGOON DR  ,BUTTONWILLOW ,CA  ,10.92,2.85,-31.11,-1, 
7/26/2015,9:04,FP TOTAL ,TA-BUTTONWILLOW (SHOP) 27769 LAGOON DR  ,BUTTONWILLOW ,CA  , , ,-31.11,-1,34591.15
7/26/2015,10:58,Debit Decline ,RALEY'S #114  ,CARSON CITY ,NV , , ,0,-1.5,34589.65
7/26/2015,10:59,Debit Decline ,RALEY'S #114  ,CARSON CITY ,NV , , ,0,-1.5,34588.15
7/26/2015,10:59,Debit Decline ,RALEY'S #114  ,CARSON CITY ,NV , , ,0,-1.5,34586.65
7/26/2015,10:59,Debit Decline ,RALEY'S #114  ,CARSON CITY ,NV , , ,0,-1.5,34585.15
7/26/2015,11:44,FP #2S ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  ,119.29,2.68,-319.59,-1, 
7/26/2015,11:44,FP OTH ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  ,10.93,2.85,-31.14, , 
7/26/2015,11:44,FP Discount ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  , , ,47.72, , 
7/26/2015,11:44,FP TOTAL ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  , , ,-303.01,-1,34281.14
7/26/2015,15:17,FP #2S ,PETRO FUEL #15 I-40 & BLAKE RANCH RD  ,KINGMAN ,AZ  ,153.74,2.68,-411.88,-1, 
7/26/2015,15:17,FP RFR ,PETRO FUEL #15 I-40 & BLAKE RANCH RD  ,KINGMAN ,AZ  ,10.61,2.68,-28.43, , 
7/26/2015,15:17,FP Discount ,PETRO FUEL #15 I-40 & BLAKE RANCH RD  ,KINGMAN ,AZ  , , ,45.86, , 
7/26/2015,15:17,FP TOTAL ,PETRO FUEL #15 I-40 & BLAKE RANCH RD  ,KINGMAN ,AZ  , , ,-394.45,-1,33885.69
7/26/2015,17:23,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,128.8,2.42,-311.56,-1, 
7/26/2015,17:23,FP RFR ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,9.38,2.42,-22.7, , 
7/26/2015,17:23,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,37.87, , 
7/26/2015,17:23,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,-296.39,-1,33588.3
7/26/2015,17:49,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,167.15,2.58,-431.07,-1, 
7/26/2015,17:49,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,22.74,2.58,-58.65, , 
7/26/2015,17:49,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,31.71, , 
7/26/2015,17:49,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-458.01,-1,33129.29
7/26/2015,19:21,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,136.13,2.79,-379.66,-1, 
7/26/2015,19:21,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,8.07,2.85,-23, , 
7/26/2015,19:21,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,12.43,2.79,-34.67, , 
7/26/2015,19:21,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,19.76, , 
7/26/2015,19:21,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-417.57,-1,32710.72
7/26/2015,20:23,FP #2S ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  ,158.51,2.66,-421.48,-1, 
7/26/2015,20:23,FP OTH ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  ,4.9,2.85,-13.96, , 
7/26/2015,20:23,FP Discount ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,40.26, , 
7/26/2015,20:23,FP TOTAL ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,-395.18,-1,32314.54
7/26/2015,20:26,FP RFR ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  ,19.89,2.66,-52.88, , 
7/26/2015,20:26,FP Discount ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,5.05, , 
7/26/2015,20:26,FP TOTAL ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,-47.83, ,32266.71
7/26/2015,20:26,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,171.61,3.08,-528.4,-1, 
7/26/2015,20:26,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,104, , 
7/26/2015,20:26,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-424.4,-1,31841.31
7/26/2015,21:15,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,103.35,2.62,-270.68,-1, 
7/26/2015,21:15,FP RFR ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,16.91,2.62,-44.27, , 
7/26/2015,21:15,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,59.99, , 
7/26/2015,21:15,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-254.96,-1,31585.35
7/26/2015,22:18,FP #2S ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,120.82,2.8,-338.18,-1, 
7/26/2015,22:18,FP OTH ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,5.28,2.85,-15.04, , 
7/26/2015,22:18,FP Discount ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,45.19, , 
7/26/2015,22:18,FP TOTAL ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,-308.03,-1,31276.32
