,,,,,,,,,,
7/27/2015,1:58,FP RFR ,LOVES #328 7001 W. SUNDUST ROAD  ,CHANDLER ,AZ  ,5.1,2.49,-12.71,-1, 
7/27/2015,1:58,FP TOTAL ,LOVES #328 7001 W. SUNDUST ROAD  ,CHANDLER ,AZ  , , ,-12.71,-1,31262.61
7/27/2015,3:00,FP #2S ,TA-ELOY 2949 S.TOLTEC RD.  ,ELOY ,AZ  ,155.01,2.52,-390.47,-1, 
7/27/2015,3:00,FP OTH ,TA-ELOY 2949 S.TOLTEC RD.  ,ELOY ,AZ  ,8.78,2.85,-25.01, , 
7/27/2015,3:00,FP RFR ,TA-ELOY 2949 S.TOLTEC RD.  ,ELOY ,AZ  ,19.2,2.52,-48.37, , 
7/27/2015,3:00,FP Discount ,TA-ELOY 2949 S.TOLTEC RD.  ,ELOY ,AZ  , , ,35.54, , 
7/27/2015,3:00,FP TOTAL ,TA-ELOY 2949 S.TOLTEC RD.  ,ELOY ,AZ  , , ,-428.31,-1,30833.3
7/27/2015,6:58,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,111.85,2.57,-287.34,-1, 
7/27/2015,6:58,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,37.25, , 
7/27/2015,6:58,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-250.09,-1,30582.21
7/27/2015,10:08,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,133.59,2.68,-357.89,-1, 
7/27/2015,10:08,FP RFR ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,4.81,2.68,-12.88, , 
7/27/2015,10:08,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,64.07, , 
7/27/2015,10:08,FP TOTAL ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,-306.7,-1,30274.51
7/27/2015,11:11,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,136.66,2.87,-392.08,-1, 
7/27/2015,11:11,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,98.53, , 
7/27/2015,11:11,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-293.55,-1,29979.96
7/27/2015,14:59,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,114.58,2.57,-294.35,-1, 
7/27/2015,14:59,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,38.16, , 
7/27/2015,14:59,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-256.19,-1,29722.77
7/27/2015,17:24,Load ,  , , , , ,8224.56,-4,37943.33
7/27/2015,18:26,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,90.01,3.02,-271.74,-1, 
7/27/2015,18:26,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,7.1,2.86,-20.3, , 
7/27/2015,18:26,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,49.15, , 
7/27/2015,18:26,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-242.89,-1,37699.44
7/27/2015,20:51,FP #2S ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  ,67.62,2.5,-168.99,-1, 
7/27/2015,20:51,FP Discount ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,20.76, , 
7/27/2015,20:51,FP TOTAL ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,-148.23,-1,37550.21
7/27/2015,23:05,FP #2S ,TA-DENMARK (FUEL) 138 PROVIDENCE RD  ,DENMARK ,TN  ,154.2,2.6,-400.77,-1, 
7/27/2015,23:05,FP OTH ,TA-DENMARK (FUEL) 138 PROVIDENCE RD  ,DENMARK ,TN  ,3.97,2.86,-11.35, , 
7/27/2015,23:05,FP RFR ,TA-DENMARK (FUEL) 138 PROVIDENCE RD  ,DENMARK ,TN  ,14.01,2.6,-36.42, , 
7/27/2015,23:05,FP Discount ,TA-DENMARK (FUEL) 138 PROVIDENCE RD  ,DENMARK ,TN  , , ,70.33, , 
7/27/2015,23:05,FP TOTAL ,TA-DENMARK (FUEL) 138 PROVIDENCE RD  ,DENMARK ,TN  , , ,-378.21,-1,37171
