,,,,,,,,,,
7/28/2015,0:06,FP #2S ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,74.56,2.64,-196.77,-1, 
7/28/2015,0:06,FP RFR ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,9.73,2.64,-25.67, , 
7/28/2015,0:06,FP TOTAL ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  , , ,-222.44,-1,36947.56
7/28/2015,2:56,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,195.61,2.74,-535.78,-1, 
7/28/2015,2:56,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,16.24, , 
7/28/2015,2:56,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-519.54,-1,36427.02
7/28/2015,5:15,FP #2S ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  ,144.31,2.69,-388.05,-1, 
7/28/2015,5:15,FP RFR ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  ,43.6,2.69,-117.24, , 
7/28/2015,5:15,FP Discount ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  , , ,70.28, , 
7/28/2015,5:15,FP TOTAL ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  , , ,-435.01,-1,35991.01
7/28/2015,14:38,FP RFR ,TA-SAYRE I-40 & CEMETARY RD. EXIT   ,SAYRE ,OK  ,42.02,2.56,-107.52,-1, 
7/28/2015,14:38,FP Discount ,TA-SAYRE I-40 & CEMETARY RD. EXIT   ,SAYRE ,OK  , , ,17.73, , 
7/28/2015,14:38,FP TOTAL ,TA-SAYRE I-40 & CEMETARY RD. EXIT   ,SAYRE ,OK  , , ,-89.79,-1,35900.22
7/28/2015,17:02,Load ,  , , , , ,23497.35,-4,59393.57
7/28/2015,17:39,FP #2S ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  ,146.06,2.58,-376.68,-1, 
7/28/2015,17:39,FP Discount ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  , , ,71.57, , 
7/28/2015,17:39,FP TOTAL ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  , , ,-305.11,-1,59087.46
7/28/2015,19:24,FP #2S ,PETRO FUEL #24 I-5 EXIT 24  ,MEDFORD ,OR  ,101.39,2.9,-293.92,-1, 
7/28/2015,19:24,FP Discount ,PETRO FUEL #24 I-5 EXIT 24  ,MEDFORD ,OR  , , ,38.12, , 
7/28/2015,19:24,FP TOTAL ,PETRO FUEL #24 I-5 EXIT 24  ,MEDFORD ,OR  , , ,-255.8,-1,58830.66
7/28/2015,21:25,FP #2S ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  ,167.87,2.96,-496.73,-1, 
7/28/2015,21:25,FP RFR ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  ,11.25,2.96,-33.3, , 
7/28/2015,21:25,FP Discount ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  , , ,50.89, , 
7/28/2015,21:25,FP TOTAL ,TA-BREEZEWOOD GATEWAY TRA 16567 LINCOLN HIGHWAY  ,BREEZEWOOD ,PA  , , ,-479.14,-1,58350.52
