,,,,,,,,,,
7/29/2015,0:34,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,170.08,2.69,-457.35,-1, 
7/29/2015,0:34,FP OTH ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,9.84,2.86,-28.13, , 
7/29/2015,0:34,FP RFR ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,34.56,2.69,-92.93, , 
7/29/2015,0:34,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,62.41, , 
7/29/2015,0:34,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-516,-1,57833.52
7/29/2015,1:25,FP #2S ,FLYING J #716 5201 GRANITE LANE  ,SIOUX FALLS ,SD  ,153.27,2.6,-398.37,-1, 
7/29/2015,1:25,FP RFR ,FLYING J #716 5201 GRANITE LANE  ,SIOUX FALLS ,SD  ,10.44,2.52,-26.33, , 
7/29/2015,1:25,FP TOTAL ,FLYING J #716 5201 GRANITE LANE  ,SIOUX FALLS ,SD  , , ,-424.7,-1,57407.82
7/29/2015,4:53,FP #2S ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,105.95,2.64,-279.62,-1, 
7/29/2015,4:53,FP RFR ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,8.87,2.64,-23.4, , 
7/29/2015,4:53,FP TOTAL ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  , , ,-303.02,-1,57103.8
7/29/2015,5:07,FP #2S ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,159.03,2.62,-416.5,-1, 
7/29/2015,5:07,FP OTH ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,4.5,2.85,-12.81, , 
7/29/2015,5:07,FP RFR ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,19.61,2.62,-51.36, , 
7/29/2015,5:07,FP Discount ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,101.29, , 
7/29/2015,5:07,FP TOTAL ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,-379.38,-1,56723.42
7/29/2015,5:09,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,126.19,2.74,-345.63,-1, 
7/29/2015,5:09,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,11.44,2.85,-32.59, , 
7/29/2015,5:09,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,24.59,2.74,-67.34, , 
7/29/2015,5:09,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,12.82, , 
7/29/2015,5:09,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-432.74,-1,56289.68
7/29/2015,5:13,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,155.51,2.74,-425.93,-1, 
7/29/2015,5:13,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,28.62,2.74,-78.39, , 
7/29/2015,5:13,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,15.65, , 
7/29/2015,5:13,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-488.67,-1,55800.01
7/29/2015,12:57,FP #2S ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,147.84,2.75,-406.41,-1, 
7/29/2015,12:57,FP OTH ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,5.32,2.85,-15.17, , 
7/29/2015,12:57,FP RFR ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,29.62,2.75,-81.43, , 
7/29/2015,12:57,FP Discount ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,64.95, , 
7/29/2015,12:57,FP TOTAL ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,-438.06,-1,55360.95
7/29/2015,12:58,Check ,  , , , , ,-20000,-1.5,35359.45
7/29/2015,16:39,Load ,  , , , , ,11888.36,-4,47243.81
7/29/2015,17:25,FP #2S ,TA-FLORENCE I 75 AND ST RT 18  ,FLORENCE ,KY  ,120.03,2.59,-310.76,-1, 
7/29/2015,17:25,FP Discount ,TA-FLORENCE I 75 AND ST RT 18  ,FLORENCE ,KY  , , ,54.13, , 
7/29/2015,17:25,FP TOTAL ,TA-FLORENCE I 75 AND ST RT 18  ,FLORENCE ,KY  , , ,-256.63,-1,46986.18
7/29/2015,17:27,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,98.94,2.57,-254.19,-1, 
