,,,,,,,,,,
7/30/2015,0:10,FP #2S ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,118.42,2.53,-299.49,-1, 
7/30/2015,0:10,FP RFR ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,38.98,2.53,-98.58, , 
7/30/2015,0:10,FP Discount ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,65.01, , 
7/30/2015,0:10,FP TOTAL ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,-333.06,-1,45103.07
7/30/2015,1:48,FP #2S ,"PETRO SERVE USA #54 11 STATE ST NE, H-10  ",GLYNDON ,MN  ,119.31,2.69,-320.81,-1, 
7/30/2015,1:48,FP TOTAL ,"PETRO SERVE USA #54 11 STATE ST NE, H-10  ",GLYNDON ,MN  , , ,-320.81,-1,44781.26
7/30/2015,6:58,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,96.61,2.56,-247.33,-1, 
7/30/2015,6:58,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,35.65, , 
7/30/2015,6:58,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-211.68,-1,44568.58
7/30/2015,11:03,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,140.82,2.56,-360.36,-1, 
7/30/2015,11:03,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,5.45,2.86,-15.59, , 
7/30/2015,11:03,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,29.29, , 
7/30/2015,11:03,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-346.66,-1,44220.92
7/30/2015,14:14,FP #2S ,PETRO FUEL #45 7265 N. BAKER ROAD  ,FREMONT ,IN  ,102.37,2.42,-247.62,-1, 
7/30/2015,14:14,FP RFR ,PETRO FUEL #45 7265 N. BAKER ROAD  ,FREMONT ,IN  ,6.92,2.42,-16.73, , 
7/30/2015,14:14,FP Discount ,PETRO FUEL #45 7265 N. BAKER ROAD  ,FREMONT ,IN  , , ,40.86, , 
7/30/2015,14:14,FP TOTAL ,PETRO FUEL #45 7265 N. BAKER ROAD  ,FREMONT ,IN  , , ,-223.49,-1,43996.43
7/30/2015,15:55,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,105.4,2.57,-270.78,-1, 
7/30/2015,15:55,FP OTH ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,9.15,2.8,-25.61, , 
7/30/2015,15:55,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,26.67, , 
7/30/2015,15:55,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-269.72,-1,43725.71
7/30/2015,15:58,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,50.26,2.9,-145.7,-1, 
7/30/2015,15:58,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,23.02, , 
7/30/2015,15:58,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-122.68,-1,43602.03
7/30/2015,16:01,Check ,  , , , , ,-10000,-1.5,33600.53
7/30/2015,16:48,Load ,  , , , , ,8674.3,-4,42270.83
7/30/2015,17:15,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,107.64,2.56,-275.55,-1, 
7/30/2015,17:15,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,19.02,2.56,-48.7, , 
7/30/2015,17:15,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,46.74, , 
7/30/2015,17:15,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-277.51,-1,41992.32
