,,,,,,,,,,
7/31/2015,0:30,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,51,2.63,-134.08,-1, 
7/31/2015,0:30,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,22.54, , 
7/31/2015,0:30,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,-111.54,-1,41879.78
7/31/2015,2:24,FP #2S ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  ,50,2.64,-131.96,-1, 
7/31/2015,2:24,FP Discount ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  , , ,14.8, , 
7/31/2015,2:24,FP TOTAL ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  , , ,-117.16,-1,41761.62
7/31/2015,3:20,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,133.77,2.68,-358.37,-1, 
7/31/2015,3:20,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,9.23,2.75,-25.38, , 
7/31/2015,3:20,FP RFR ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,20.65,2.68,-55.33, , 
7/31/2015,3:20,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,54.66, , 
7/31/2015,3:20,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-384.42,-1,41376.2
7/31/2015,7:58,FP #2S ,TA-LAS CRUCES 202 NORTH MOTEL BLVD  ,LAS CRUCES ,NM  ,51.04,2.62,-133.68,-1, 
7/31/2015,7:58,FP OTH ,TA-LAS CRUCES 202 NORTH MOTEL BLVD  ,LAS CRUCES ,NM  ,17.89,2.85,-50.98, , 
7/31/2015,7:58,FP Discount ,TA-LAS CRUCES 202 NORTH MOTEL BLVD  ,LAS CRUCES ,NM  , , ,20.93, , 
7/31/2015,7:58,FP TOTAL ,TA-LAS CRUCES 202 NORTH MOTEL BLVD  ,LAS CRUCES ,NM  , , ,-163.73,-1,41211.47
7/31/2015,8:27,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,117.03,2.42,-283.11,-1, 
7/31/2015,8:27,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,43.89, , 
7/31/2015,8:27,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-239.22,-1,40971.25
7/31/2015,8:28,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,156.83,2.42,-379.38,-1, 
