,,,,,,,,,,
8/1/2015,0:01,FP #2S ,TA-HURRICANE I-64 AND RT 34 MM #39  ,HURRICANE ,WV  ,175.26,2.66,-466.01,-1, 
8/1/2015,0:01,FP Discount ,TA-HURRICANE I-64 AND RT 34 MM #39  ,HURRICANE ,WV  , , ,71.16, , 
8/1/2015,0:01,FP TOTAL ,TA-HURRICANE I-64 AND RT 34 MM #39  ,HURRICANE ,WV  , , ,-394.85,-1,55413.26
8/1/2015,3:57,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,125.22,2.5,-312.92,-1, 
8/1/2015,3:57,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,35.81, , 
8/1/2015,3:57,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-277.11,-1,55135.15
8/1/2015,5:01,FP #2S ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  ,211.56,2.5,-528.68,-1, 
8/1/2015,5:01,FP Discount ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,73.2, , 
8/1/2015,5:01,FP TOTAL ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,-455.48,-1,54678.67
8/1/2015,5:20,FP RFR ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  ,24.26,2.5,-60.63, , 
8/1/2015,5:20,FP Discount ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,8.39, , 
8/1/2015,5:20,FP TOTAL ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,-52.24, ,54626.43
8/1/2015,6:22,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,135.21,2.64,-356.81,-1, 
8/1/2015,6:22,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,74.64, , 
8/1/2015,6:22,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-282.17,-1,54343.26
8/1/2015,9:52,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,157.65,2.58,-406.57,-1, 
8/1/2015,9:52,FP RFR ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,6.06,2.58,-15.63, , 
8/1/2015,9:52,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,40.1, , 
8/1/2015,9:52,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-382.1,-1,53960.16
