,,,,,,,,,,
7/2/2015,1:10,FP #2S ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,122.72,2.75,-337.36,-1, 
7/2/2015,1:10,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,35.34, , 
7/2/2015,1:10,FP TOTAL ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,-302.02,-1,82277.06
7/2/2015,1:54,FP #2S ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,137.54,3,-412.47,-1, 
7/2/2015,1:54,FP Discount ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,39.75, , 
7/2/2015,1:54,FP TOTAL ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,-372.72,-1,81903.34
7/2/2015,14:21,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,91.4,2.75,-251.62,-1, 
7/2/2015,14:21,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,13.04,2.86,-37.3, , 
7/2/2015,14:21,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,26.41, , 
7/2/2015,14:21,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-262.51,-1,81639.83
7/2/2015,16:16,FP #2S ,LOVES #325 178 SOUTHWELL BLVD.  ,TIFTON ,GA  ,37.63,2.85,-107.21,-1, 
7/2/2015,16:16,FP TOTAL ,LOVES #325 178 SOUTHWELL BLVD.  ,TIFTON ,GA  , , ,-107.21,-1,81531.62
7/2/2015,17:21,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,45.2,2.75,-124.45,-1, 
7/2/2015,17:21,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,15.09,2.75,-41.55, , 
7/2/2015,17:21,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,17.42, , 
7/2/2015,17:21,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-148.58,-1,81382.04
7/2/2015,17:46,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,110.42,2.78,-306.86,-1, 
7/2/2015,17:46,FP OTH ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,2.45,2.85,-6.97, , 
7/2/2015,17:46,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,28.6, , 
7/2/2015,17:46,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,-285.23,-1,81095.81
7/2/2015,18:20,FP #2S ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  ,125.1,3.07,-383.93,-1, 
7/2/2015,18:20,FP Discount ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  , , ,24.89, , 
7/2/2015,18:20,FP TOTAL ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  , , ,-359.04,-1,80735.77
7/2/2015,19:03,FP #2S ,TA-ATLANTA SOUTH 122 TRUCKSTOP WAY  ,JACKSON ,GA  ,194.14,2.95,-572.52,-1, 
7/2/2015,19:03,FP RFR ,TA-ATLANTA SOUTH 122 TRUCKSTOP WAY  ,JACKSON ,GA  ,9.89,2.95,-29.15, , 
7/2/2015,19:03,FP Discount ,TA-ATLANTA SOUTH 122 TRUCKSTOP WAY  ,JACKSON ,GA  , , ,71.59, , 
7/2/2015,19:03,FP TOTAL ,TA-ATLANTA SOUTH 122 TRUCKSTOP WAY  ,JACKSON ,GA  , , ,-530.08,-1,80204.69
7/2/2015,23:14,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,137.73,2.85,-392.4,-1, 
7/2/2015,23:14,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-392.4,-1,79811.29
7/2/2015,23:31,FP RFR ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,20.73,2.85,-59.09, , 
7/2/2015,23:31,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-59.09, ,79752.2
