,,,,,,,,,,
8/2/2015,5:27,FP #2S ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  ,60.53,3.06,-185.17,-1, 
8/2/2015,5:27,FP Discount ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  , , ,41.83, , 
8/2/2015,5:27,FP TOTAL ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  , , ,-143.34,-1,51143.86
8/2/2015,13:01,FP #2S ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  ,137.24,2.66,-364.93,-1, 
8/2/2015,13:01,FP OTH ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  ,16.61,3,-49.82, , 
8/2/2015,13:01,FP TOTAL ,FLYING J #748 600 WEST 750 NORTH  ,WILLARD ,UT  , , ,-414.75,-1,50728.11
8/2/2015,13:59,FP #2S ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,115.8,2.42,-280.13,-1, 
8/2/2015,13:59,FP OTH ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,7.69,2.86,-22, , 
8/2/2015,13:59,FP RFR ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,2.42,2.42,-5.85, , 
8/2/2015,13:59,FP Discount ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,34.04, , 
8/2/2015,13:59,FP TOTAL ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,-273.94,-1,50453.17
8/2/2015,16:29,FP #2S ,TOWN PUMP #0610 2200 PARK ST SOUTH  ,LIVINGSTON ,MT  ,50.75,2.74,-139.01,-1, 
8/2/2015,16:29,FP TOTAL ,TOWN PUMP #0610 2200 PARK ST SOUTH  ,LIVINGSTON ,MT  , , ,-139.01,-1,50313.16
8/2/2015,19:13,FP #2S ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  ,50.51,2.62,-132.3,-1, 
8/2/2015,19:13,FP Discount ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  , , ,17.43, , 
8/2/2015,19:13,FP TOTAL ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  , , ,-114.87,-1,50197.29
8/2/2015,20:47,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,200.01,2.74,-547.83,-1, 
8/2/2015,20:47,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,7.21,2.85,-20.55, , 
8/2/2015,20:47,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,45.2, , 
8/2/2015,20:47,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-523.18,-1,49673.11
8/2/2015,20:47,FP OTH ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  ,9.19,2.86,-26.27,-1, 
8/2/2015,20:47,FP TOTAL ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  , , ,-26.27,-1,49645.84
8/2/2015,22:29,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,160.97,2.74,-440.9,-1, 
8/2/2015,22:29,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,8.41,2.85,-23.96, , 
8/2/2015,22:29,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,21.46,2.74,-58.79, , 
8/2/2015,22:29,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,41.25, , 
8/2/2015,22:29,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-482.4,-1,49162.44
8/2/2015,23:13,FP #2S ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,51.46,2.7,-138.9,-1, 
8/2/2015,23:13,FP Discount ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,25.78, , 
8/2/2015,23:13,FP TOTAL ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,-113.12,-1,49048.32
