,,,,,,,,,,
8/5/2015,0:34,FP #2S ,TA-ROGERS 13400 ROGERS DRIVE  ,ROGERS ,MN  ,70.9,2.63,-186.41,-1, 
8/5/2015,0:34,FP Discount ,TA-ROGERS 13400 ROGERS DRIVE  ,ROGERS ,MN  , , ,22.83, , 
8/5/2015,0:34,FP TOTAL ,TA-ROGERS 13400 ROGERS DRIVE  ,ROGERS ,MN  , , ,-163.58,-1,39838.11
8/5/2015,1:59,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,27.67,2.53,-69.99,-1, 
8/5/2015,1:59,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,7.53, , 
8/5/2015,1:59,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-62.46,-1,39774.65
8/5/2015,5:04,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,92.18,2.42,-222.98,-1, 
8/5/2015,5:04,FP OTH ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,8.56,2.86,-24.47, , 
8/5/2015,5:04,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,33.83, , 
8/5/2015,5:04,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,-213.62,-1,39560.03
8/5/2015,7:22,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,156.78,2.5,-391.8,-1, 
8/5/2015,7:22,FP OTH ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,4.34,2.86,-12.41, , 
8/5/2015,7:22,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,57.85, , 
8/5/2015,7:22,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-346.36,-1,39212.67
8/5/2015,9:53,FP #2S ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,149.79,2.26,-338.37,-1, 
8/5/2015,9:53,FP OTH ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,7.07,2.86,-20.2, , 
8/5/2015,9:53,FP RFR ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,25.81,2.26,-58.31, , 
8/5/2015,9:53,FP Discount ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,51.63, , 
8/5/2015,9:53,FP TOTAL ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,-365.25,-1,38846.42
8/5/2015,10:04,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,60.96,2.48,-151.12,-1, 
8/5/2015,10:04,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,19.75, , 
8/5/2015,10:04,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-131.37,-1,38714.05
8/5/2015,15:33,Load ,  , , , , ,2443.75,-4,41153.8
8/5/2015,17:47,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,173.2,2.5,-432.83,-1, 
8/5/2015,17:47,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,63.91, , 
8/5/2015,17:47,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-368.92,-1,40783.88
8/5/2015,18:13,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,68.54,2.5,-171.29,-1, 
8/5/2015,18:13,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,19.26, , 
8/5/2015,18:13,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-152.03,-1,40630.85
8/5/2015,19:38,FP #2S ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,149.33,2.69,-401.54,-1, 
8/5/2015,19:38,FP Discount ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,64.06, , 
8/5/2015,19:38,FP TOTAL ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,-337.48,-1,40292.37
8/5/2015,20:53,FP #2S ,TA-FLORENCE 2301 W. LUCAS STREET  ,FLORENCE ,SC  ,169.3,2.48,-419.68,-1, 
8/5/2015,20:53,FP Discount ,TA-FLORENCE 2301 W. LUCAS STREET  ,FLORENCE ,SC  , , ,87.36, , 
8/5/2015,20:53,FP TOTAL ,TA-FLORENCE 2301 W. LUCAS STREET  ,FLORENCE ,SC  , , ,-332.32,-1,39959.05
8/5/2015,21:15,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,95.13,2.56,-243.45,-1, 
8/5/2015,21:15,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,40.43, , 
