,,,,,,,,,,
8/4/2015,0:10,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,138.01,2.74,-378.01,-1, 
8/4/2015,0:10,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,4.26,2.85,-12.13, , 
8/4/2015,0:10,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,17.88,2.74,-48.97, , 
8/4/2015,0:10,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,35.23, , 
8/4/2015,0:10,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-403.88,-1,71743.38
8/4/2015,1:56,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,126.78,2.47,-313.02,-1, 
8/4/2015,1:56,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,22.75,2.47,-56.16, , 
8/4/2015,1:56,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,18.84, , 
8/4/2015,1:56,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-350.34,-1,71392.04
8/4/2015,4:47,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,50.73,2.76,-139.96,-1, 
8/4/2015,4:47,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,25.26, , 
8/4/2015,4:47,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-114.7,-1,71276.34
8/4/2015,8:32,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,112.11,2.56,-286.89,-1, 
8/4/2015,8:32,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,24.55, , 
8/4/2015,8:32,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-262.34,-1,71013
8/4/2015,10:16,Check ,  , , , , ,-40000,-1.5,31011.5
8/4/2015,16:13,FP #2S ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  ,153.92,2.54,-390.8,-1, 
8/4/2015,16:13,FP Discount ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,77.27, , 
8/4/2015,16:13,FP TOTAL ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,-313.53,-1,30696.97
8/4/2015,16:30,Load ,  , , , , ,10703.63,-4,41396.6
8/4/2015,17:00,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,115.68,2.87,-331.89,-1, 
8/4/2015,17:00,FP OTH ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,4.58,2.75,-12.58, , 
8/4/2015,17:00,FP RFR ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,29.48,2.57,-75.74, , 
8/4/2015,17:00,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,77.95, , 
8/4/2015,17:00,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-342.26,-1,41053.34
8/4/2015,21:15,FP #2S ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,115.34,2.48,-285.94,-1, 
8/4/2015,21:15,FP Discount ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,30.45, , 
8/4/2015,21:15,FP TOTAL ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,-255.49,-1,40796.85
8/4/2015,23:23,FP #2S ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,147.87,2.56,-378.4,-1, 
8/4/2015,23:23,FP RFR ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,1.19,2.55,-3.03, , 
8/4/2015,23:23,FP TOTAL ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  , , ,-381.43,-1,40414.42
8/4/2015,23:54,FP #2S ,"PETRO FUEL #4 I-10 AT WALDEN RD., EXIT   ",BEAUMONT ,TX  ,187.49,2.52,-472.27,-1, 
8/4/2015,23:54,FP RFR ,"PETRO FUEL #4 I-10 AT WALDEN RD., EXIT   ",BEAUMONT ,TX  ,11.03,2.52,-27.79, , 
8/4/2015,23:54,FP Discount ,"PETRO FUEL #4 I-10 AT WALDEN RD., EXIT   ",BEAUMONT ,TX  , , ,89.33, , 
8/4/2015,23:54,FP TOTAL ,"PETRO FUEL #4 I-10 AT WALDEN RD., EXIT   ",BEAUMONT ,TX  , , ,-410.73,-1,40002.69
