,,,,,,,,,,
7/19/2015,2:44,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,190.6,2.73,-520.15,-1, 
7/19/2015,2:44,FP OTH ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,14.44,2.86,-41.28, , 
7/19/2015,2:44,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,50.89, , 
7/19/2015,2:44,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-510.54,-1,43219.7
7/19/2015,3:01,FP #2S ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  ,142.69,2.55,-363.7,-1, 
7/19/2015,3:01,FP OTH ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  ,6.19,2.8,-17.34, , 
7/19/2015,3:01,FP RFR ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  ,11.62,2.55,-29.62, , 
7/19/2015,3:01,FP Discount ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,47.68, , 
7/19/2015,3:01,FP TOTAL ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,-362.98,-1,42855.72
7/19/2015,5:49,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,79.31,2.63,-208.5,-1, 
7/19/2015,5:49,FP RFR ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,7.93,2.51,-19.87, , 
7/19/2015,5:49,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,24.39, , 
7/19/2015,5:49,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-203.98,-1,42650.74
7/19/2015,12:57,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,51.98,2.63,-136.67,-1, 
7/19/2015,12:57,FP OTH ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,1.93,2.78,-5.36, , 
7/19/2015,12:57,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,17.15, , 
7/19/2015,12:57,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-124.88,-1,42524.86
7/19/2015,16:12,FP #2S ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  ,147.94,2.78,-411.12,-1, 
7/19/2015,16:12,FP RFR ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  ,12.03,2.71,-32.63, , 
7/19/2015,16:12,FP Discount ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  , , ,67.02, , 
7/19/2015,16:12,FP TOTAL ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  , , ,-376.73,-1,42147.13
7/19/2015,16:30,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,51.01,2.87,-146.35,-1, 
7/19/2015,16:30,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,28.16, , 
7/19/2015,16:30,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-118.19,-1,42027.94
7/19/2015,18:54,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,147.09,2.71,-398.6,-1, 
7/19/2015,18:54,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,8.1,2.86,-23.14, , 
7/19/2015,18:54,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,12.34,2.71,-33.43, , 
7/19/2015,18:54,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,63.12, , 
7/19/2015,18:54,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-392.05,-1,41634.89
7/19/2015,20:44,FP #2S ,TA-COLUMBUS EAST HEBRON I-70 & OH 37 EXIT 126  ,HEBRON ,OH  ,42.43,2.83,-120.03,-1, 
7/19/2015,20:44,FP Discount ,TA-COLUMBUS EAST HEBRON I-70 & OH 37 EXIT 126  ,HEBRON ,OH  , , ,22.95, , 
7/19/2015,20:44,FP TOTAL ,TA-COLUMBUS EAST HEBRON I-70 & OH 37 EXIT 126  ,HEBRON ,OH  , , ,-97.08,-1,41536.81
7/19/2015,22:06,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,210.46,2.79,-586.97,-1, 
7/19/2015,22:06,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,16.82,2.79,-46.9, , 
7/19/2015,22:06,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,25.21, , 
7/19/2015,22:06,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-608.66,-1,40927.15
7/19/2015,22:10,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,6.61,2.79,-18.44, , 
7/19/2015,22:10,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,0.73, , 
7/19/2015,22:10,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-17.71, ,40909.44
