,,,,,,,,,,
7/21/2015,0:22,FP #2S ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,166.65,2.89,-481.45,-1, 
7/21/2015,0:22,FP OTH ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,5.42,2.85,-15.45, , 
7/21/2015,0:22,FP RFR ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,9.7,2.89,-28.03, , 
7/21/2015,0:22,FP Discount ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,84.66, , 
7/21/2015,0:22,FP TOTAL ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,-440.27,-1,39669.92
7/21/2015,1:42,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,166.07,3.23,-536.24,-1, 
7/21/2015,1:42,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,11.06,2.86,-31.62, , 
7/21/2015,1:42,FP RFR ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,26.26,3.23,-84.79, , 
7/21/2015,1:42,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,111.17, , 
7/21/2015,1:42,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-541.48,-1,39127.44
7/21/2015,3:05,FP #2S ,PILOT #474 270 SCOTT FORK-BONNIE ROA  ,SUTTON ,WV  ,95.5,2.86,-273.05,-1, 
7/21/2015,3:05,FP OTH ,PILOT #474 270 SCOTT FORK-BONNIE ROA  ,SUTTON ,WV  ,1.52,2.9,-4.41, , 
7/21/2015,3:05,FP RFR ,PILOT #474 270 SCOTT FORK-BONNIE ROA  ,SUTTON ,WV  ,7.42,2.86,-21.24, , 
7/21/2015,3:05,FP TOTAL ,PILOT #474 270 SCOTT FORK-BONNIE ROA  ,SUTTON ,WV  , , ,-298.7,-1,38827.74
7/21/2015,6:33,FP #2S ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,155.15,2.65,-410.54,-1, 
7/21/2015,6:33,FP OTH ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,5.83,2.86,-16.67, , 
7/21/2015,6:33,FP Discount ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,50.42, , 
7/21/2015,6:33,FP TOTAL ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,-376.79,-1,38449.95
7/21/2015,13:12,FP #2S ,TA-SAN ANTONIO 6170 IH-10 EAST  ,SAN ANTONIO ,TX  ,145.34,2.78,-403.89,-1, 
7/21/2015,13:12,FP Discount ,TA-SAN ANTONIO 6170 IH-10 EAST  ,SAN ANTONIO ,TX  , , ,95.34, , 
7/21/2015,13:12,FP TOTAL ,TA-SAN ANTONIO 6170 IH-10 EAST  ,SAN ANTONIO ,TX  , , ,-308.55,-1,38140.4
7/21/2015,14:27,Load ,  , , , , ,168.25,-4,38304.65
7/21/2015,16:32,Load ,  , , , , ,15102.37,-4,53403.02
7/21/2015,19:23,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,30.72,2.5,-76.76,-1, 
7/21/2015,19:23,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,4.45,2.86,-12.73, , 
7/21/2015,19:23,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,11.96,2.5,-29.89, , 
7/21/2015,19:23,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,3.42, , 
7/21/2015,19:23,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-115.96,-1,53286.06
7/21/2015,20:21,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,59.46,2.46,-146.22,-1, 
7/21/2015,20:21,FP RFR ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,14.41,2.46,-35.43, , 
7/21/2015,20:21,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,27.63, , 
7/21/2015,20:21,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-154.02,-1,53131.04
7/21/2015,22:22,FP #2S ,TA-WHEELING I 70 EAST DALLAS PIKE EXI  ,VALLEY GROVE ,WV  ,189.33,2.82,-533.73,-1, 
7/21/2015,22:22,FP Discount ,TA-WHEELING I 70 EAST DALLAS PIKE EXI  ,VALLEY GROVE ,WV  , , ,91.26, , 
7/21/2015,22:22,FP TOTAL ,TA-WHEELING I 70 EAST DALLAS PIKE EXI  ,VALLEY GROVE ,WV  , , ,-442.47,-1,52687.57
7/21/2015,22:48,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,141.19,2.5,-352.83,-1, 
7/21/2015,22:48,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,31.99,2.5,-79.94, , 
7/21/2015,22:48,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,58.19, , 
7/21/2015,22:48,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-374.58,-1,52311.99
