,,,,,,,,,,
1/1/2016,0:40,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,129.99,2.53,-328.73,-1, 
1/1/2016,0:40,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,10.46,2.86,-29.9, , 
1/1/2016,0:40,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,85.14, , 
1/1/2016,0:40,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-273.49,-1,49326.57
1/1/2016,5:35,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,110.32,2.36,-260.24,-1, 
1/1/2016,5:35,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,11.89,3,-35.67, , 
1/1/2016,5:35,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,79.98, , 
1/1/2016,5:35,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-215.93,-1,49109.64
1/1/2016,9:14,FP #2S ,PETRO FUEL #19 22566 HWY 215  ,MC CALLA ,AL  ,174.37,1.96,-341.59,-1, 
1/1/2016,9:14,FP RFR ,PETRO FUEL #19 22566 HWY 215  ,MC CALLA ,AL  ,11.85,1.96,-23.22, , 
1/1/2016,9:14,FP Discount ,PETRO FUEL #19 22566 HWY 215  ,MC CALLA ,AL  , , ,58.84, , 
1/1/2016,9:14,FP TOTAL ,PETRO FUEL #19 22566 HWY 215  ,MC CALLA ,AL  , , ,-305.97,-1,48802.67
1/1/2016,9:35,FP #2S ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  ,78.66,2.52,-198.13,-1, 
1/1/2016,9:35,FP Discount ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  , , ,49.71, , 
1/1/2016,9:35,FP TOTAL ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  , , ,-148.42,-1,48653.25
1/1/2016,11:18,FP #2S ,PACIFIC XPRESS 4310 PACIFIC HWY E  ,FIFE ,WA  ,23,1,-23,-1, 
1/1/2016,11:18,FP TOTAL ,PACIFIC XPRESS 4310 PACIFIC HWY E  ,FIFE ,WA  , , ,-23,-1,48629.25
1/1/2016,12:14,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,154.06,2.36,-363.42,-1, 
1/1/2016,12:14,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,5.81,3,-17.43, , 
1/1/2016,12:14,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,111.69, , 
1/1/2016,12:14,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-269.16,-1,48359.09
1/1/2016,13:43,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,147.21,2.36,-347.27,-1, 
1/1/2016,13:43,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,83.32, , 
1/1/2016,13:43,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-263.95,-1,48094.14
1/1/2016,15:54,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,151.17,2.36,-356.61,-1, 
1/1/2016,15:54,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,112.62, , 
1/1/2016,15:54,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-243.99,-1,47849.15
1/1/2016,16:30,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,134.13,2.36,-316.42,-1, 
1/1/2016,16:30,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,99.93, , 
1/1/2016,16:30,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-216.49,-1,47631.66
1/1/2016,17:16,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,99.49,2.2,-218.79,-1, 
1/1/2016,17:16,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,62.28, , 
1/1/2016,17:16,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-156.51,-1,47474.15
1/1/2016,18:38,FP #2S ,TA-STRAFFORD I-44 & RT. 125 EXIT 88  ,STRAFFORD ,MO  ,95.63,1.96,-187.33,-1, 
1/1/2016,18:38,FP OTH ,TA-STRAFFORD I-44 & RT. 125 EXIT 88  ,STRAFFORD ,MO  ,1.28,2.69,-3.45, , 
1/1/2016,18:38,FP RFR ,TA-STRAFFORD I-44 & RT. 125 EXIT 88  ,STRAFFORD ,MO  ,5.27,1.96,-10.33, , 
1/1/2016,18:38,FP Discount ,TA-STRAFFORD I-44 & RT. 125 EXIT 88  ,STRAFFORD ,MO  , , ,37.95, , 
1/1/2016,18:38,FP TOTAL ,TA-STRAFFORD I-44 & RT. 125 EXIT 88  ,STRAFFORD ,MO  , , ,-163.16,-1,47309.99
1/1/2016,20:11,FP #2S ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,172.14,2,-344.11,-1, 
1/1/2016,20:11,FP Discount ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  , , ,43.21, , 
1/1/2016,20:11,FP TOTAL ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  , , ,-300.9,-1,47008.09
1/1/2016,22:22,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,132.03,1.9,-250.73,-1, 
1/1/2016,22:22,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,8.45, , 
1/1/2016,22:22,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-242.28,-1,46764.81
1/2/2016,10:40,FP #2S ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  ,91.39,2.26,-206.45,-1, 
1/2/2016,10:40,FP Discount ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  , , ,40.85, , 
1/2/2016,10:40,FP TOTAL ,"TA-SANTA ROSA I-40, U.S. 66,54,84 E-277  ",SANTA ROSA ,NM  , , ,-165.6,-1,46598.21
1/2/2016,13:04,FP #2S ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,103.48,2.15,-222.38,-1, 
1/2/2016,13:04,FP OTH ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  ,8.61,2.8,-24.1, , 
1/2/2016,13:04,FP Discount ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,41.5, , 
1/2/2016,13:04,FP TOTAL ,PETRO FUEL #61 4510 19TH AVE. S.W.  ,FARGO ,ND  , , ,-204.98,-1,46392.23
1/2/2016,13:20,FP #2S ,KUM & GO #267 2050 HWY 38  ,TIPTON ,IA  ,157.21,1.9,-298.54,-1, 
1/2/2016,13:20,FP OTH ,KUM & GO #267 2050 HWY 38  ,TIPTON ,IA  ,10.89,2.7,-29.4, , 
1/2/2016,13:20,FP TOTAL ,KUM & GO #267 2050 HWY 38  ,TIPTON ,IA  , , ,-327.94,-1,46063.29
1/2/2016,14:31,FP #2S ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,126.17,2.84,-358.19,-1, 
1/2/2016,14:31,FP Discount ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,119.23, , 
1/2/2016,14:31,FP TOTAL ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,-238.96,-1,45823.33
1/2/2016,15:43,FP #2S ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  ,50.29,2.52,-126.67,-1, 
1/2/2016,15:43,FP Discount ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  , , ,31.33, , 
1/2/2016,15:43,FP TOTAL ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  , , ,-95.34,-1,45726.99
1/2/2016,16:28,FP #2S ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  ,46.66,2.54,-118.47,-1, 
1/2/2016,16:28,FP Discount ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  , , ,25.99, , 
1/2/2016,16:28,FP TOTAL ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  , , ,-92.48,-1,45633.51
1/2/2016,18:00,FP #2S ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  ,148.5,1.86,-276.06,-1, 
1/2/2016,18:00,FP Discount ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  , , ,14.11, , 
1/2/2016,18:00,FP TOTAL ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  , , ,-261.95,-1,45370.56
1/2/2016,18:52,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,150.2,2.36,-354.33,-1, 
1/2/2016,18:52,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,113.1, , 
1/2/2016,18:52,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-241.23,-1,45128.33
1/2/2016,19:54,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,65.03,2.36,-153.41,-1, 
1/2/2016,19:54,FP RFR ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,20.1,2.36,-47.42, , 
1/2/2016,19:54,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,62.31, , 
1/2/2016,19:54,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-138.52,-1,44988.81
1/2/2016,21:17,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,100.43,2.2,-220.85,-1, 
