,,,,,,,,,,
1/3/2016,1:23,FP #2S ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  ,103.66,1.86,-192.7,-1, 
1/3/2016,1:23,FP Discount ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  , , ,9.85, , 
1/3/2016,1:23,FP TOTAL ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  , , ,-182.85,-1,44643.27
1/3/2016,6:30,FP #2S ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  ,56.15,2.52,-141.44,-1, 
1/3/2016,6:30,FP Discount ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  , , ,36.72, , 
1/3/2016,6:30,FP TOTAL ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  , , ,-104.72,-1,44537.55
1/3/2016,6:42,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,91.57,2.53,-231.59,-1, 
1/3/2016,6:42,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,14.48,2.86,-41.4, , 
1/3/2016,6:42,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,61.17, , 
1/3/2016,6:42,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-211.82,-1,44324.73
1/3/2016,8:45,FP #2S ,PETRO FUEL #7 8500 I-40 E @ LAKESIDE DR  ,AMARILLO ,TX  ,93.7,2.32,-217.29,-1, 
1/3/2016,8:45,FP OTH ,PETRO FUEL #7 8500 I-40 E @ LAKESIDE DR  ,AMARILLO ,TX  ,15.95,2.85,-45.44, , 
1/3/2016,8:45,FP Discount ,PETRO FUEL #7 8500 I-40 E @ LAKESIDE DR  ,AMARILLO ,TX  , , ,64.93, , 
1/3/2016,8:45,FP TOTAL ,PETRO FUEL #7 8500 I-40 E @ LAKESIDE DR  ,AMARILLO ,TX  , , ,-197.8,-1,44125.93
1/3/2016,10:48,Inquiry ,  , , , , ,0,-0.5,44125.43
1/3/2016,11:02,FP #2S ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  ,153.62,2.17,-333.19,-1, 
1/3/2016,11:02,FP Discount ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,98.62, , 
1/3/2016,11:02,FP TOTAL ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,-234.57,-1,43889.86
1/3/2016,11:58,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,4.68,1.98,-9.26,-1, 
1/3/2016,11:58,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,1.07, , 
1/3/2016,11:58,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-8.19,-1,43880.67
1/3/2016,14:49,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,167.41,2.36,-394.93,-1, 
1/3/2016,14:49,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,57.09, , 
1/3/2016,14:49,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-337.84,-1,43541.83
1/3/2016,15:59,FP #2S ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  ,56.15,2.36,-132.45,-1, 
1/3/2016,15:59,FP Discount ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  , , ,17.52, , 
1/3/2016,15:59,FP TOTAL ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  , , ,-114.93,-1,43425.9
1/3/2016,16:23,FP #2S ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,162.53,2.86,-464.66,-1, 
1/3/2016,16:23,FP Discount ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,157, , 
1/3/2016,16:23,FP TOTAL ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,-307.66,-1,43117.24
1/3/2016,19:30,FP #2S ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  ,70.58,2.3,-162.27,-1, 
1/3/2016,19:30,FP OTH ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  ,7.44,3,-22.3, , 
1/3/2016,19:30,FP Discount ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  , , ,36.14, , 
1/3/2016,19:30,FP TOTAL ,TA-PORTLAND I-5 EXIT 278  ,AURORA ,OR  , , ,-148.43,-1,42967.81
1/3/2016,21:13,FP #2S ,LOVES #022 703 SOUTH FIRST  ,CLAYTON ,NM  ,149.04,2.28,-339.81,-1, 
1/3/2016,21:13,FP TOTAL ,LOVES #022 703 SOUTH FIRST  ,CLAYTON ,NM  , , ,-339.81,-1,42627
