,,,,,,,,,,
1/4/2016,6:39,FP #2S ,TA-MOBILE 9201 GRAND BAY WILMER RD   ,GRAND BAY ,AL  ,123.03,1.98,-243.47,-1, 
1/4/2016,6:39,FP Discount ,TA-MOBILE 9201 GRAND BAY WILMER RD   ,GRAND BAY ,AL  , , ,38.02, , 
1/4/2016,6:39,FP TOTAL ,TA-MOBILE 9201 GRAND BAY WILMER RD   ,GRAND BAY ,AL  , , ,-205.45,-1,42420.55
1/4/2016,16:01,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,117.05,2.52,-294.84,-1, 
1/4/2016,16:01,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,2.96,2.86,-8.45, , 
1/4/2016,16:01,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,77.02, , 
1/4/2016,16:01,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-226.27,-1,42193.28
1/4/2016,16:34,Load ,  , , , , ,5876.25,-4,48065.53
1/4/2016,16:59,FP #2S ,TA-MAYBROOK 125 NEELYTOWN ROAD  ,MONTGOMERY ,NY  ,122.47,2.62,-320.74,-1, 
1/4/2016,16:59,FP OTH ,TA-MAYBROOK 125 NEELYTOWN ROAD  ,MONTGOMERY ,NY  ,11.03,2.95,-32.53, , 
1/4/2016,16:59,FP RFR ,TA-MAYBROOK 125 NEELYTOWN ROAD  ,MONTGOMERY ,NY  ,18.39,2.62,-48.17, , 
1/4/2016,16:59,FP Discount ,TA-MAYBROOK 125 NEELYTOWN ROAD  ,MONTGOMERY ,NY  , , ,110.15, , 
1/4/2016,16:59,FP TOTAL ,TA-MAYBROOK 125 NEELYTOWN ROAD  ,MONTGOMERY ,NY  , , ,-291.29,-1,47773.24
1/4/2016,17:46,FP #2S ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  ,186.62,2.46,-458.9,-1, 
1/4/2016,17:46,FP Discount ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,76.7, , 
1/4/2016,17:46,FP TOTAL ,TA-HARRISBURG 7848 LINGLESTOWN RD  ,HARRISBURG ,PA  , , ,-382.2,-1,47390.04
1/4/2016,17:49,FP RFR ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  ,35.79,2.36,-84.45,-1, 
1/4/2016,17:49,FP TOTAL ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  , , ,-84.45,-1,47304.59
1/4/2016,18:03,FP #2S ,PILOT #892 1085 EAST MAIN STREET  ,GREEN RIVER ,UT  ,149.73,2.1,-314.29,-1, 
1/4/2016,18:03,FP TOTAL ,PILOT #892 1085 EAST MAIN STREET  ,GREEN RIVER ,UT  , , ,-314.29,-1,46989.3
1/4/2016,18:56,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,186.77,2.36,-440.6,-1, 
1/4/2016,18:56,FP OTH ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,10.36,2.85,-29.53, , 
1/4/2016,18:56,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,63.69, , 
1/4/2016,18:56,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-406.44,-1,46581.86
