,,,,,,,,,,
1/6/2016,0:01,FP #2S ,TA-WHEELING I 70 EAST DALLAS PIKE EXI  ,VALLEY GROVE ,WV  ,130.59,2.24,-292.4,-1, 
1/6/2016,0:01,FP Discount ,TA-WHEELING I 70 EAST DALLAS PIKE EXI  ,VALLEY GROVE ,WV  , , ,62.29, , 
1/6/2016,0:01,FP TOTAL ,TA-WHEELING I 70 EAST DALLAS PIKE EXI  ,VALLEY GROVE ,WV  , , ,-230.11,-1,51122.68
1/6/2016,4:14,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,142.41,2.2,-313.15,-1, 
1/6/2016,4:14,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,89.72, , 
1/6/2016,4:14,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-223.43,-1,50898.25
1/6/2016,8:29,FP #2S ,PILOT #133 341 DAMON ST.  ,CHEMULT ,OR  ,144.58,1.96,-283.24,-1, 
1/6/2016,8:29,FP OTH ,PILOT #133 341 DAMON ST.  ,CHEMULT ,OR  ,6.36,3,-19.09, , 
1/6/2016,8:29,FP TOTAL ,PILOT #133 341 DAMON ST.  ,CHEMULT ,OR  , , ,-302.33,-1,50594.92
1/6/2016,10:24,FP #2S ,"TA-PAULSBORO I-295S & BERKLEY RD, EXIT  ",PAULSBORO ,NJ  ,9.05,2.1,-19,-1, 
1/6/2016,10:24,FP OTH ,"TA-PAULSBORO I-295S & BERKLEY RD, EXIT  ",PAULSBORO ,NJ  ,14.25,2.85,-40.6, , 
1/6/2016,10:24,FP Discount ,"TA-PAULSBORO I-295S & BERKLEY RD, EXIT  ",PAULSBORO ,NJ  , , ,4.83, , 
1/6/2016,10:24,FP TOTAL ,"TA-PAULSBORO I-295S & BERKLEY RD, EXIT  ",PAULSBORO ,NJ  , , ,-54.77,-1,50539.15
1/6/2016,11:20,FP #2S ,TA-MARIANNA 2112 HWY 71  ,MARIANNA ,FL  ,106.57,2.24,-238.6,-1, 
1/6/2016,11:20,FP Discount ,TA-MARIANNA 2112 HWY 71  ,MARIANNA ,FL  , , ,49.34, , 
1/6/2016,11:20,FP TOTAL ,TA-MARIANNA 2112 HWY 71  ,MARIANNA ,FL  , , ,-189.26,-1,50348.89
1/6/2016,11:20,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,181.59,2.38,-432,-1, 
1/6/2016,11:20,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,94.61, , 
1/6/2016,11:20,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-337.39,-1,50010.5
1/6/2016,13:26,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,51.16,2.48,-126.83,-1, 
1/6/2016,13:26,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,33, , 
1/6/2016,13:26,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-93.83,-1,49915.67
1/6/2016,14:21,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,82.47,2.36,-194.55,-1, 
1/6/2016,14:21,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,63.58, , 
1/6/2016,14:21,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-130.97,-1,49783.7
1/6/2016,14:27,FP RFR ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,48.37,2.36,-114.11, , 
1/6/2016,14:27,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,37.29, , 
1/6/2016,14:27,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-76.82, ,49706.88
1/6/2016,14:27,Load ,  , , , , ,239,-4,49941.88
