,,,,,,,,,,
10/30/2015,1:05,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,113.18,2.39,-270.39,-1, 
10/30/2015,1:05,FP OTH ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,3.69,2.85,-10.52, , 
10/30/2015,1:05,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,39.95, , 
10/30/2015,1:05,FP TOTAL ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,-240.96,-1,30164.29
10/30/2015,1:46,FP #2S ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  ,98.13,2.53,-248.18,-1, 
10/30/2015,1:46,FP Discount ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  , , ,14.43, , 
10/30/2015,1:46,FP TOTAL ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  , , ,-233.75,-1,29929.54
10/30/2015,5:12,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,63.01,2.66,-167.54,-1, 
10/30/2015,5:12,FP OTH ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,1.95,2.85,-5.55, , 
10/30/2015,5:12,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,9.33, , 
10/30/2015,5:12,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-163.76,-1,29764.78
10/30/2015,6:13,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,167.9,2.5,-419.58,-1, 
10/30/2015,6:13,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,46.51, , 
10/30/2015,6:13,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-373.07,-1,29390.71
10/30/2015,7:06,FP #2S ,PETRO DODGE CITY 426 AL HWY 69 S  ,HANCEVILLE ,AL  ,71.35,2.2,-156.9,-1, 
10/30/2015,7:06,FP RFR ,PETRO DODGE CITY 426 AL HWY 69 S  ,HANCEVILLE ,AL  ,17.7,2.2,-38.92, , 
10/30/2015,7:06,FP TOTAL ,PETRO DODGE CITY 426 AL HWY 69 S  ,HANCEVILLE ,AL  , , ,-195.82,-1,29193.89
10/30/2015,8:40,FP #2S ,MAVERICK MONTICELLO-444 265 E CENTER ST  ,MONTICELLO ,UT  ,100.04,2.5,-250.01,-1, 
10/30/2015,8:40,FP TOTAL ,MAVERICK MONTICELLO-444 265 E CENTER ST  ,MONTICELLO ,UT  , , ,-250.01,-1,28942.88
10/30/2015,14:56,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,34.22,2.56,-87.56,-1, 
10/30/2015,14:56,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,7.8, , 
10/30/2015,14:56,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-79.76,-1,28862.12
10/30/2015,15:43,FP #2S ,"TA-TALLULAH I-20 & US 65, EX 171  ",TALLULAH ,LA  ,134,2.32,-310.75,-1, 
10/30/2015,15:43,FP OTH ,"TA-TALLULAH I-20 & US 65, EX 171  ",TALLULAH ,LA  ,10,2.86,-28.59, , 
10/30/2015,15:43,FP Discount ,"TA-TALLULAH I-20 & US 65, EX 171  ",TALLULAH ,LA  , , ,42.61, , 
10/30/2015,15:43,FP TOTAL ,"TA-TALLULAH I-20 & US 65, EX 171  ",TALLULAH ,LA  , , ,-296.73,-1,28564.39
10/30/2015,15:52,FP #2S ,"TA-CLAYTON I-70 & SR 39, EXIT 59  ",CLAYTON ,IN  ,62.04,2.53,-156.83,-1, 
10/30/2015,15:52,FP OTH ,"TA-CLAYTON I-70 & SR 39, EXIT 59  ",CLAYTON ,IN  ,17.15,2.75,-47.14, , 
10/30/2015,15:52,FP Discount ,"TA-CLAYTON I-70 & SR 39, EXIT 59  ",CLAYTON ,IN  , , ,6.89, , 
10/30/2015,15:52,FP TOTAL ,"TA-CLAYTON I-70 & SR 39, EXIT 59  ",CLAYTON ,IN  , , ,-197.08,-1,28366.31
10/30/2015,16:40,Load ,  , , , , ,2956.94,-4,31319.25
