,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
10/31/2015,2:39,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,117.56,2.5,-293.78,-1, 
10/31/2015,2:39,FP OTH ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,7.76,2.86,-22.17, , 
10/31/2015,2:39,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,31.39, , 
10/31/2015,2:39,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-284.56,-1,31033.69
10/31/2015,3:55,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,110.21,2.35,-258.88,-1, 
10/31/2015,3:55,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,3.38,2.86,-9.65, , 
10/31/2015,3:55,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,7.07,2.35,-16.61, , 
10/31/2015,3:55,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,13.48, , 
10/31/2015,3:55,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-271.66,-1,30761.03
10/31/2015,4:23,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,145.69,2.61,-380.84,-1, 
10/31/2015,4:23,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,42.98, , 
10/31/2015,4:23,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-337.86,-1,30422.17
10/31/2015,5:14,FP #2S ,PETRO FUEL # 26 I-40 & HWY 391 EXIT 161  ,NORTH LITTLE ROCK ,AR  ,138.15,2.37,-327.28,-1, 
10/31/2015,5:14,FP Discount ,PETRO FUEL # 26 I-40 & HWY 391 EXIT 161  ,NORTH LITTLE ROCK ,AR  , , ,10.78, , 
10/31/2015,5:14,FP TOTAL ,PETRO FUEL # 26 I-40 & HWY 391 EXIT 161  ,NORTH LITTLE ROCK ,AR  , , ,-316.5,-1,30104.67
10/31/2015,5:37,FP #2S ,TA-MONTGOMERY 980 WEST SOUTH BLVD  ,MONTGOMERY ,AL  ,111.97,2.3,-257.42,-1, 
10/31/2015,5:37,FP OTH ,TA-MONTGOMERY 980 WEST SOUTH BLVD  ,MONTGOMERY ,AL  ,11.76,2.7,-31.74, , 
10/31/2015,5:37,FP Discount ,TA-MONTGOMERY 980 WEST SOUTH BLVD  ,MONTGOMERY ,AL  , , ,25.31, , 
10/31/2015,5:37,FP TOTAL ,TA-MONTGOMERY 980 WEST SOUTH BLVD  ,MONTGOMERY ,AL  , , ,-263.85,-1,29839.82
10/31/2015,9:46,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,80.51,2.6,-209.25,-1, 
10/31/2015,9:46,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,14.41, , 
10/31/2015,9:46,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-194.84,-1,29643.98
10/31/2015,10:34,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,133.06,2.6,-345.83,-1, 
10/31/2015,10:34,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,3.85,2.8,-10.78, , 
10/31/2015,10:34,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,23.82, , 
10/31/2015,10:34,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-332.79,-1,29310.19
10/31/2015,13:39,FP #2S ,TA-SWEETWATER 100 SOUTH HOPKINS RD  ,SWEETWATER ,TX  ,94,2.3,-216.11,-1, 
10/31/2015,13:39,FP Discount ,TA-SWEETWATER 100 SOUTH HOPKINS RD  ,SWEETWATER ,TX  , , ,24.63, , 
10/31/2015,13:39,FP TOTAL ,TA-SWEETWATER 100 SOUTH HOPKINS RD  ,SWEETWATER ,TX  , , ,-191.48,-1,29117.71
10/31/2015,18:44,FP RFR ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  ,20.21,2.36,-47.69,-1, 
10/31/2015,18:44,FP Discount ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  , , ,7.09, , 
10/31/2015,18:44,FP TOTAL ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  , , ,-40.6,-1,29076.11
10/31/2015,18:48,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,186.02,2.39,-444.4,-1, 
10/31/2015,18:48,FP OTH ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,14.04,2.85,-40.01, , 
10/31/2015,18:48,FP RFR ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,27.48,2.39,-65.66, , 
10/31/2015,18:48,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,30.1, , 
10/31/2015,18:48,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-519.97,-1,28555.14
10/31/2015,20:44,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,46.03,2.56,-117.78,-1, 
