,,,,,,,,,,
11/9/2015,0:30,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,181.07,2.48,-448.87,-1, 
11/9/2015,0:30,FP OTH ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,14.4,2.86,-41.18, , 
11/9/2015,0:30,FP RFR ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,39.41,2.48,-97.7, , 
11/9/2015,0:30,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,78.71, , 
11/9/2015,0:30,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-509.04,-1,15760.35
11/9/2015,0:31,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,153.78,2.48,-381.22,-1, 
11/9/2015,0:31,FP OTH ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,6.27,2.86,-17.93, , 
11/9/2015,0:31,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,54.9, , 
11/9/2015,0:31,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-344.25,-1,15415.1
11/9/2015,4:19,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,160.56,2.63,-422.12,-1, 
11/9/2015,4:19,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,32.11, , 
11/9/2015,4:19,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-390.01,-1,15024.09
11/9/2015,8:05,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,56.66,2.73,-154.62,-1, 
11/9/2015,8:05,FP OTH ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,1.65,2.86,-4.72, , 
11/9/2015,8:05,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,21.02, , 
11/9/2015,8:05,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-138.32,-1,14883.27
11/9/2015,8:45,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,177.94,2.43,-432.21,-1, 
11/9/2015,8:45,FP OTH ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,13.3,2.86,-38.01, , 
11/9/2015,8:45,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,71, , 
11/9/2015,8:45,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,-399.22,-1,14483.05
11/9/2015,9:14,FP #2S ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,75.5,2.58,-194.72,-1, 
11/9/2015,9:14,FP OTH ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,5.03,2.85,-14.33, , 
11/9/2015,9:14,FP RFR ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,10.03,2.58,-25.86, , 
