,,,,,,,,,,
11/10/2015,0:02,FP #2S ,FLYING J #923 DBA TOWN PU 2775 OLD HARDIN ROAD  ,BILLINGS ,MT  ,134.59,2.39,-321.55,-1, 
11/10/2015,0:02,FP RFR ,FLYING J #923 DBA TOWN PU 2775 OLD HARDIN ROAD  ,BILLINGS ,MT  ,8.14,2.39,-19.45, , 
11/10/2015,0:02,FP TOTAL ,FLYING J #923 DBA TOWN PU 2775 OLD HARDIN ROAD  ,BILLINGS ,MT  , , ,-341,-1,31132.66
11/10/2015,0:09,FP #2S ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,150.29,2.37,-356.03,-1, 
11/10/2015,0:09,FP RFR ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,4.13,2.37,-9.79, , 
11/10/2015,0:09,FP Discount ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,23.93, , 
11/10/2015,0:09,FP TOTAL ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,-341.89,-1,30789.77
11/10/2015,0:56,FP #2S ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,65.7,2.37,-155.65,-1, 
11/10/2015,0:56,FP Discount ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,10.18, , 
11/10/2015,0:56,FP TOTAL ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,-145.47,-1,30643.3
11/10/2015,1:26,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,152,2.62,-398.09,-1, 
11/10/2015,1:26,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,41.19, , 
11/10/2015,1:26,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-356.9,-1,30285.4
11/10/2015,2:38,FP #2S ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  ,70.09,2.4,-168.16,-1, 
11/10/2015,2:38,FP Discount ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,3.78, , 
11/10/2015,2:38,FP TOTAL ,TA-MISSOULA 8018 HIGHWAY 93 N  ,MISSOULA ,MT  , , ,-164.38,-1,30120.02
11/10/2015,7:16,FP RFR ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  ,20.22,2.8,-56.6,-1, 
11/10/2015,7:16,FP Discount ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  , , ,5.32, , 
11/10/2015,7:16,FP TOTAL ,TA-BROOKVILLE I -80 EXIT 78  ,BROOKVILLE ,PA  , , ,-51.28,-1,30067.74
11/10/2015,9:02,FP #2S ,PETRO FUEL #70 / OAK GROV 301 S.W. 1ST STREET  ,OAK GROVE ,MO  ,9.37,2.42,-22.65,-1, 
11/10/2015,9:02,FP Discount ,PETRO FUEL #70 / OAK GROV 301 S.W. 1ST STREET  ,OAK GROVE ,MO  , , ,3.36, , 
11/10/2015,9:02,FP TOTAL ,PETRO FUEL #70 / OAK GROV 301 S.W. 1ST STREET  ,OAK GROVE ,MO  , , ,-19.29,-1,30047.45
11/10/2015,9:09,FP #2S ,PETRO FUEL #70 / OAK GROV 301 S.W. 1ST STREET  ,OAK GROVE ,MO  ,75.12,2.42,-181.72, , 
11/10/2015,9:09,FP Discount ,PETRO FUEL #70 / OAK GROV 301 S.W. 1ST STREET  ,OAK GROVE ,MO  , , ,27.12, , 
11/10/2015,9:09,FP TOTAL ,PETRO FUEL #70 / OAK GROV 301 S.W. 1ST STREET  ,OAK GROVE ,MO  , , ,-154.6, ,29892.85
11/10/2015,11:50,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,112.67,2.62,-295.08,-1, 
11/10/2015,11:50,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,3.38,2.79,-9.43, , 
11/10/2015,11:50,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,20.62, , 
11/10/2015,11:50,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-283.89,-1,29607.96
11/10/2015,11:57,Check ,  , , , , ,-10000,-4,19603.96
11/10/2015,12:20,FP #2S ,TA-COLUMBIA I-80 AND RT.94 EXIT 4  ,COLUMBIA ,NJ  ,119.32,2.78,-331.59,-1, 
11/10/2015,12:20,FP Discount ,TA-COLUMBIA I-80 AND RT.94 EXIT 4  ,COLUMBIA ,NJ  , , ,91.88, , 
11/10/2015,12:20,FP TOTAL ,TA-COLUMBIA I-80 AND RT.94 EXIT 4  ,COLUMBIA ,NJ  , , ,-239.71,-1,19363.25
11/10/2015,14:08,FP #2S ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  ,152.33,3.36,-511.68,-1, 
11/10/2015,14:08,FP Discount ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,130.24, , 
11/10/2015,14:08,FP TOTAL ,PETRO FUEL #39 10506 W. AERO RD.  ,SPOKANE ,WA  , , ,-381.44,-1,18980.81
11/10/2015,14:17,FP #2S ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,60,2.49,-149.34,-1, 
11/10/2015,14:17,FP RFR ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  ,30.54,2.49,-76, , 
11/10/2015,14:17,FP TOTAL ,RJ'S FUEL STOP 2267 W. MAIN  ,TREMONTON ,UT  , , ,-225.34,-1,18754.47
11/10/2015,16:53,Load ,  , , , , ,19748.29,-4,38498.76
11/10/2015,17:30,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,114.61,2.62,-300.17,-1, 
11/10/2015,17:30,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,5.25,2.8,-14.71, , 
11/10/2015,17:30,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,20.97, , 
11/10/2015,17:30,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-293.91,-1,38203.85
11/10/2015,19:53,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,128.93,2.87,-369.9,-1, 
11/10/2015,19:53,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,2.67,2.86,-7.64, , 
11/10/2015,19:53,FP RFR ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,14.54,2.87,-41.71, , 
11/10/2015,19:53,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,60.98, , 
11/10/2015,19:53,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-358.27,-1,37844.58
11/10/2015,20:18,FP #2S ,"PETRO FUEL #53 I-90/94,& HWY 78 SO. EXIT  ",PORTAGE ,WI  ,164.36,2.67,-438.68,-1, 
11/10/2015,20:18,FP RFR ,"PETRO FUEL #53 I-90/94,& HWY 78 SO. EXIT  ",PORTAGE ,WI  ,8.42,2.67,-22.47, , 
11/10/2015,20:18,FP Discount ,"PETRO FUEL #53 I-90/94,& HWY 78 SO. EXIT  ",PORTAGE ,WI  , , ,3.46, , 
11/10/2015,20:18,FP TOTAL ,"PETRO FUEL #53 I-90/94,& HWY 78 SO. EXIT  ",PORTAGE ,WI  , , ,-457.69,-1,37385.89
11/10/2015,23:37,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,81.06,2.66,-215.53,-1, 
11/10/2015,23:37,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,37.77, , 
11/10/2015,23:37,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-177.76,-1,37207.13
