,,,,,,,,,,
11/13/2015,0:22,FP #2S ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  ,187.5,2.39,-447.94,-1, 
11/13/2015,0:22,FP OTH ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  ,6.49,2.85,-18.48, , 
11/13/2015,0:22,FP RFR ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  ,24.65,2.39,-58.88, , 
11/13/2015,0:22,FP Discount ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  , , ,52.61, , 
11/13/2015,0:22,FP TOTAL ,PETRO FUEL #20 I-80 & SALT SPRING RD  ,GIRARD ,OH  , , ,-472.69,-1,21161.98
11/13/2015,3:03,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,136.12,2.43,-330.63,-1, 
11/13/2015,3:03,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,59.76, , 
11/13/2015,3:03,FP TOTAL ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,-270.87,-1,20890.11
11/13/2015,3:46,FP #2S ,TA LAUREL - FUEL 11360 SOUTH FRONTAGE RD  ,LAUREL ,MT  ,147.97,2.43,-359.42,-1, 
11/13/2015,3:46,FP RFR ,TA LAUREL - FUEL 11360 SOUTH FRONTAGE RD  ,LAUREL ,MT  ,12.86,2.43,-31.22, , 
11/13/2015,3:46,FP TOTAL ,TA LAUREL - FUEL 11360 SOUTH FRONTAGE RD  ,LAUREL ,MT  , , ,-390.64,-1,20498.47
11/13/2015,4:42,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,112.98,2.62,-295.91,-1, 
11/13/2015,4:42,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,3.56,2.8,-9.98, , 
11/13/2015,4:42,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,28.36, , 
11/13/2015,4:42,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-277.53,-1,20219.94
11/13/2015,5:35,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,92.44,2.41,-222.68,-1, 
11/13/2015,5:35,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,37.53, , 
11/13/2015,5:35,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,-185.15,-1,20033.79
11/13/2015,10:01,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,49.2,2.39,-117.54,-1, 
11/13/2015,10:01,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,13.92, , 
11/13/2015,10:01,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,-103.62,-1,19929.17
11/13/2015,10:03,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,160.66,2.7,-433.62,-1, 
11/13/2015,10:03,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,42.25, , 
11/13/2015,10:03,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-391.37,-1,19536.8
11/13/2015,12:46,FP #2S ,LOVES #478 I-15 EXIT 113  ,IDAHO FALLS ,ID  ,174.81,2.65,-463.08,-1, 
11/13/2015,12:46,FP TOTAL ,LOVES #478 I-15 EXIT 113  ,IDAHO FALLS ,ID  , , ,-463.08,-1,19072.72
11/13/2015,13:37,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,144.72,2.64,-381.92,-1, 
11/13/2015,13:37,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,8.46,2.85,-24.1, , 
11/13/2015,13:37,FP RFR ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,10.27,2.64,-27.1, , 
11/13/2015,13:37,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,78.74, , 
11/13/2015,13:37,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-354.38,-1,18717.34
11/13/2015,15:54,Load ,  , , , , ,12548.41,-4,31261.75
11/13/2015,16:43,FP #2S ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  ,134.3,3,-402.75,-1, 
11/13/2015,16:43,FP Discount ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  , , ,102.61, , 
11/13/2015,16:43,FP TOTAL ,TA-FULTONVILLE 40 RIVERSIDE DR  ,FULTONVILLE ,NY  , , ,-300.14,-1,30960.61
11/13/2015,16:46,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,58.01,2.4,-139.16,-1, 
11/13/2015,16:46,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,15.93,2.86,-45.54, , 
11/13/2015,16:46,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,20,2.4,-47.99, , 
11/13/2015,16:46,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,6.24, , 
11/13/2015,16:46,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-226.45,-1,30733.16
11/13/2015,17:13,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,67.86,2.54,-172.3,-1, 
11/13/2015,17:13,FP OTH ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,10.82,2.76,-29.86, , 
11/13/2015,17:13,FP RFR ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,14.31,2.41,-34.48, , 
11/13/2015,17:13,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,32.09, , 
