,,,,,,,,,,
11/15/2015,0:48,FP #2S ,TA-BINGHAMTON 753 UPPER COURT ST  ,BINGHAMTON ,NY  ,105.33,2.82,-296.91,-1, 
11/15/2015,0:48,FP Discount ,TA-BINGHAMTON 753 UPPER COURT ST  ,BINGHAMTON ,NY  , , ,72.05, , 
11/15/2015,0:48,FP TOTAL ,TA-BINGHAMTON 753 UPPER COURT ST  ,BINGHAMTON ,NY  , , ,-224.86,-1,26544.1
11/15/2015,6:33,FP #2S ,"B & D TRUCK PORT I-44, EXIT 127  ",LEBANON ,MO  ,170.25,2.3,-391.41,-1, 
11/15/2015,6:33,FP TOTAL ,"B & D TRUCK PORT I-44, EXIT 127  ",LEBANON ,MO  , , ,-391.41,-1,26151.69
11/15/2015,7:27,FP OTH ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,4.82,2.86,-13.78,-1, 
11/15/2015,7:27,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-13.78,-1,26136.91
11/15/2015,8:53,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,122.31,2.49,-304.43,-1, 
11/15/2015,8:53,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,5.51,2.86,-15.76, , 
11/15/2015,8:53,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,12.98,2.49,-32.3, , 
11/15/2015,8:53,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,15.68, , 
11/15/2015,8:53,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-336.81,-1,25799.1
11/15/2015,8:56,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,143.59,2.49,-357.41,-1, 
11/15/2015,8:56,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,16.66, , 
11/15/2015,8:56,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-340.75,-1,25457.35
11/15/2015,9:26,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,131.07,2.7,-353.76,-1, 
11/15/2015,9:26,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,1.91,2.8,-5.35, , 
11/15/2015,9:26,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,46.92, , 
11/15/2015,9:26,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-312.19,-1,25144.16
11/15/2015,10:47,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,38.74,2.96,-114.62,-1, 
