,,,,,,,,,,
11/16/2015,1:52,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,92.74,2.7,-250.31,-1, 
11/16/2015,1:52,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,3.92,2.8,-10.96, , 
11/16/2015,1:52,FP RFR ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,11.81,2.7,-31.88, , 
11/16/2015,1:52,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,37.43, , 
11/16/2015,1:52,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-255.72,-1,23269.18
11/16/2015,5:26,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,168.12,2.49,-418.46,-1, 
11/16/2015,5:26,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,5.25,2.86,-15, , 
11/16/2015,5:26,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,29.1,2.49,-72.44, , 
11/16/2015,5:26,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,22.88, , 
11/16/2015,5:26,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-483.02,-1,22785.16
11/16/2015,6:47,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,73.8,2.53,-186.64,-1, 
11/16/2015,6:47,FP OTH ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,6.79,2.8,-19, , 
11/16/2015,6:47,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,17.27, , 
11/16/2015,6:47,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-188.37,-1,22595.79
11/16/2015,11:03,Load ,  , , , , ,4125,-4,26716.79
11/16/2015,11:03,Check ,  , , , , ,-10000,-4,16712.79
11/16/2015,13:23,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,138.69,2.5,-346.6,-1, 
11/16/2015,13:23,FP OTH ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,4.75,2.86,-13.58, , 
11/16/2015,13:23,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,47.71, , 
11/16/2015,13:23,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-312.47,-1,16399.32
11/16/2015,13:36,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,158.71,2.6,-412.49,-1, 
11/16/2015,13:36,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,66.18, , 
11/16/2015,13:36,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-346.31,-1,16052.01
11/16/2015,21:20,FP #2S ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  ,101.43,3,-304.19,-1, 
11/16/2015,21:20,FP Discount ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  , , ,85.51, , 
11/16/2015,21:20,FP TOTAL ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  , , ,-218.68,-1,15832.33
11/16/2015,21:49,FP #2S ,LOVES #280 1610 S. MILLER RD  ,BUCKEYE ,AZ  ,117.75,2.53,-297.79,-1, 
11/16/2015,21:49,FP OTH ,LOVES #280 1610 S. MILLER RD  ,BUCKEYE ,AZ  ,15.03,2.7,-40.57, , 
11/16/2015,21:49,FP TOTAL ,LOVES #280 1610 S. MILLER RD  ,BUCKEYE ,AZ  , , ,-338.36,-1,15492.97
11/16/2015,22:04,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,105.99,2.47,-261.69,-1, 
11/16/2015,22:04,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,3.55,2.86,-10.16, , 
11/16/2015,22:04,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,3.7,2.47,-9.14, , 
11/16/2015,22:04,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,10.54, , 
11/16/2015,22:04,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-270.45,-1,15221.52
11/16/2015,22:36,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,135.21,2.47,-333.84,-1, 
11/16/2015,22:36,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,15.47,2.86,-44.23, , 
11/16/2015,22:36,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,12.98, , 
11/16/2015,22:36,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-365.09,-1,14855.43
