,,,,,,,,,,
11/17/2015,0:24,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,119.76,2.92,-349.57,-1, 
11/17/2015,0:24,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,8.56,2.86,-24.46, , 
11/17/2015,0:24,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,65.87, , 
11/17/2015,0:24,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-308.16,-1,14546.27
11/17/2015,5:40,FP #2S ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  ,130.13,2.73,-355.13,-1, 
11/17/2015,5:40,FP OTH ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  ,5.48,2.82,-15.46, , 
11/17/2015,5:40,FP Discount ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  , , ,69.1, , 
11/17/2015,5:40,FP TOTAL ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  , , ,-301.49,-1,14243.78
11/17/2015,5:46,FP RFR ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  ,15.79,2.73,-43.1, , 
11/17/2015,5:46,FP Discount ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  , , ,8.4, , 
11/17/2015,5:46,FP TOTAL ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  , , ,-34.7, ,14209.08
11/17/2015,5:46,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,121.14,2.71,-328.29,-1, 
11/17/2015,5:46,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,75.11, , 
11/17/2015,5:46,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-253.18,-1,13954.9
11/17/2015,7:04,FP #2S ,TA-GREENEVILLE 195 VAN HILL RD  ,GREENEVILLE ,TN  ,149.86,2.4,-359.52,-1, 
11/17/2015,7:04,FP OTH ,TA-GREENEVILLE 195 VAN HILL RD  ,GREENEVILLE ,TN  ,5.63,2.79,-15.7, , 
11/17/2015,7:04,FP TOTAL ,TA-GREENEVILLE 195 VAN HILL RD  ,GREENEVILLE ,TN  , , ,-375.22,-1,13578.68
11/17/2015,8:20,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,145.1,2.71,-393.21,-1, 
11/17/2015,8:20,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,89.96, , 
11/17/2015,8:20,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-303.25,-1,13274.43
11/17/2015,9:26,FP #2S ,LOVES #349 2931 E GILA RIDGE RD  ,YUMA ,AZ  ,70.69,2.59,-183,-1, 
11/17/2015,9:26,FP TOTAL ,LOVES #349 2931 E GILA RIDGE RD  ,YUMA ,AZ  , , ,-183,-1,13090.43
11/17/2015,11:11,FP #2S ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  ,93.86,2.36,-221.43,-1, 
11/17/2015,11:11,FP RFR ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  ,21.58,2.36,-50.91, , 
11/17/2015,11:11,FP Discount ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  , , ,36.37, , 
11/17/2015,11:11,FP TOTAL ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  , , ,-235.97,-1,12853.46
11/17/2015,11:15,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,77.39,2.63,-203.46,-1, 
11/17/2015,11:15,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,36.68, , 
11/17/2015,11:15,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-166.78,-1,12685.68
11/17/2015,13:43,FP #2S ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,184.49,2.48,-457.35,-1, 
11/17/2015,13:43,FP OTH ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,11.69,2.85,-33.32, , 
11/17/2015,13:43,FP Discount ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,112.35, , 
11/17/2015,13:43,FP TOTAL ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,-378.32,-1,12306.36
11/17/2015,15:09,FP #2S ,LOVES #518 358 S 2200 W  ,SPRINGVILLE ,UT  ,149.56,2.58,-385.86,-1, 
11/17/2015,15:09,FP TOTAL ,LOVES #518 358 S 2200 W  ,SPRINGVILLE ,UT  , , ,-385.86,-1,11919.5
11/17/2015,15:38,FP #2S ,TA LAUREL - FUEL 11360 SOUTH FRONTAGE RD  ,LAUREL ,MT  ,116.07,2.42,-280.76,-1, 
11/17/2015,15:38,FP TOTAL ,TA LAUREL - FUEL 11360 SOUTH FRONTAGE RD  ,LAUREL ,MT  , , ,-280.76,-1,11637.74
11/17/2015,16:02,FP #2S ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  ,157.34,2.35,-369.6,-1, 
11/17/2015,16:02,FP Discount ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  , , ,14.32, , 
11/17/2015,16:02,FP TOTAL ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  , , ,-355.28,-1,11281.46
11/17/2015,16:49,Load ,  , , , , ,13256.9,-4,24534.36
11/17/2015,17:44,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,68.81,2.63,-180.9,-1, 
11/17/2015,17:44,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,30.62, , 
11/17/2015,17:44,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-150.28,-1,24383.08
11/17/2015,19:15,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,7.22,2.63,-18.98,-1, 
11/17/2015,19:15,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,3.21, , 
11/17/2015,19:15,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-15.77,-1,24366.31
11/17/2015,23:33,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,117.05,2.63,-307.72,-1, 
11/17/2015,23:33,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,3.54,3,-10.62, , 
11/17/2015,23:33,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,55.48, , 
11/17/2015,23:33,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-262.86,-1,24102.45
