,,,,,,,,,,
11/18/2015,5:30,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,139.03,2.47,-343.27,-1, 
11/18/2015,5:30,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,50.05, , 
11/18/2015,5:30,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-293.22,-1,23808.23
11/18/2015,5:34,FP OTH ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,6.22,2.76,-17.15, , 
11/18/2015,5:34,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-17.15, ,23791.08
11/18/2015,10:23,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,126.02,2.48,-312.41,-1, 
11/18/2015,10:23,FP OTH ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,16.62,2.86,-47.52, , 
11/18/2015,10:23,FP RFR ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,15.16,2.48,-37.58, , 
11/18/2015,10:23,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,53.93, , 
11/18/2015,10:23,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-343.58,-1,23446.5
11/18/2015,10:24,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,85.42,2.63,-224.58,-1, 
11/18/2015,10:24,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,41, , 
11/18/2015,10:24,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-183.58,-1,23261.92
11/18/2015,13:03,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,171.76,2.62,-449.83,-1, 
11/18/2015,13:03,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,4.68,2.86,-13.37, , 
11/18/2015,13:03,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,75.75, , 
11/18/2015,13:03,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-387.45,-1,22873.47
11/18/2015,13:22,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,153.52,2.46,-377.5,-1, 
11/18/2015,13:22,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,17.35, , 
11/18/2015,13:22,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-360.15,-1,22512.32
11/18/2015,14:31,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,173.2,2.52,-436.29,-1, 
11/18/2015,14:31,FP RFR ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,13.91,2.4,-33.36, , 
11/18/2015,14:31,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,75.79, , 
11/18/2015,14:31,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-393.86,-1,22117.46
11/18/2015,14:41,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,85.29,2.86,-243.85,-1, 
11/18/2015,14:41,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,2.6,2.86,-7.43, , 
11/18/2015,14:41,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,43.33, , 
11/18/2015,14:41,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-207.95,-1,21908.51
11/18/2015,15:37,FP #2S ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  ,174.77,2.6,-454.23,-1, 
11/18/2015,15:37,FP TOTAL ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  , , ,-454.23,-1,21453.28
11/18/2015,16:38,FP #2S ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  ,46.02,2.6,-119.63,-1, 
11/18/2015,16:38,FP OTH ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  ,12.62,2.8,-35.33, , 
11/18/2015,16:38,FP TOTAL ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  , , ,-154.96,-1,21297.32
11/18/2015,16:52,Load ,  , , , , ,8308.19,-4,29601.51
11/18/2015,17:18,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,132.2,2.46,-325.09,-1, 
11/18/2015,17:18,FP RFR ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,42.2,2.46,-103.78, , 
11/18/2015,17:18,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,83.19, , 
11/18/2015,17:18,FP TOTAL ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,-345.68,-1,29254.83
11/18/2015,18:25,FP #2S ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,97.64,3.35,-327,-1, 
11/18/2015,18:25,FP OTH ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  ,15.81,2.95,-46.62, , 
11/18/2015,18:25,FP Discount ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,113.26, , 
11/18/2015,18:25,FP TOTAL ,TA-SEATTLE EAST/NORTH BEN 46600 SE NORTH BEND WAY  ,NORTH BEND ,WA  , , ,-260.36,-1,28993.47
