,,,,,,,,,,
11/19/2015,0:45,FP #2S ,PILOT #195 91485 BIGGS RUFUS HWY  ,BIGGS JUNCTION ,OR  ,145.07,2.24,-324.82,-1, 
11/19/2015,0:45,FP OTH ,PILOT #195 91485 BIGGS RUFUS HWY  ,BIGGS JUNCTION ,OR  ,6.66,3,-19.98, , 
11/19/2015,0:45,FP RFR ,PILOT #195 91485 BIGGS RUFUS HWY  ,BIGGS JUNCTION ,OR  ,18.94,2.24,-42.41, , 
11/19/2015,0:45,FP TOTAL ,PILOT #195 91485 BIGGS RUFUS HWY  ,BIGGS JUNCTION ,OR  , , ,-387.21,-1,28605.26
11/19/2015,4:55,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,83.27,2.63,-218.91,-1, 
11/19/2015,4:55,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,7.34,3,-22, , 
11/19/2015,4:55,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,41.8, , 
11/19/2015,4:55,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-199.11,-1,28405.15
11/19/2015,8:04,FP #2S ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  ,57.4,2.63,-150.89,-1, 
11/19/2015,8:04,FP Discount ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  , , ,20.72, , 
11/19/2015,8:04,FP TOTAL ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  , , ,-130.17,-1,28273.98
11/19/2015,9:43,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,80.18,2.67,-213.99,-1, 
11/19/2015,9:43,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,32.55, , 
11/19/2015,9:43,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-181.44,-1,28091.54
11/19/2015,10:59,FP #2S ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  ,157.68,2.6,-409.83,-1, 
11/19/2015,10:59,FP TOTAL ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  , , ,-409.83,-1,27680.71
11/19/2015,11:13,FP #2S ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,160.94,2.69,-432.77,-1, 
11/19/2015,11:13,FP Discount ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,72.26, , 
11/19/2015,11:13,FP TOTAL ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,-360.51,-1,27319.2
11/19/2015,11:57,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,94.32,2.67,-251.73,-1, 
