,,,,,,,,,,
11/2/2015,1:05,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,151.45,2.72,-411.78,-1, 
11/2/2015,1:05,FP OTH ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,10.67,2.86,-30.51, , 
11/2/2015,1:05,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,56.79, , 
11/2/2015,1:05,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-385.5,-1,23860.52
11/2/2015,3:22,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,109.02,2.42,-263.73,-1, 
11/2/2015,3:22,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,18.75, , 
11/2/2015,3:22,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-244.98,-1,23614.54
11/2/2015,4:37,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,90.87,2.66,-241.35,-1, 
11/2/2015,4:37,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,28.35, , 
11/2/2015,4:37,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-213,-1,23400.54
11/2/2015,7:14,FP #2S ,"TA-SAWYER I-94& SAWYER RD, EXIT 12   ",SAWYER ,MI  ,101.11,2.72,-274.93,-1, 
11/2/2015,7:14,FP OTH ,"TA-SAWYER I-94& SAWYER RD, EXIT 12   ",SAWYER ,MI  ,5.17,2.86,-14.79, , 
11/2/2015,7:14,FP Discount ,"TA-SAWYER I-94& SAWYER RD, EXIT 12   ",SAWYER ,MI  , , ,19.31, , 
11/2/2015,7:14,FP TOTAL ,"TA-SAWYER I-94& SAWYER RD, EXIT 12   ",SAWYER ,MI  , , ,-270.41,-1,23129.13
11/2/2015,12:20,Check ,  , , , , ,-12000,-4,11125.13
11/2/2015,12:20,Inquiry ,  , , , , ,0,-0.5,11124.63
11/2/2015,15:25,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,86.27,2.6,-224.22,-1, 
11/2/2015,15:25,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,2.82,2.8,-7.89, , 
11/2/2015,15:25,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,13.8, , 
11/2/2015,15:25,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-218.31,-1,10905.32
11/2/2015,16:20,Load ,  , , , , ,30641.58,-4,41542.9
11/2/2015,16:34,Load ,  , , , , ,5356.7,-4,46895.6
11/2/2015,20:16,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,188.64,2.55,-480.85,-1, 
11/2/2015,20:16,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-480.85,-1,46413.75
11/2/2015,21:33,FP #2S ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  ,104.61,2.78,-290.7,-1, 
11/2/2015,21:33,FP OTH ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  ,10.42,2.86,-29.8, , 
11/2/2015,21:33,FP RFR ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  ,23.2,2.78,-64.48, , 
11/2/2015,21:33,FP Discount ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  , , ,55.35, , 
11/2/2015,21:33,FP TOTAL ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  , , ,-329.63,-1,46083.12
11/2/2015,22:56,FP #2S ,MARTIN GENERAL STORE #230 4057 ADMIRAL PERRY HIGHWA  ,EBENSBURG ,PA  ,20.13,2.66,-53.53,-1, 
11/2/2015,22:56,FP TOTAL ,MARTIN GENERAL STORE #230 4057 ADMIRAL PERRY HIGHWA  ,EBENSBURG ,PA  , , ,-53.53,-1,46028.59
11/2/2015,23:52,FP #2S ,"KEYSTONE RESTAURANT & T/S RT. 122 & 164, MUNSTER EX  ",EBENSBURG ,PA  ,144.79,2.66,-385, , 
11/2/2015,23:52,FP TOTAL ,"KEYSTONE RESTAURANT & T/S RT. 122 & 164, MUNSTER EX  ",EBENSBURG ,PA  , , ,-385, ,45643.59
