,,,,,,,,,,
11/20/2015,5:36,FP #2S ,PILOT #390 I-84 AND I-82 EXIT 188  ,STANFIELD ,OR  ,113,2.2,-248.5,-1, 
11/20/2015,5:36,FP OTH ,PILOT #390 I-84 AND I-82 EXIT 188  ,STANFIELD ,OR  ,3.04,3.01,-9.14, , 
11/20/2015,5:36,FP TOTAL ,PILOT #390 I-84 AND I-82 EXIT 188  ,STANFIELD ,OR  , , ,-257.64,-1,34916.93
11/20/2015,7:29,FP #2S ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  ,41.12,2.54,-104.4,-1, 
11/20/2015,7:29,FP Discount ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  , , ,21.01, , 
11/20/2015,7:29,FP TOTAL ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  , , ,-83.39,-1,34832.54
11/20/2015,8:26,FP #2S ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  ,50.31,2.65,-133.13,-1, 
11/20/2015,8:26,FP Discount ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,31.44, , 
11/20/2015,8:26,FP TOTAL ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,-101.69,-1,34729.85
11/20/2015,10:21,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,85.26,2.68,-228.42,-1, 
11/20/2015,10:21,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,37.68, , 
11/20/2015,10:21,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-190.74,-1,34538.11
11/20/2015,13:11,FP #2S ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,154.38,2.42,-373.45,-1, 
11/20/2015,13:11,FP OTH ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,13.36,2.86,-38.2, , 
11/20/2015,13:11,FP Discount ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,88.15, , 
11/20/2015,13:11,FP TOTAL ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,-323.5,-1,34213.61
11/20/2015,14:15,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,125.86,2.86,-359.82,-1, 
11/20/2015,14:15,FP RFR ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,22.38,2.86,-63.99, , 
11/20/2015,14:15,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,83.46, , 
11/20/2015,14:15,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-340.35,-1,33872.26
11/20/2015,16:18,Load ,  , , , , ,2157.76,-4,36026.02
11/20/2015,16:22,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,149.83,2.69,-402.88,-1, 
11/20/2015,16:22,FP OTH ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,7.2,2.85,-20.52, , 
