,,,,,,,,,,
11/23/2015,2:12,FP OTH ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,16.35,2.76,-45.11,-1, 
11/23/2015,2:12,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-45.11,-1,28352.99
11/23/2015,12:49,Check ,  , , , , ,-10000,-4,18348.99
11/23/2015,15:47,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,181.48,2.17,-393.64,-1, 
11/23/2015,15:47,FP OTH ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,11.58,2.85,-33, , 
11/23/2015,15:47,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,73.86, , 
11/23/2015,15:47,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-352.78,-1,17995.21
11/23/2015,16:14,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,159.97,2.48,-396.58,-1, 
11/23/2015,16:14,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,109.1, , 
11/23/2015,16:14,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-287.48,-1,17706.73
11/23/2015,17:20,Load ,  , , , , ,6670.04,-4,24372.77
11/23/2015,18:29,FP #2S ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,134.06,2.26,-302.85,-1, 
11/23/2015,18:29,FP OTH ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,5.66,2.85,-16.13, , 
11/23/2015,18:29,FP Discount ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,61.67, , 
11/23/2015,18:29,FP TOTAL ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,-257.31,-1,24114.46
11/23/2015,19:13,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,130.7,2.63,-343.61,-1, 
11/23/2015,19:13,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,3.55,3,-10.65, , 
11/23/2015,19:13,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,76.98, , 
11/23/2015,19:13,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-277.28,-1,23836.18
11/23/2015,20:31,FP #2S ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  ,90.16,2.6,-234.35,-1, 
11/23/2015,20:31,FP OTH ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  ,13.06,3,-39.19, , 
11/23/2015,20:31,FP TOTAL ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  , , ,-273.54,-1,23561.64
11/23/2015,23:49,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,111.61,2.17,-242.08,-1, 
11/23/2015,23:49,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,45.43, , 
11/23/2015,23:49,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-196.65,-1,23363.99
