,,,,,,,,,,
11/24/2015,0:40,FP #2S ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  ,119.82,2.47,-295.83,-1, 
11/24/2015,0:40,FP Discount ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,56.56, , 
11/24/2015,0:40,FP TOTAL ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,-239.27,-1,23123.72
11/24/2015,2:50,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,117.78,2.82,-332.02,-1, 
11/24/2015,2:50,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,66.9, , 
11/24/2015,2:50,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-265.12,-1,22857.6
11/24/2015,4:45,FP #2S ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  ,66.4,2.47,-163.93,-1, 
11/24/2015,4:45,FP Discount ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,31.34, , 
11/24/2015,4:45,FP TOTAL ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,-132.59,-1,22724.01
11/24/2015,5:51,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,112.32,2.65,-297.53,-1, 
11/24/2015,5:51,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,52.9, , 
11/24/2015,5:51,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-244.63,-1,22478.38
11/24/2015,10:37,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,119.69,2.68,-320.65,-1, 
11/24/2015,10:37,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,56.97, , 
11/24/2015,10:37,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-263.68,-1,22213.7
11/24/2015,11:12,FP #2S ,TA-MANNING I-95 & SC HWY 261  ,MANNING ,SC  ,133.87,2.3,-307.77,-1, 
11/24/2015,11:12,FP Discount ,TA-MANNING I-95 & SC HWY 261  ,MANNING ,SC  , , ,70.28, , 
11/24/2015,11:12,FP TOTAL ,TA-MANNING I-95 & SC HWY 261  ,MANNING ,SC  , , ,-237.49,-1,21975.21
11/24/2015,11:42,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,89.11,2.63,-234.27,-1, 
11/24/2015,11:42,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,2.16,3,-6.48, , 
11/24/2015,11:42,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,52.49, , 
11/24/2015,11:42,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-188.26,-1,21785.95
11/24/2015,13:29,FP #2S ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  ,53.83,2.26,-121.59,-1, 
11/24/2015,13:29,FP OTH ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  ,3.73,2.85,-10.63, , 
11/24/2015,13:29,FP Discount ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  , , ,24.49, , 
11/24/2015,13:29,FP TOTAL ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  , , ,-107.73,-1,21677.22
11/24/2015,16:43,Load ,  , , , , ,17360.4,-4,39033.62
