,,,,,,,,,,
11/25/2015,0:13,FP #2S ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  ,128.52,2.36,-303.18, , 
11/25/2015,0:13,FP OTH ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  ,12.12,2.8,-33.92, , 
11/25/2015,0:13,FP Discount ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,58.86, , 
11/25/2015,0:13,FP TOTAL ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,-278.24, ,37624.56
11/25/2015,1:19,FP #2S ,PETRO FUEL #36 1201 HARRISBURG PIKE  ,CARLISLE ,PA  ,43.14,2.62,-112.98,-1, 
11/25/2015,1:19,FP OTH ,PETRO FUEL #36 1201 HARRISBURG PIKE  ,CARLISLE ,PA  ,1.14,2.85,-3.25, , 
11/25/2015,1:19,FP Discount ,PETRO FUEL #36 1201 HARRISBURG PIKE  ,CARLISLE ,PA  , , ,11.99, , 
11/25/2015,1:19,FP TOTAL ,PETRO FUEL #36 1201 HARRISBURG PIKE  ,CARLISLE ,PA  , , ,-104.24,-1,37519.32
11/25/2015,2:29,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,45.33,2.63,-119.16,-1, 
11/25/2015,2:29,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,1.21,3,-3.63, , 
11/25/2015,2:29,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,27.38, , 
11/25/2015,2:29,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-95.41,-1,37422.91
11/25/2015,3:55,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,70.04,2.63,-184.14,-1, 
11/25/2015,3:55,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,32.36, , 
11/25/2015,3:55,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-151.78,-1,37270.13
11/25/2015,5:25,FP #2S ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  ,77.87,2.7,-210.17,-1, 
11/25/2015,5:25,FP Discount ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  , , ,44.85, , 
11/25/2015,5:25,FP TOTAL ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  , , ,-165.32,-1,37103.81
11/25/2015,5:29,FP OTH ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  ,5.96,2.82,-16.79, , 
11/25/2015,5:29,FP TOTAL ,TA-REDDING 19483 KNIGHTON RD  ,REDDING ,CA  , , ,-16.79, ,37087.02
11/25/2015,7:21,FP #2S ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  ,163.03,2.26,-368.29,-1, 
11/25/2015,7:21,FP Discount ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  , , ,71.24, , 
11/25/2015,7:21,FP TOTAL ,TA-RICHMOND I-95 & LEWISTOWN RD SR 80  ,ASHLAND ,VA  , , ,-297.05,-1,36788.97
11/25/2015,8:30,FP #2S ,LOVES #334 260 CENTENNIAL DR  ,HEYBURN ,ID  ,39.23,2.55,-100,-1, 
11/25/2015,8:30,FP TOTAL ,LOVES #334 260 CENTENNIAL DR  ,HEYBURN ,ID  , , ,-100,-1,36687.97
11/25/2015,11:32,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,85.51,2.6,-222.25,-1, 
11/25/2015,11:32,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,9.28,2.85,-26.45, , 
11/25/2015,11:32,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,47.63, , 
11/25/2015,11:32,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-201.07,-1,36485.9
11/25/2015,14:28,FP #2S ,LEE HI (TA) TRAVEL PLAZA 2516 NORTH LEE HIGHWAY  ,LEXINGTON ,VA  ,135.34,2.38,-321.97,-1, 
11/25/2015,14:28,FP OTH ,LEE HI (TA) TRAVEL PLAZA 2516 NORTH LEE HIGHWAY  ,LEXINGTON ,VA  ,10.03,2.8,-28.08, , 
11/25/2015,14:28,FP Discount ,LEE HI (TA) TRAVEL PLAZA 2516 NORTH LEE HIGHWAY  ,LEXINGTON ,VA  , , ,64.69, , 
11/25/2015,14:28,FP TOTAL ,LEE HI (TA) TRAVEL PLAZA 2516 NORTH LEE HIGHWAY  ,LEXINGTON ,VA  , , ,-285.36,-1,36199.54
