,,,,,,,,,,
11/27/2015,7:10,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,79.03,2.63,-207.77,-1, 
11/27/2015,7:10,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,51.29, , 
11/27/2015,7:10,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-156.48,-1,36303.14
11/27/2015,7:55,FP #2S ,TA-ATLANTA SOUTH 122 TRUCKSTOP WAY  ,JACKSON ,GA  ,125.03,2.49,-311.19,-1, 
11/27/2015,7:55,FP OTH ,TA-ATLANTA SOUTH 122 TRUCKSTOP WAY  ,JACKSON ,GA  ,6.31,2.9,-18.3, , 
11/27/2015,7:55,FP Discount ,TA-ATLANTA SOUTH 122 TRUCKSTOP WAY  ,JACKSON ,GA  , , ,46.64, , 
11/27/2015,7:55,FP TOTAL ,TA-ATLANTA SOUTH 122 TRUCKSTOP WAY  ,JACKSON ,GA  , , ,-282.85,-1,36019.29
11/27/2015,11:13,Check ,  , , , , ,-10000,-4,26015.29
11/27/2015,12:22,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,121.76,2.17,-264.09,-1, 
11/27/2015,12:22,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,44.2, , 
11/27/2015,12:22,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-219.89,-1,25794.4
11/27/2015,14:44,FP #2S ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  ,167.18,2.6,-434.51,-1, 
11/27/2015,14:44,FP TOTAL ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  , , ,-434.51,-1,25358.89
11/27/2015,15:34,FP #2S ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,99.5,2.3,-228.75,-1, 
11/27/2015,15:34,FP OTH ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  ,9,2.85,-25.63, , 
11/27/2015,15:34,FP Discount ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  , , ,25.87, , 
11/27/2015,15:34,FP TOTAL ,TA #254 - BROOKLYN IA FUE 4128 V18 ROAD  ,BROOKLYN ,IA  , , ,-228.51,-1,25129.38
11/27/2015,15:52,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,43.36,2.56,-110.95,-1, 
11/27/2015,15:52,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,21.33, , 
11/27/2015,15:52,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-89.62,-1,25038.76
11/27/2015,22:30,FP #2S ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  ,179.64,2.32,-416.58,-1, 
11/27/2015,22:30,FP OTH ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  ,5.63,2.85,-16.03, , 
