,,,,,,,,,,
11/3/2015,3:24,FP #2S ,TA-MONROE I-75 & SR 50 EXIT 15  ,MONROE ,MI  ,176.01,2.8,-492.66,-1, 
11/3/2015,3:24,FP Discount ,TA-MONROE I-75 & SR 50 EXIT 15  ,MONROE ,MI  , , ,68.82, , 
11/3/2015,3:24,FP TOTAL ,TA-MONROE I-75 & SR 50 EXIT 15  ,MONROE ,MI  , , ,-423.84,-1,45218.75
11/3/2015,3:33,FP OTH ,TA-MONROE I-75 & SR 50 EXIT 15  ,MONROE ,MI  ,14.94,2.86,-42.72, , 
11/3/2015,3:33,FP TOTAL ,TA-MONROE I-75 & SR 50 EXIT 15  ,MONROE ,MI  , , ,-42.72, ,45176.03
11/3/2015,6:28,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,0.11,2.45,-0.27,-1, 
11/3/2015,6:28,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,0.02, , 
11/3/2015,6:28,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-0.25,-1,45174.78
11/3/2015,6:43,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,187.98,2.6,-488.56,-1, 
11/3/2015,6:43,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,10.51,2.86,-30.05, , 
11/3/2015,6:43,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,49.25, , 
11/3/2015,6:43,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-469.36,-1,44704.42
11/3/2015,10:35,FP #2S ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  ,140.06,2.62,-367.51,-1, 
11/3/2015,10:35,FP Discount ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,27.31, , 
11/3/2015,10:35,FP TOTAL ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,-340.2,-1,44363.22
11/3/2015,10:54,Check ,  , , , , ,-20000,-4,24359.22
11/3/2015,13:33,FP #2S ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,93,2.52,-234.27,-1, 
11/3/2015,13:33,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,34.32, , 
11/3/2015,13:33,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-199.95,-1,24158.27
11/3/2015,13:33,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,98.42,2.42,-238.07,-1, 
11/3/2015,13:33,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,3.5,2.86,-10.02, , 
11/3/2015,13:33,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,16.93, , 
11/3/2015,13:33,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-231.16,-1,23926.11
11/3/2015,15:32,FP #2S ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  ,117.62,3.1,-364.5,-1, 
11/3/2015,15:32,FP OTH ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  ,4.06,2.96,-12.01, , 
11/3/2015,15:32,FP RFR ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  ,25.67,3.1,-79.54, , 
11/3/2015,15:32,FP Discount ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  , , ,102.31, , 
11/3/2015,15:32,FP TOTAL ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  , , ,-353.74,-1,23571.37
11/3/2015,16:19,FP #2S ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  ,153.49,3.07,-471.07,-1, 
11/3/2015,16:19,FP RFR ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  ,39.19,3.07,-120.28, , 
11/3/2015,16:19,FP Discount ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  , , ,85.36, , 
11/3/2015,16:19,FP TOTAL ,TA-ERIE 4050 DEPOT ROAD  ,ERIE ,PA  , , ,-505.99,-1,23064.38
11/3/2015,17:03,Load ,  , , , , ,9403.55,-4,32463.93
11/3/2015,19:36,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,161.91,2.66,-430.52,-1, 
11/3/2015,19:36,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,24.45, , 
11/3/2015,19:36,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-406.07,-1,32056.86
11/3/2015,21:53,FP #2S ,FLYING J #743 1597 SOUTH MAIN  ,NEPHI ,UT  ,75.54,2.6,-196.35,-1, 
11/3/2015,21:53,FP RFR ,FLYING J #743 1597 SOUTH MAIN  ,NEPHI ,UT  ,10.16,2.6,-26.42, , 
11/3/2015,21:53,FP TOTAL ,FLYING J #743 1597 SOUTH MAIN  ,NEPHI ,UT  , , ,-222.77,-1,31833.09
11/3/2015,23:37,FP OTH ,PILOT #298 ROUTE 2 BOX 301  ,DRUMS ,PA  ,15.29,2.8,-42.8,-1, 
11/3/2015,23:37,FP TOTAL ,PILOT #298 ROUTE 2 BOX 301  ,DRUMS ,PA  , , ,-42.8,-1,31789.29
