,,,,,,,,,,
11/30/2015,0:14,FP #2S ,FLYING J #743 1597 SOUTH MAIN  ,NEPHI ,UT  ,204.94,2.6,-532.65,-1, 
11/30/2015,0:14,FP TOTAL ,FLYING J #743 1597 SOUTH MAIN  ,NEPHI ,UT  , , ,-532.65,-1,18700.06
11/30/2015,4:23,FP RFR ,FLYING J #703 701 SOUTH MORGAN ROAD  ,OKLAHOMA CITY ,OK  ,31.31,2.3,-72,-1, 
11/30/2015,4:23,FP TOTAL ,FLYING J #703 701 SOUTH MORGAN ROAD  ,OKLAHOMA CITY ,OK  , , ,-72,-1,18627.06
11/30/2015,6:25,FP #2S ,TA-CANDLER 153 WIGGINS RD  ,CANDLER ,NC  ,140.96,2.6,-366.37,-1, 
11/30/2015,6:25,FP Discount ,TA-CANDLER 153 WIGGINS RD  ,CANDLER ,NC  , , ,75.84, , 
11/30/2015,6:25,FP TOTAL ,TA-CANDLER 153 WIGGINS RD  ,CANDLER ,NC  , , ,-290.53,-1,18335.53
11/30/2015,7:01,FP #2S ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  ,58.52,2.32,-135.71,-1, 
11/30/2015,7:01,FP Discount ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  , , ,14.1, , 
11/30/2015,7:01,FP TOTAL ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  , , ,-121.61,-1,18212.92
11/30/2015,7:07,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,65.65,2.62,-171.93,-1, 
11/30/2015,7:07,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,41.95, , 
11/30/2015,7:07,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-129.98,-1,18081.94
11/30/2015,7:37,FP #2S ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  ,73.91,2.36,-174.36,-1, 
11/30/2015,7:37,FP Discount ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  , , ,21.8, , 
11/30/2015,7:37,FP TOTAL ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  , , ,-152.56,-1,17928.38
11/30/2015,11:06,FP #2S ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  ,122.28,2.26,-276.22,-1, 
11/30/2015,11:06,FP Discount ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  , , ,29.47, , 
11/30/2015,11:06,FP TOTAL ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  , , ,-246.75,-1,17680.63
11/30/2015,14:23,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,94.02,2.62,-246.24,-1, 
11/30/2015,14:23,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,3.99,3,-11.98, , 
11/30/2015,14:23,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,60.08, , 
11/30/2015,14:23,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-198.14,-1,17481.49
11/30/2015,15:37,FP #2S ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,115.17,2.6,-299.32,-1, 
11/30/2015,15:37,FP OTH ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,5.04,2.85,-14.36, , 
11/30/2015,15:37,FP Discount ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,58.28, , 
11/30/2015,15:37,FP TOTAL ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,-255.4,-1,17225.09
11/30/2015,17:52,FP #2S ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  ,89.86,2.48,-222.75,-1, 
11/30/2015,17:52,FP Discount ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  , , ,35.14, , 
