,,,,,,,,,,
10/4/2015,0:36,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,140.71,2.5,-351.64,-1, 
10/4/2015,0:36,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,35.6, , 
10/4/2015,0:36,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-316.04,-1,35423.04
10/4/2015,5:39,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,126.06,2.5,-315.01,-1, 
10/4/2015,5:39,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,31.89, , 
10/4/2015,5:39,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-283.12,-1,35138.92
10/4/2015,6:13,FP #2S ,TA-MATTHEWS 854 ST. HWY 80  ,MATTHEWS ,MO  ,171.04,2.38,-406.91,-1, 
10/4/2015,6:13,FP OTH ,TA-MATTHEWS 854 ST. HWY 80  ,MATTHEWS ,MO  ,17.01,2.86,-48.63, , 
10/4/2015,6:13,FP Discount ,TA-MATTHEWS 854 ST. HWY 80  ,MATTHEWS ,MO  , , ,38.14, , 
10/4/2015,6:13,FP TOTAL ,TA-MATTHEWS 854 ST. HWY 80  ,MATTHEWS ,MO  , , ,-417.4,-1,34720.52
10/4/2015,7:32,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,51.01,2.5,-127.47,-1, 
10/4/2015,7:32,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,13.77, , 
10/4/2015,7:32,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-113.7,-1,34605.82
10/4/2015,11:18,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,142.21,2.56,-363.91,-1, 
10/4/2015,11:18,FP OTH ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,14.17,2.86,-40.52, , 
10/4/2015,11:18,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,44.94, , 
10/4/2015,11:18,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-359.49,-1,34245.33
10/4/2015,11:36,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,183.81,2.46,-451.99,-1, 
10/4/2015,11:36,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,14.25,2.86,-40.75, , 
10/4/2015,11:36,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,13.5,2.46,-33.19, , 
10/4/2015,11:36,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,35.52, , 
10/4/2015,11:36,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-490.41,-1,33753.92
10/4/2015,11:46,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,93.7,2.46,-230.42,-1, 
10/4/2015,11:46,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,6.36,2.86,-18.17, , 
10/4/2015,11:46,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,5.32,2.46,-13.07, , 
10/4/2015,11:46,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,17.81, , 
10/4/2015,11:46,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-243.85,-1,33509.07
10/4/2015,16:55,FP #2S ,PETRO FUEL #18 3304 GOLD RD.  ,KINGDOM CITY ,MO  ,105.53,2.4,-253.15,-1, 
10/4/2015,16:55,FP OTH ,PETRO FUEL #18 3304 GOLD RD.  ,KINGDOM CITY ,MO  ,9.08,2.86,-25.96, , 
10/4/2015,16:55,FP Discount ,PETRO FUEL #18 3304 GOLD RD.  ,KINGDOM CITY ,MO  , , ,4.22, , 
10/4/2015,16:55,FP TOTAL ,PETRO FUEL #18 3304 GOLD RD.  ,KINGDOM CITY ,MO  , , ,-274.89,-1,33233.18
10/4/2015,22:33,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,57.13,2.66,-151.91,-1, 
10/4/2015,22:33,FP OTH ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,2.12,2.85,-6.04, , 
10/4/2015,22:33,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,15.37, , 
10/4/2015,22:33,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,-142.58,-1,33089.6
10/4/2015,22:46,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,119.51,2.54,-303.43,-1, 
10/4/2015,22:46,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,8.54,3,-25.61, , 
10/4/2015,22:46,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,40.51, , 
10/4/2015,22:46,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-288.53,-1,32800.07
