,,,,,,,,,,
11/5/2015,1:49,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,17.72,2.86,-50.65,-1, 
11/5/2015,1:49,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-50.65,-1,25495.09
11/5/2015,2:10,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,130.05,2.56,-332.79,-1, 
11/5/2015,2:10,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,8.02,2.86,-22.94, , 
11/5/2015,2:10,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,44.35, , 
11/5/2015,2:10,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-311.38,-1,25182.71
11/5/2015,5:14,FP #2S ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  ,140.15,2.39,-334.81,-1, 
11/5/2015,5:14,FP OTH ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  ,11.06,2.86,-31.62, , 
11/5/2015,5:14,FP Discount ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,32.23, , 
11/5/2015,5:14,FP TOTAL ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,-334.2,-1,24847.51
11/5/2015,8:42,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,123,2.48,-304.92,-1, 
11/5/2015,8:42,FP RFR ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,15.06,2.48,-37.35, , 
11/5/2015,8:42,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,19.48, , 
11/5/2015,8:42,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-322.79,-1,24523.72
11/5/2015,8:58,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,50,2.59,-129.47,-1, 
11/5/2015,8:58,FP RFR ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,10.63,2.59,-27.52, , 
11/5/2015,8:58,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-156.99,-1,24365.73
11/5/2015,13:09,FP #2S ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  ,36.99,2.56,-94.66,-1, 
11/5/2015,13:09,FP Discount ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  , , ,7.8, , 
11/5/2015,13:09,FP TOTAL ,PETRO ALBERT LEA 820 HAPPY TRAILS LANE  ,ALBERT LEA ,MN  , , ,-86.86,-1,24277.87
11/5/2015,17:13,Load ,  , , , , ,13122.95,-4,37396.82
11/5/2015,17:56,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,85.92,2.62,-225.02,-1, 
11/5/2015,17:56,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,7.15,2.85,-20.37, , 
11/5/2015,17:56,FP RFR ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,8.66,2.62,-22.69, , 
11/5/2015,17:56,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,31.89, , 
11/5/2015,17:56,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-236.19,-1,37159.63
11/5/2015,20:52,FP #2S ,SPACE AGE FUEL TRAVEL CTR 77522 HWY 207  ,HERMISTON ,OR  ,30.63,2.2,-67.35,-1, 
11/5/2015,20:52,FP TOTAL ,SPACE AGE FUEL TRAVEL CTR 77522 HWY 207  ,HERMISTON ,OR  , , ,-67.35,-1,37091.28
11/5/2015,22:14,FP RFR ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,138.27,2.6,-359.37,-1, 
11/5/2015,22:14,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,39.55, , 
11/5/2015,22:14,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-319.82,-1,36770.46
11/5/2015,23:25,FP #2S ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,136.69,2.72,-371.67,-1, 
11/5/2015,23:25,FP Discount ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,21.32, , 
11/5/2015,23:25,FP TOTAL ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,-350.35,-1,36419.11
