,,,,,,,,,,
11/6/2015,1:16,FP RFR ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,21.64,2.63,-56.88,-1, 
11/6/2015,1:16,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,7.92, , 
11/6/2015,1:16,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-48.96,-1,36369.15
11/6/2015,7:13,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,65.14,2.6,-169.29,-1, 
11/6/2015,7:13,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,22.02, , 
11/6/2015,7:13,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-147.27,-1,36220.88
11/6/2015,10:04,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,47.61,2.73,-129.92,-1, 
11/6/2015,10:04,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,17.28, , 
11/6/2015,10:04,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-112.64,-1,36107.24
11/6/2015,11:59,Check ,  , , , , ,-15000,-4,21103.24
11/6/2015,12:19,FP #2S ,PILOT #915 DBA TOWN PUMP I-90 EXIT 455  ,BILLINGS ,MT  ,60.15,2.39,-143.71,-1, 
11/6/2015,12:19,FP TOTAL ,PILOT #915 DBA TOWN PUMP I-90 EXIT 455  ,BILLINGS ,MT  , , ,-143.71,-1,20958.53
11/6/2015,13:12,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,180.77,2.3,-415.6,-1, 
11/6/2015,13:12,FP OTH ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,6.69,2.75,-18.4, , 
11/6/2015,13:12,FP RFR ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,15.48,2.3,-35.6, , 
11/6/2015,13:12,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,71.65, , 
11/6/2015,13:12,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-397.95,-1,20559.58
11/6/2015,13:48,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,27.05,2.63,-71.13,-1, 
11/6/2015,13:48,FP RFR ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,25.45,2.63,-66.91, , 
11/6/2015,13:48,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,19.29, , 
11/6/2015,13:48,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-118.75,-1,20439.83
11/6/2015,16:10,FP #2S ,"UNITED PARK, INC 18208 AVE 24  ",CHOWCHILLA ,CA  ,25.6,2.48,-63.46,-1, 
11/6/2015,16:10,FP TOTAL ,"UNITED PARK, INC 18208 AVE 24  ",CHOWCHILLA ,CA  , , ,-63.46,-1,20375.37
11/6/2015,16:49,Load ,  , , , , ,3910.01,-4,24281.38
11/6/2015,17:18,FP #2S ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  ,97.88,2.39,-233.84,-1, 
11/6/2015,17:18,FP RFR ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  ,29.57,2.39,-70.64, , 
11/6/2015,17:18,FP Discount ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,39.77, , 
11/6/2015,17:18,FP TOTAL ,PETRO FUEL #8 6910 W. BERT KOUNS  ,SHREVEPORT ,LA  , , ,-264.71,-1,24015.67
11/6/2015,19:42,FP #2S ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  ,153.86,2.42,-372.19,-1, 
11/6/2015,19:42,FP OTH ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  ,4.4,2.85,-12.53, , 
11/6/2015,19:42,FP RFR ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  ,38.32,2.42,-92.69, , 
11/6/2015,19:42,FP Discount ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  , , ,40.74, , 
11/6/2015,19:42,FP TOTAL ,PETRO FUEL # 11 3900 PETRO RD  ,W MEMPHIS ,AR  , , ,-436.67,-1,23578
11/6/2015,21:52,FP #2S ,FLYING J #641 587 E. US HWY 30  ,MCCAMMON ,ID  ,74.35,2.7,-200.67,-1, 
11/6/2015,21:52,FP OTH ,FLYING J #641 587 E. US HWY 30  ,MCCAMMON ,ID  ,6.05,2.8,-16.96, , 
11/6/2015,21:52,FP RFR ,FLYING J #641 587 E. US HWY 30  ,MCCAMMON ,ID  ,15.03,2.7,-40.57, , 
11/6/2015,21:52,FP TOTAL ,FLYING J #641 587 E. US HWY 30  ,MCCAMMON ,ID  , , ,-258.2,-1,23318.8
11/6/2015,23:12,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,128.64,2.63,-338.19,-1, 
11/6/2015,23:12,FP OTH ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,16.07,2.8,-44.97, , 
11/6/2015,23:12,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,47.21, , 
11/6/2015,23:12,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-335.95,-1,22981.85
