,,,,,,,,,,
11/7/2015,0:56,FP #2S ,FLYING J #687 3400 SO. NEWBERRY RD.  ,NORTH PLATTE ,NE  ,52.08,2.5,-130.16,-1, 
11/7/2015,0:56,FP TOTAL ,FLYING J #687 3400 SO. NEWBERRY RD.  ,NORTH PLATTE ,NE  , , ,-130.16,-1,22850.69
11/7/2015,2:12,FP #2S ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  ,170,2.59,-440.13,-1, 
11/7/2015,2:12,FP Discount ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  , , ,73.78, , 
11/7/2015,2:12,FP TOTAL ,TA-BLOOMINGTON 505 TRUCKERS LANE  ,BLOOMINGTON ,IL  , , ,-366.35,-1,22483.34
11/7/2015,2:21,FP #2S ,FLYING J #772 885 NORTH POINT CIRCLE  ,NORTH SALT LAKE ,UT  ,104,2.56,-266.15,-1, 
11/7/2015,2:21,FP OTH ,FLYING J #772 885 NORTH POINT CIRCLE  ,NORTH SALT LAKE ,UT  ,11.97,3,-35.91, , 
11/7/2015,2:21,FP TOTAL ,FLYING J #772 885 NORTH POINT CIRCLE  ,NORTH SALT LAKE ,UT  , , ,-302.06,-1,22180.28
11/7/2015,3:18,FP #2S ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  ,125.02,2.46,-307.42,-1, 
11/7/2015,3:18,FP Discount ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,42.01, , 
11/7/2015,3:18,FP TOTAL ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,-265.41,-1,21913.87
11/7/2015,6:31,FP #2S ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  ,107.44,2.73,-293.2,-1, 
11/7/2015,6:31,FP OTH ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  ,3.33,2.86,-9.52, , 
11/7/2015,6:31,FP Discount ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  , , ,38.89, , 
11/7/2015,6:31,FP TOTAL ,TA-LIVINGSTON 435 WINTON PKWY I-99 EXIT  ,LIVINGSTON ,CA  , , ,-263.83,-1,21649.04
11/7/2015,6:39,FP #2S ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  ,141.53,2.34,-331.03,-1, 
11/7/2015,6:39,FP OTH ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  ,3.9,2.85,-11.12, , 
11/7/2015,6:39,FP Discount ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,53.07, , 
11/7/2015,6:39,FP TOTAL ,TA-OKLAHOMA EAST 801 S. COUNCIL RD  ,OKLAHOMA CITY ,OK  , , ,-289.08,-1,21358.96
11/7/2015,15:24,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,100.43,2.64,-265.03,-1, 
11/7/2015,15:24,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,29.93, , 
11/7/2015,15:24,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-235.1,-1,21122.86
11/7/2015,18:17,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,135.51,2.5,-338.64,-1, 
11/7/2015,18:17,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,10.67,2.86,-30.51, , 
11/7/2015,18:17,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,21.14, , 
11/7/2015,18:17,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-348.01,-1,20773.85
11/7/2015,19:17,FP #2S ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  ,126.5,2.54,-321.19,-1, 
11/7/2015,19:17,FP RFR ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  ,25.41,2.45,-62.36, , 
11/7/2015,19:17,FP Discount ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  , , ,61.17, , 
11/7/2015,19:17,FP TOTAL ,TA-ALBUQUERQUE 2501 UNIVERSITY BLVD.  ,ALBUQUERQUE ,NM  , , ,-322.38,-1,20450.47
11/7/2015,19:21,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,158.92,2.52,-400.33,-1, 
11/7/2015,19:21,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,64.68, , 
11/7/2015,19:21,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-335.65,-1,20113.82
11/7/2015,21:30,FP #2S ,PILOT #141 I-80 EXIT 6  ,EVANSTON ,WY  ,136.63,2.6,-355.11,-1, 
11/7/2015,21:30,FP TOTAL ,PILOT #141 I-80 EXIT 6  ,EVANSTON ,WY  , , ,-355.11,-1,19757.71
11/7/2015,23:51,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,75.73,2.5,-189.25,-1, 
11/7/2015,23:51,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,11.81, , 
