,,,,,,,,,,
11/8/2015,0:42,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,92.34,2.72,-251.07,-1, 
11/8/2015,0:42,FP OTH ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,3.06,2.85,-8.72, , 
11/8/2015,0:42,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,24.01, , 
11/8/2015,0:42,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-235.78,-1,19342.49
11/8/2015,3:32,FP #2S ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,177.63,2.78,-493.64,-1, 
11/8/2015,3:32,FP Discount ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,81.35, , 
11/8/2015,3:32,FP TOTAL ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,-412.29,-1,18929.2
11/8/2015,14:12,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,114.52,2.91,-333.14,-1, 
11/8/2015,14:12,FP OTH ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,9.71,2.86,-27.75, , 
11/8/2015,14:12,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,53.25, , 
11/8/2015,14:12,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-307.64,-1,18620.56
11/8/2015,14:47,FP #2S ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  ,143.66,2.5,-359.01,-1, 
11/8/2015,14:47,FP Discount ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,55.74, , 
11/8/2015,14:47,FP TOTAL ,TA-YOUNGSTOWN 5400 76TH DR  ,YOUNGSTOWN ,OH  , , ,-303.27,-1,18316.29
11/8/2015,16:00,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,166,2.55,-423.14,-1, 
11/8/2015,16:00,FP OTH ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,12.01,2.6,-31.22, , 
11/8/2015,16:00,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-454.36,-1,17860.93
11/8/2015,16:42,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,143.01,2.64,-377.4,-1, 
11/8/2015,16:42,FP OTH ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,11.79,2.86,-33.7, , 
11/8/2015,16:42,FP RFR ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,15.21,2.64,-40.13, , 
11/8/2015,16:42,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,63.59, , 
11/8/2015,16:42,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-387.64,-1,17472.29
11/8/2015,18:33,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,92.28,2.72,-250.91,-1, 
11/8/2015,18:33,FP OTH ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,2.69,2.85,-7.67, , 
11/8/2015,18:33,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,20.49, , 
11/8/2015,18:33,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-238.09,-1,17233.2
11/8/2015,18:46,FP RFR ,LOVES #517 748 22 RD  ,GRAND JUNCTION ,CO  ,40.33,2.34,-94.32,-1, 
11/8/2015,18:46,FP TOTAL ,LOVES #517 748 22 RD  ,GRAND JUNCTION ,CO  , , ,-94.32,-1,17137.88
11/8/2015,19:04,FP #2S ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  ,50.74,2.76,-140,-1, 
11/8/2015,19:04,FP OTH ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  ,10.71,2.86,-30.63, , 
11/8/2015,19:04,FP Discount ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  , , ,22.12, , 
11/8/2015,19:04,FP TOTAL ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  , , ,-148.51,-1,16988.37
