,,,,,,,,,,
12/1/2015,0:25,FP #2S ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  ,103.14,2.4,-247.43,-1, 
12/1/2015,0:25,FP Discount ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  , , ,24.13, , 
12/1/2015,0:25,FP TOTAL ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  , , ,-223.3,-1,15503.65
12/1/2015,2:24,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,112.83,2.6,-293.25,-1, 
12/1/2015,2:24,FP OTH ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,16.45,2.85,-46.87, , 
12/1/2015,2:24,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,42.31, , 
12/1/2015,2:24,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-297.81,-1,15204.84
12/1/2015,2:42,FP #2S ,TA-ROCKWALL 2105 S GOLIAD  ,ROCKWALL ,TX  ,113.01,2.33,-263.19,-1, 
12/1/2015,2:42,FP Discount ,TA-ROCKWALL 2105 S GOLIAD  ,ROCKWALL ,TX  , , ,49.5, , 
12/1/2015,2:42,FP TOTAL ,TA-ROCKWALL 2105 S GOLIAD  ,ROCKWALL ,TX  , , ,-213.69,-1,14990.15
12/1/2015,6:52,FP #2S ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  ,102.23,2.3,-235.03,-1, 
12/1/2015,6:52,FP OTH ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  ,5.26,2.85,-15, , 
12/1/2015,6:52,FP Discount ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,46.72, , 
12/1/2015,6:52,FP TOTAL ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,-203.31,-1,14785.84
12/1/2015,12:12,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,107.98,2.62,-282.79,-1, 
12/1/2015,12:12,FP OTH ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,11.24,2.86,-32.14, , 
12/1/2015,12:12,FP Discount ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,42.22, , 
12/1/2015,12:12,FP TOTAL ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  , , ,-272.71,-1,14512.13
12/1/2015,12:25,FP #2S ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  ,121.65,2.6,-316.66,-1, 
12/1/2015,12:25,FP Discount ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,75.54, , 
12/1/2015,12:25,FP TOTAL ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,-241.12,-1,14270.01
12/1/2015,14:46,Load ,  , , , , ,2857,-4,17123.01
12/1/2015,14:50,Load ,  , , , , ,6763,-4,23882.01
12/1/2015,14:51,FP #2S ,BEATTY UNION 76 102 E. HWY 95  ,BEATTY ,NV  ,83.98,2.4,-201.46,-1, 
12/1/2015,14:51,FP TOTAL ,BEATTY UNION 76 102 E. HWY 95  ,BEATTY ,NV  , , ,-201.46,-1,23679.55
12/1/2015,14:52,Load ,  , , , , ,6650,-4,30325.55
12/1/2015,14:54,Load ,  , , , , ,2266,-4,32587.55
12/1/2015,14:56,Load ,  , , , , ,4258,-4,36841.55
12/1/2015,14:57,Load ,  , , , , ,1984,-4,38821.55
12/1/2015,15:00,Load ,  , , , , ,3953,-4,42770.55
12/1/2015,15:00,Load ,  , , , , ,5300,-4,48066.55
12/1/2015,15:02,FP #2S ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  ,25.12,2.68,-67.31,-1, 
12/1/2015,15:02,FP Discount ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  , , ,13.89, , 
12/1/2015,15:02,FP TOTAL ,TA-CORNING I-5 AT SOUTH AVE.  ,CORNING ,CA  , , ,-53.42,-1,48012.13
12/1/2015,15:03,Load ,  , , , , ,2552,-4,50560.13
12/1/2015,15:03,Load ,  , , , , ,5126,-4,55682.13
12/1/2015,16:06,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,66.54,2.82,-187.56,-1, 
12/1/2015,16:06,FP OIL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,1,20.13,-20.13, , 
12/1/2015,16:06,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,41.45, , 
12/1/2015,16:06,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-166.24,-1,55514.89
12/1/2015,16:39,Load ,  , , , , ,4287.89,-4,59798.78
12/1/2015,16:51,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,91.09,2.5,-227.64,-1, 
12/1/2015,16:51,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,39.35, , 
12/1/2015,16:51,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-188.29,-1,59609.49
12/1/2015,19:14,FP #2S ,TA-KNOXVILLE WEST 615 WATT ROAD  ,KNOXVILLE ,TN  ,76.24,2.2,-167.66,-1, 
12/1/2015,19:14,FP OTH ,TA-KNOXVILLE WEST 615 WATT ROAD  ,KNOXVILLE ,TN  ,14.09,2.7,-38.04, , 
12/1/2015,19:14,FP Discount ,TA-KNOXVILLE WEST 615 WATT ROAD  ,KNOXVILLE ,TN  , , ,1.91, , 
12/1/2015,19:14,FP TOTAL ,TA-KNOXVILLE WEST 615 WATT ROAD  ,KNOXVILLE ,TN  , , ,-203.79,-1,59404.7
12/1/2015,19:43,FP #2S ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  ,110.07,2.46,-270.65,-1, 
12/1/2015,19:43,FP OTH ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  ,8.26,2.85,-23.54, , 
12/1/2015,19:43,FP Discount ,TA-KINGMAN 946 W BEALE STREET  ,KINGMAN ,AZ  , , ,32.8, , 
