,,,,,,,,,,
12/11/2015,0:01,FP #2S ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  ,2.19,2.2,-4.82,-1, 
12/11/2015,0:01,FP OTH ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  ,6.43,2.85,-18.33, , 
12/11/2015,0:01,FP Discount ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  , , ,0.66, , 
12/11/2015,0:01,FP TOTAL ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  , , ,-22.49,-1,83948.92
12/11/2015,0:07,FP #2S ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  ,136.36,2.2,-299.86, , 
12/11/2015,0:07,FP Discount ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  , , ,41.18, , 
12/11/2015,0:07,FP TOTAL ,TA-CARTERSVILLE I-75 EXIT 127  ,CARTERSVILLE ,GA  , , ,-258.68, ,83690.24
12/11/2015,0:22,FP #2S ,TA-SAN ANTONIO 6170 IH-10 EAST  ,SAN ANTONIO ,TX  ,172.69,2.26,-390.11,-1, 
12/11/2015,0:22,FP Discount ,TA-SAN ANTONIO 6170 IH-10 EAST  ,SAN ANTONIO ,TX  , , ,97.05, , 
12/11/2015,0:22,FP TOTAL ,TA-SAN ANTONIO 6170 IH-10 EAST  ,SAN ANTONIO ,TX  , , ,-293.06,-1,83396.18
12/11/2015,1:09,FP #2S ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  ,57.24,2.56,-146.48,-1, 
12/11/2015,1:09,FP Discount ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  , , ,25.24, , 
12/11/2015,1:09,FP TOTAL ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  , , ,-121.24,-1,83273.94
12/11/2015,2:52,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,140.62,2.58,-362.66,-1, 
