,,,,,,,,,,
12/15/2015,0:01,FP #2S ,FLYING J #611 6700 WEST LATHAM  ,PHOENIX ,AZ  ,186.21,2.26,-420.66,-1, 
12/15/2015,0:01,FP TOTAL ,FLYING J #611 6700 WEST LATHAM  ,PHOENIX ,AZ  , , ,-420.66,-1,32763.99
12/15/2015,0:55,FP #2S ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,101.11,2.29,-231.43,-1, 
12/15/2015,0:55,FP OTH ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,12,2.9,-34.77, , 
12/15/2015,0:55,FP Discount ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,71.48, , 
12/15/2015,0:55,FP TOTAL ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,-194.72,-1,32568.27
12/15/2015,1:32,FP #2S ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,94.75,1.9,-179.94,-1, 
12/15/2015,1:32,FP OTH ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,8.15,2.86,-23.32, , 
12/15/2015,1:32,FP Discount ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,25.68, , 
12/15/2015,1:32,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-177.58,-1,32389.69
12/15/2015,1:48,FP #2S ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  ,156.96,2.62,-411.07,-1, 
12/15/2015,1:48,FP Discount ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  , , ,90.41, , 
12/15/2015,1:48,FP TOTAL ,TA-WHEELER RIDGE 5552 WHEELER RIDGE ROAD  ,ARVIN ,CA  , , ,-320.66,-1,32068.03
12/15/2015,3:32,FP #2S ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  ,79.05,2.4,-189.65,-1, 
12/15/2015,3:32,FP Discount ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,38.02, , 
12/15/2015,3:32,FP TOTAL ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,-151.63,-1,31915.4
12/15/2015,6:44,FP #2S ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  ,61.29,2.39,-146.42,-1, 
12/15/2015,6:44,FP Discount ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,43.94, , 
12/15/2015,6:44,FP TOTAL ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,-102.48,-1,31811.92
12/15/2015,8:45,FP #2S ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,137.99,2.52,-347.6,-1, 
12/15/2015,8:45,FP OTH ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,8.94,2.85,-25.47, , 
12/15/2015,8:45,FP Discount ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,73.13, , 
12/15/2015,8:45,FP TOTAL ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,-299.94,-1,31510.98
12/15/2015,13:19,Load ,  , , , , ,878,-4,32384.98
12/15/2015,16:07,FP #2S ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  ,85.16,2.6,-221.32,-1, 
12/15/2015,16:07,FP OTH ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  ,3.73,2.86,-10.66, , 
12/15/2015,16:07,FP Discount ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  , , ,54.33, , 
12/15/2015,16:07,FP TOTAL ,TA-ONTARIO WEST 4265 EAST GUASTI ROAD  ,ONTARIO ,CA  , , ,-177.65,-1,32206.33
12/15/2015,18:43,FP #2S ,PILOT #239 1600 E.WYANDOT  ,UPPER SANDUSKY ,OH  ,100.47,2.46,-247.07,-1, 
12/15/2015,18:43,FP TOTAL ,PILOT #239 1600 E.WYANDOT  ,UPPER SANDUSKY ,OH  , , ,-247.07,-1,31958.26
12/15/2015,19:11,FP #2S ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,132.51,2.52,-333.79,-1, 
12/15/2015,19:11,FP Discount ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,91.83, , 
12/15/2015,19:11,FP TOTAL ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,-241.96,-1,31715.3
12/15/2015,19:51,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,171.12,2.56,-437.9,-1, 
12/15/2015,19:51,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,113.45, , 
12/15/2015,19:51,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-324.45,-1,31389.85
12/15/2015,20:25,FP #2S ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  ,110.67,2.3,-254.44,-1, 
12/15/2015,20:25,FP Discount ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,64.08, , 
12/15/2015,20:25,FP TOTAL ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,-190.36,-1,31198.49
12/15/2015,20:42,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,133.11,1.97,-262.09,-1, 
12/15/2015,20:42,FP OTH ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,4.19,2.85,-11.95, , 
12/15/2015,20:42,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,64.03, , 
12/15/2015,20:42,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-210.01,-1,30987.48
12/15/2015,21:19,FP #2S ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  ,126.25,2.3,-290.25,-1, 
12/15/2015,21:19,FP Discount ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,73.1, , 
12/15/2015,21:19,FP TOTAL ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,-217.15,-1,30769.33
12/15/2015,21:21,FP #2S ,PETRO BRAZIL #376 FUEL 1035 W STATE ROAD 42  ,BRAZIL ,IN  ,122.18,2.32,-283.33,-1, 
12/15/2015,21:21,FP Discount ,PETRO BRAZIL #376 FUEL 1035 W STATE ROAD 42  ,BRAZIL ,IN  , , ,79.05, , 
12/15/2015,21:21,FP TOTAL ,PETRO BRAZIL #376 FUEL 1035 W STATE ROAD 42  ,BRAZIL ,IN  , , ,-204.28,-1,30564.05
12/15/2015,22:25,FP OTH ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  ,12.75,2.84,-36.19,-1, 
12/15/2015,22:25,FP TOTAL ,PETRO FUEL #38 1950 EAST GREG STREET  ,SPARKS ,NV  , , ,-36.19,-1,30526.86
