,,,,,,,,,,
12/16/2015,2:44,FP #2S ,TA-WEST MEMPHIS 408 HWY 149  ,EARLE ,AR  ,151.74,2.28,-345.81,-1, 
12/16/2015,2:44,FP Discount ,TA-WEST MEMPHIS 408 HWY 149  ,EARLE ,AR  , , ,109.25, , 
12/16/2015,2:44,FP TOTAL ,TA-WEST MEMPHIS 408 HWY 149  ,EARLE ,AR  , , ,-236.56,-1,30289.3
12/16/2015,8:03,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,87.63,2.56,-224.25,-1, 
12/16/2015,8:03,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,3.78,2.8,-10.59, , 
12/16/2015,8:03,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,60.11, , 
12/16/2015,8:03,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-174.73,-1,30113.57
12/16/2015,9:16,FP #2S ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,122.21,1.98,-241.86,-1, 
12/16/2015,9:16,FP OTH ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  ,8.4,2.86,-24, , 
12/16/2015,9:16,FP Discount ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,51.45, , 
12/16/2015,9:16,FP TOTAL ,TA-OAK GROVE 100 N. BROADWAY  ,OAK GROVE ,MO  , , ,-214.41,-1,29898.16
12/16/2015,11:44,FP #2S ,FLYING J #509 653 WEST 1400 NORTH  ,BEAVER ,UT  ,50.8,2.56,-130.02,-1, 
12/16/2015,11:44,FP TOTAL ,FLYING J #509 653 WEST 1400 NORTH  ,BEAVER ,UT  , , ,-130.02,-1,29767.14
12/16/2015,12:12,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,86.29,2.4,-207.02,-1, 
12/16/2015,12:12,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,2.98,2.85,-8.49, , 
12/16/2015,12:12,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,58.07, , 
12/16/2015,12:12,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-157.44,-1,29608.7
12/16/2015,16:33,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,113.65,2.55,-289.69,-1, 
12/16/2015,16:33,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-289.69,-1,29318.01
12/16/2015,17:22,FP #2S ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  ,173.7,2.56,-444.5,-1, 
12/16/2015,17:22,FP TOTAL ,"FLYING J #747 115 & EXIT 265, 1460 N 17  ",SPRINGVILLE ,UT  , , ,-444.5,-1,28872.51
12/16/2015,17:48,FP #2S ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  ,145.03,2.22,-321.82,-1, 
12/16/2015,17:48,FP Discount ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,80.49, , 
12/16/2015,17:48,FP TOTAL ,TA-DENVER EAST I-70/I-270 EXIT 278  ,COMMERCE CITY ,CO  , , ,-241.33,-1,28630.18
12/16/2015,18:20,FP #2S ,TA-BIG SPRING I-20 & HWY 87 EXIT-177  ,BIG SPRING ,TX  ,125.82,2.26,-284.23,-1, 
