,,,,,,,,,,
12/17/2015,0:17,FP #2S ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  ,129.19,2.26,-291.85,-1, 
12/17/2015,0:17,FP Discount ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  , , ,59.94, , 
12/17/2015,0:17,FP TOTAL ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  , , ,-231.91,-1,86364.6
12/17/2015,1:05,FP #2S ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,124.09,2.52,-312.59,-1, 
12/17/2015,1:05,FP Discount ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,87.24, , 
12/17/2015,1:05,FP TOTAL ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,-225.35,-1,86138.25
12/17/2015,3:00,FP #2S ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  ,163.31,2.28,-372.17,-1, 
12/17/2015,3:00,FP OTH ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  ,15.58,2.85,-44.38, , 
12/17/2015,3:00,FP Discount ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  , , ,74.47, , 
12/17/2015,3:00,FP TOTAL ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  , , ,-342.08,-1,85795.17
12/17/2015,4:59,FP #2S ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  ,94.06,2.28,-214.37,-1, 
12/17/2015,4:59,FP Discount ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  , , ,42.89, , 
12/17/2015,4:59,FP TOTAL ,TA-TONOPAH 1010 N.339TH AVE.  ,TONOPAH ,AZ  , , ,-171.48,-1,85622.69
12/17/2015,6:38,FP #2S ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  ,100.04,2.27,-226.99,-1, 
12/17/2015,6:38,FP Discount ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,53.82, , 
12/17/2015,6:38,FP TOTAL ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,-173.17,-1,85448.52
12/17/2015,10:28,FP #2S ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  ,142.77,2.26,-322.52,-1, 
12/17/2015,10:28,FP Discount ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  , , ,66.25, , 
12/17/2015,10:28,FP TOTAL ,TA-LAKE PARK (FUEL) 6901 LAKE PARK BELLEVILLE  ,LAKE PARK ,GA  , , ,-256.27,-1,85191.25
12/17/2015,11:26,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,118.74,2.49,-295.55,-1, 
12/17/2015,11:26,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-295.55,-1,84894.7
12/17/2015,13:04,FP #2S ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  ,75.05,2.19,-164.28,-1, 
12/17/2015,13:04,FP OTH ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  ,6.93,2.85,-19.74, , 
12/17/2015,13:04,FP Discount ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  , , ,47.43, , 
12/17/2015,13:04,FP TOTAL ,PETRO FUEL #16 I-40 & MARTIN LUTHER KING  ,OKLAHOMA CITY ,OK  , , ,-136.59,-1,84757.11
12/17/2015,14:18,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,97.84,2.36,-230.8,-1, 
12/17/2015,14:18,FP OTH ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,8.25,2.85,-23.51, , 
12/17/2015,14:18,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,73.87, , 
12/17/2015,14:18,FP TOTAL ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,-180.44,-1,84575.67
12/17/2015,14:52,Check ,  , , , , ,-50000,-4,34571.67
12/17/2015,17:30,Load ,  , , , , ,9947.31,-4,44514.98
12/17/2015,22:17,FP #2S ,TA-MADISON 5901 HWY 51  ,DEFOREST ,WI  ,115.48,2.27,-262.04,-1, 
12/17/2015,22:17,FP Discount ,TA-MADISON 5901 HWY 51  ,DEFOREST ,WI  , , ,61.2, , 
12/17/2015,22:17,FP TOTAL ,TA-MADISON 5901 HWY 51  ,DEFOREST ,WI  , , ,-200.84,-1,44313.14
12/17/2015,22:29,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,96.01,2.72,-261.05,-1, 
12/17/2015,22:29,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,61.06, , 
12/17/2015,22:29,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-199.99,-1,44112.15
