,,,,,,,,,,
12/18/2015,1:14,FP #2S ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,163.83,1.88,-307.83,-1, 
12/18/2015,1:14,FP OTH ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  ,12.71,2.86,-36.35, , 
12/18/2015,1:14,FP Discount ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,49.31, , 
12/18/2015,1:14,FP TOTAL ,TA-FORISTELL 3265 N SERVICE ROAD EAST   ,FORISTELL ,MO  , , ,-294.87,-1,43816.28
12/18/2015,1:40,FP #2S ,TA-COACHELLA 46155 DILLON ROAD  ,COACHELLA ,CA  ,2.33,2.58,-6.01,-1, 
12/18/2015,1:40,FP Discount ,TA-COACHELLA 46155 DILLON ROAD  ,COACHELLA ,CA  , , ,1.45, , 
12/18/2015,1:40,FP TOTAL ,TA-COACHELLA 46155 DILLON ROAD  ,COACHELLA ,CA  , , ,-4.56,-1,43810.72
12/18/2015,1:45,FP #2S ,PILOT #896 726 SR 3A  ,BOW ,NH  ,138.8,2.5,-346.86,-1, 
12/18/2015,1:45,FP TOTAL ,PILOT #896 726 SR 3A  ,BOW ,NH  , , ,-346.86,-1,43462.86
12/18/2015,2:01,FP #2S ,TA-COACHELLA 46155 DILLON ROAD  ,COACHELLA ,CA  ,159.87,2.58,-412.3, , 
12/18/2015,2:01,FP OTH ,TA-COACHELLA 46155 DILLON ROAD  ,COACHELLA ,CA  ,12.91,2.86,-36.92, , 
12/18/2015,2:01,FP Discount ,TA-COACHELLA 46155 DILLON ROAD  ,COACHELLA ,CA  , , ,99.28, , 
12/18/2015,2:01,FP TOTAL ,TA-COACHELLA 46155 DILLON ROAD  ,COACHELLA ,CA  , , ,-349.94, ,43112.92
12/18/2015,5:14,FP #2S ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  ,139.84,2.22,-310.3,-1, 
12/18/2015,5:14,FP OTH ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  ,13.99,2.86,-40, , 
12/18/2015,5:14,FP Discount ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  , , ,73.42, , 
12/18/2015,5:14,FP TOTAL ,"TA-GREENSBORO 1101 HWY 61, I-85 EXIT 13  ",WHITSETT ,NC  , , ,-276.88,-1,42835.04
12/18/2015,8:04,FP #2S ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  ,161.85,2.29,-370.47,-1, 
12/18/2015,8:04,FP Discount ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,116.69, , 
12/18/2015,8:04,FP TOTAL ,TA-DALLAS SOUTH 7751 BONNIE VIEW RD  ,DALLAS ,TX  , , ,-253.78,-1,42580.26
12/18/2015,8:19,FP OTH ,PILOT #380 107 SEVENTH N. STREET  ,SYRACUSE ,NY  ,14.68,2.9,-42.57,-1, 
12/18/2015,8:19,FP TOTAL ,PILOT #380 107 SEVENTH N. STREET  ,SYRACUSE ,NY  , , ,-42.57,-1,42536.69
12/18/2015,8:22,FP #2S ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  ,126.5,2.68,-338.88,-1, 
12/18/2015,8:22,FP OTH ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  ,6.8,2.95,-20.04, , 
12/18/2015,8:22,FP Discount ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  , , ,109.04, , 
12/18/2015,8:22,FP TOTAL ,TA-PEMBROKE 8420 ALLEGHENY RD.  ,CORFU ,NY  , , ,-249.88,-1,42285.81
12/18/2015,9:38,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,126.22,2.47,-311.63,-1, 
12/18/2015,9:38,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,67.65, , 
12/18/2015,9:38,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-243.98,-1,42040.83
12/18/2015,11:24,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,80.29,2.4,-192.62,-1, 
12/18/2015,11:24,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,5.99,3,-17.97, , 
