,,,,,,,,,,
12/2/2015,0:16,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,171.52,2.08,-356.58,-1, 
12/2/2015,0:16,FP OTH ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,11.44,2.85,-32.6, , 
12/2/2015,0:16,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,60.03, , 
12/2/2015,0:16,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-329.15,-1,57658.74
12/2/2015,2:15,FP OTH ,PETRO FUEL #13 I-40 & HORIZON BLVD.  ,MILAN ,NM  ,12.17,2.85,-34.66,-1, 
12/2/2015,2:15,FP TOTAL ,PETRO FUEL #13 I-40 & HORIZON BLVD.  ,MILAN ,NM  , , ,-34.66,-1,57623.08
12/2/2015,2:56,FP #2S ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  ,48.06,2.36,-113.37,-1, 
12/2/2015,2:56,FP Discount ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,24.13, , 
12/2/2015,2:56,FP TOTAL ,PETRO RAPHINE 2440 RAPHINE ROAD  ,RAPHINE ,VA  , , ,-89.24,-1,57532.84
12/2/2015,3:51,FP #2S ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,126.09,2.15,-270.97,-1, 
12/2/2015,3:51,FP OTH ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  ,5.48,2.75,-15.06, , 
12/2/2015,3:51,FP Discount ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,65.57, , 
12/2/2015,3:51,FP TOTAL ,TA-TROUTDALE 790 NW FRONTAGE RD  ,TROUTDALE ,OR  , , ,-220.46,-1,57311.38
12/2/2015,4:54,FP #2S ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  ,80.39,2.13,-171.15,-1, 
12/2/2015,4:54,FP Discount ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,31.27, , 
12/2/2015,4:54,FP TOTAL ,TA-NASHVILLE 111 NORTH FIRST STREET  ,NASHVILLE ,TN  , , ,-139.88,-1,57170.5
12/2/2015,5:03,FP #2S ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  ,132.85,2.47,-328,-1, 
12/2/2015,5:03,FP Discount ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,66.29, , 
12/2/2015,5:03,FP TOTAL ,TA-COMMERCE 30732 HWY 441 S  ,COMMERCE ,GA  , , ,-261.71,-1,56907.79
12/2/2015,6:51,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,140.66,2.55,-358.56,-1, 
12/2/2015,6:51,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-358.56,-1,56548.23
12/2/2015,10:39,FP #2S ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,132.8,2.39,-317.25,-1, 
12/2/2015,10:39,FP OTH ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  ,15.73,2.85,-44.81, , 
12/2/2015,10:39,FP Discount ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,74.24, , 
12/2/2015,10:39,FP TOTAL ,TA-WYTHEVILLE 1025 PEPPERSFERRY RD  ,WYTHEVILLE ,VA  , , ,-287.82,-1,56259.41
12/2/2015,10:53,FP #2S ,"TA-MERIDIAN I-20 & I-59, #160  ",MERIDIAN ,MS  ,151.98,2.29,-347.88,-1, 
12/2/2015,10:53,FP Discount ,"TA-MERIDIAN I-20 & I-59, #160  ",MERIDIAN ,MS  , , ,79.49, , 
12/2/2015,10:53,FP TOTAL ,"TA-MERIDIAN I-20 & I-59, #160  ",MERIDIAN ,MS  , , ,-268.39,-1,55990.02
12/2/2015,17:33,Load ,  , , , , ,2254.76,-4,58240.78
12/2/2015,20:53,FP #2S ,PETRO DEMING (FUEL) 14150 HWY 418 SW  ,DEMING ,NM  ,85.24,2.45,-208.76,-1, 
12/2/2015,20:53,FP Discount ,PETRO DEMING (FUEL) 14150 HWY 418 SW  ,DEMING ,NM  , , ,34.86, , 
12/2/2015,20:53,FP TOTAL ,PETRO DEMING (FUEL) 14150 HWY 418 SW  ,DEMING ,NM  , , ,-173.9,-1,58065.88
12/2/2015,21:04,FP #2S ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  ,151.98,2.55,-387.39,-1, 
12/2/2015,21:04,FP Discount ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,78.88, , 
12/2/2015,21:04,FP TOTAL ,TA-MILL CITY I-80 EXIT 151  ,MILL CITY ,NV  , , ,-308.51,-1,57756.37
