,,,,,,,,,,
12/21/2015,6:48,FP #2S ,TA-SHREVEPORT DBA KELLYS 8560 GREENWOOD RD  ,GREENWOOD ,LA  ,61.9,2.22,-137.36,-1, 
12/21/2015,6:48,FP Discount ,TA-SHREVEPORT DBA KELLYS 8560 GREENWOOD RD  ,GREENWOOD ,LA  , , ,38.44, , 
12/21/2015,6:48,FP TOTAL ,TA-SHREVEPORT DBA KELLYS 8560 GREENWOOD RD  ,GREENWOOD ,LA  , , ,-98.92,-1,38385.74
12/21/2015,6:58,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,110.27,2.48,-273.35,-1, 
12/21/2015,6:58,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,10.22,2.8,-28.62, , 
12/21/2015,6:58,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,69.03, , 
12/21/2015,6:58,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-232.94,-1,38151.8
12/21/2015,8:16,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,151.69,2.4,-363.91,-1, 
12/21/2015,8:16,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,93.29, , 
12/21/2015,8:16,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-270.62,-1,37880.18
12/21/2015,9:17,FP OTH ,PILOT #234 STATE HWY 75  ,HUNTSVILLE ,TX  ,10.81,2.8,-30.28,-1, 
12/21/2015,9:17,FP TOTAL ,PILOT #234 STATE HWY 75  ,HUNTSVILLE ,TX  , , ,-30.28,-1,37848.9
12/21/2015,18:52,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,108.86,2,-217.6,-1, 
12/21/2015,18:52,FP OTH ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,8.99,2.86,-25.69, , 
12/21/2015,18:52,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,15.46, , 
12/21/2015,18:52,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-227.83,-1,37620.07
12/21/2015,19:00,FP #2S ,TA-GREENCASTLE 10835 JOHN WAYNE DR.  ,GREENCASTLE ,PA  ,135.23,2.29,-309.55,-1, 
12/21/2015,19:00,FP Discount ,TA-GREENCASTLE 10835 JOHN WAYNE DR.  ,GREENCASTLE ,PA  , , ,34.08, , 
12/21/2015,19:00,FP TOTAL ,TA-GREENCASTLE 10835 JOHN WAYNE DR.  ,GREENCASTLE ,PA  , , ,-275.47,-1,37343.6
12/21/2015,19:01,FP #2S ,PILOT #195 91485 BIGGS RUFUS HWY  ,BIGGS JUNCTION ,OR  ,157.4,2,-314.64,-1, 
12/21/2015,19:01,FP TOTAL ,PILOT #195 91485 BIGGS RUFUS HWY  ,BIGGS JUNCTION ,OR  , , ,-314.64,-1,37027.96
12/21/2015,19:38,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,43.42,2.46,-106.76,-1, 
12/21/2015,19:38,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,7.12,3,-21.34, , 
12/21/2015,19:38,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,26.23, , 
12/21/2015,19:38,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-101.87,-1,36925.09
12/21/2015,22:48,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,54.79,2.36,-129.25,-1, 
12/21/2015,22:48,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,31.5, , 
12/21/2015,22:48,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-97.75,-1,36826.34
