,,,,,,,,,,
12/22/2015,1:17,FP #2S ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  ,109.03,2.26,-246.29,-1, 
12/22/2015,1:17,FP Discount ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  , , ,68.25, , 
12/22/2015,1:17,FP TOTAL ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  , , ,-178.04,-1,36647.3
12/22/2015,3:37,FP #2S ,LONG BEACH TRAVEL CENTER 1670 W PACIFIC COAST HWY   ,LONG BEACH ,CA  ,190.76,2.1,-400.4,-1, 
12/22/2015,3:37,FP TOTAL ,LONG BEACH TRAVEL CENTER 1670 W PACIFIC COAST HWY   ,LONG BEACH ,CA  , , ,-400.4,-1,36245.9
12/22/2015,4:18,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,50.62,2.48,-125.5,-1, 
12/22/2015,4:18,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,31.69, , 
12/22/2015,4:18,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-93.81,-1,36151.09
12/22/2015,4:50,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,0.42,2.45,-1.03,-1, 
12/22/2015,4:50,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,0.25, , 
12/22/2015,4:50,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-0.78,-1,36149.31
12/22/2015,4:59,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,66.97,2.48,-166.01, , 
12/22/2015,4:59,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,7.67,2.8,-21.48, , 
12/22/2015,4:59,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,41.92, , 
12/22/2015,4:59,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-145.57, ,36003.74
12/22/2015,5:31,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,71.54,1.97,-140.87,-1, 
12/22/2015,5:31,FP OTH ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,6.11,2.85,-17.4, , 
12/22/2015,5:31,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,31.91, , 
12/22/2015,5:31,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-126.36,-1,35876.38
12/22/2015,9:12,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,104.16,2.62,-272.78,-1, 
12/22/2015,9:12,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,65.41, , 
12/22/2015,9:12,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-207.37,-1,35668.01
12/22/2015,11:18,FP #2S ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  ,144.76,1.98,-286.47,-1, 
12/22/2015,11:18,FP Discount ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,53.42, , 
12/22/2015,11:18,FP TOTAL ,TA-ANTIOCH 13011 OLD HICKORY BLVD  ,ANTIOCH ,TN  , , ,-233.05,-1,35433.96
12/22/2015,11:50,FP #2S ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  ,100.63,1.9,-191.1,-1, 
12/22/2015,11:50,FP Discount ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  , , ,11.27, , 
12/22/2015,11:50,FP TOTAL ,TA GRAND JUNCTION 2222 US HWY 6  ,GRAND JUNCTION ,CO  , , ,-179.83,-1,35253.13
12/22/2015,12:58,FP #2S ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,138.43,2.46,-340.39,-1, 
12/22/2015,12:58,FP Discount ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,68.11, , 
12/22/2015,12:58,FP TOTAL ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,-272.28,-1,34979.85
12/22/2015,14:34,FP #2S ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  ,68.57,2.41,-165.26,-1, 
12/22/2015,14:34,FP Discount ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,49.37, , 
12/22/2015,14:34,FP TOTAL ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,-115.89,-1,34862.96
12/22/2015,15:55,FP #2S ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  ,26.49,2.26,-59.84,-1, 
12/22/2015,15:55,FP OTH ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  ,10.16,2.85,-28.93, , 
12/22/2015,15:55,FP Discount ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  , , ,16.58, , 
12/22/2015,15:55,FP TOTAL ,TA-TERRELL I-20 & WILSON RD EXIT 503  ,TERRELL ,TX  , , ,-72.19,-1,34789.77
12/22/2015,16:31,Load ,  , , , , ,46666.81,-4,81452.58
12/22/2015,18:55,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,114.8,2.33,-267.37,-1, 
12/22/2015,18:55,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,11.3,2.85,-32.21, , 
12/22/2015,18:55,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,62.57, , 
12/22/2015,18:55,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-237.01,-1,81214.57
12/22/2015,19:07,FP #2S ,ARROWHEAD TRUCK PLAZA 72485 HWY 331  ,PENDLETON ,OR  ,85.03,1.94,-164.88,-1, 
12/22/2015,19:07,FP TOTAL ,ARROWHEAD TRUCK PLAZA 72485 HWY 331  ,PENDLETON ,OR  , , ,-164.88,-1,81048.69
12/22/2015,20:11,FP #2S ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  ,168.42,2.41,-405.89,-1, 
12/22/2015,20:11,FP OTH ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  ,7.52,2.86,-21.49, , 
12/22/2015,20:11,FP Discount ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,121.26, , 
12/22/2015,20:11,FP TOTAL ,TA-WHITESTOWN I 65 & ST RD 334  ,WHITESTOWN ,IN  , , ,-306.12,-1,80741.57
12/22/2015,21:29,FP #2S ,TA-ASHLAND 100 N CARTER RD  ,ASHLAND ,VA  ,148.69,2.2,-326.98,-1, 
