,,,,,,,,,,
12/23/2015,0:09,FP #2S ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  ,167.23,2.39,-399.51,-1, 
12/23/2015,0:09,FP Discount ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,152.01, , 
12/23/2015,0:09,FP TOTAL ,TA-LAKE STATION 1201 NORTH RIPLEY STREET   ,LAKE STATION ,IN  , , ,-247.5,-1,80220.66
12/23/2015,3:14,FP #2S ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  ,128.95,2.07,-266.79,-1, 
12/23/2015,3:14,FP Discount ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,53.26, , 
12/23/2015,3:14,FP TOTAL ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,-213.53,-1,80006.13
12/23/2015,5:40,FP #2S ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  ,150.28,2.46,-369.55,-1, 
12/23/2015,5:40,FP Discount ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,80.55, , 
12/23/2015,5:40,FP TOTAL ,TA-LAS VEGAS 8050 SOUTH INDUSTRIAL RD   ,LAS VEGAS ,NV  , , ,-289,-1,79716.13
12/23/2015,9:16,FP #2S ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  ,58.89,2.57,-151.29,-1, 
12/23/2015,9:16,FP OTH ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  ,2.66,2.86,-7.61, , 
12/23/2015,9:16,FP Discount ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  , , ,36.69, , 
12/23/2015,9:16,FP TOTAL ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  , , ,-122.21,-1,79592.92
12/23/2015,9:33,FP #2S ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  ,99.21,2.08,-206.26,-1, 
12/23/2015,9:33,FP OTH ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  ,11.88,2.85,-33.84, , 
12/23/2015,9:33,FP Discount ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,51.89, , 
12/23/2015,9:33,FP TOTAL ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,-188.21,-1,79403.71
12/23/2015,12:09,FP #2S ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,150.03,2.38,-356.92,-1, 
12/23/2015,12:09,FP OTH ,TA-BARSTOW 2930 LENWOOD RD  ,BARSTOW ,CA  ,4.38,2.86,-12.53, , 
