,,,,,,,,,,,
12/24/2015,5:00,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,55.41,2.58,-142.9,-1, ,
12/24/2015,5:00,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,35.35, , ,
12/24/2015,5:00,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-107.55,-1,83211.33,
12/24/2015,7:27,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,78.01,2.4,-187.16,-1, ,
12/24/2015,7:27,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,52.34, , ,
12/24/2015,7:27,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-134.82,-1,83075.51,
12/24/2015,8:50,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,186.48,2.4,-447.37,-1, ,
12/24/2015,8:50,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,16.37,3,-49.08, , ,
12/24/2015,8:50,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,125.13, , ,
12/24/2015,8:50,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-371.32,-1,82703.19,
12/24/2015,10:36,FP #2S ,LOVES #558 2505 E TRAIL ST  ,DODGE CITY ,KS  ,50.02,2.05,-102.48,-1, ,
12/24/2015,10:36,FP TOTAL ,LOVES #558 2505 E TRAIL ST  ,DODGE CITY ,KS  , , ,-102.48,-1,82599.71,
12/24/2015,10:48,FP #2S ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  ,108.45,2.06,-223.3,-1, ,
12/24/2015,10:48,FP Discount ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,44.9, , ,
12/24/2015,10:48,FP TOTAL ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,-178.4,-1,82420.31,
12/24/2015,10:54,FP #2S ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  ,72.6,1.9,-137.86,-1, ,
12/24/2015,10:54,FP Discount ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,24.54, , ,
12/24/2015,10:54,FP TOTAL ,TA-CONCORDIA I-70 & RT 23 EXIT 58  ,CONCORDIA ,MO  , , ,-113.32,-1,82305.99,
12/24/2015,13:06,Inquiry ,  , , , , ,0,-0.5,82305.49,
12/24/2015,13:18,Inquiry ,  , , , , ,0,-0.5,82304.99,
12/24/2015,15:06,FP #2S ,"FLYING J #640 5350 HWY 93, I-84 & EXIT   ",TWIN FALLS ,ID  ,75,2.3,-172.44,-1, ,
