,,,,,,,,,,,
,12/27/2015,2:02,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,77.23,2.37,-182.8,-1, 
12/27/2015,2:02,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,64.95, , ,
12/27/2015,2:02,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-117.85,-1,74201.81,
12/27/2015,3:10,FP #2S ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  ,64.13,2.09,-133.97,-1, ,
12/27/2015,3:10,FP Discount ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,20.14, , ,
12/27/2015,3:10,FP TOTAL ,TA-WALCOTT - IOWA 80 390 IOWA 80 RD  ,WALCOTT ,IA  , , ,-113.83,-1,74086.98,
12/27/2015,5:13,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,143.68,2.37,-340.09,-1, ,
12/27/2015,5:13,FP OTH ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,11.92,2.86,-34.07, , ,
12/27/2015,5:13,FP RFR ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,32.62,2.37,-77.21, , ,
12/27/2015,5:13,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,125.53, , ,
12/27/2015,5:13,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-325.84,-1,73760.14,
12/27/2015,5:44,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,167.89,2.58,-432.99,-1, ,
12/27/2015,5:44,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,113.49, , ,
12/27/2015,5:44,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-319.5,-1,73439.64,
12/27/2015,6:12,FP #2S ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,158.25,2.24,-354.33,-1, ,
12/27/2015,6:12,FP OTH ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  ,8.89,2.86,-25.43, , ,
12/27/2015,6:12,FP Discount ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,88.3, , ,
12/27/2015,6:12,FP TOTAL ,TA-MT. VERNON 4510 BROADWAY  ,MT VERNON ,IL  , , ,-291.46,-1,73147.18,
12/27/2015,6:53,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,118.25,2.03,-239.93,-1, ,
12/27/2015,6:53,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,38.31, , ,
12/27/2015,6:53,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-201.62,-1,72944.56,
12/27/2015,7:05,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,58.43,2.37,-138.29,-1, ,
12/27/2015,7:05,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,41.6, , ,
12/27/2015,7:05,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-96.69,-1,72846.87,
12/27/2015,7:50,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,54.46,2.24,-121.94, , ,
12/27/2015,7:50,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,38.83, , ,
12/27/2015,7:50,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-83.11, ,72763.76,
12/27/2015,12:06,FP #2S ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  ,29.08,2.28,-66.26,-1, ,
12/27/2015,12:06,FP OTH ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  ,16.46,2.85,-46.88, , ,
12/27/2015,12:06,FP Discount ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,17.36, , ,
12/27/2015,12:06,FP TOTAL ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,-95.78,-1,72666.98,
12/27/2015,12:47,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,129.03,2.38,-306.97,-1, ,
12/27/2015,12:47,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,68.77, , ,
12/27/2015,12:47,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-238.2,-1,72427.78,
12/27/2015,12:49,FP #2S ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  ,52.8,2.28,-120.32,-1, ,
12/27/2015,12:49,FP Discount ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,31.52, , ,
12/27/2015,12:49,FP TOTAL ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,-88.8,-1,72337.98,
12/27/2015,14:24,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,53,2.36,-125.03,-1, ,
12/27/2015,14:24,FP OTH ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,10.96,2.86,-31.33, , ,
12/27/2015,14:24,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,28.73, , ,
12/27/2015,14:24,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-127.63,-1,72209.35,
12/27/2015,14:28,FP RFR ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,7.25,2.36,-17.09, , ,
12/27/2015,14:28,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,3.92, , ,
12/27/2015,14:28,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-13.17, ,72196.18,
12/27/2015,16:26,FP #2S ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,151.98,2.38,-361.57,-1, ,
12/27/2015,16:26,FP OTH ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,7.72,2.85,-22, , ,
12/27/2015,16:26,FP Discount ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,66.87, , ,
12/27/2015,16:26,FP TOTAL ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,-316.7,-1,71878.48,
