,,,,,,,,,,
12/28/2015,12:17,FP #2S ,TA-LAMAR I-80 & RT.64  ,LAMAR ,PA  ,138.32,2.47,-341.51,-1, 
12/28/2015,12:17,FP Discount ,TA-LAMAR I-80 & RT.64  ,LAMAR ,PA  , , ,54.5, , 
12/28/2015,12:17,FP TOTAL ,TA-LAMAR I-80 & RT.64  ,LAMAR ,PA  , , ,-287.01,-1,70749.33
12/28/2015,13:04,Load ,  , , , , ,195,-4,70940.33
12/28/2015,14:19,FP #2S ,TA-BLOOMSBURY 975 ST. RT. 173  ,BLOOMSBURY ,NJ  ,123.85,2.37,-293.4,-1, 
12/28/2015,14:19,FP Discount ,TA-BLOOMSBURY 975 ST. RT. 173  ,BLOOMSBURY ,NJ  , , ,96.36, , 
12/28/2015,14:19,FP TOTAL ,TA-BLOOMSBURY 975 ST. RT. 173  ,BLOOMSBURY ,NJ  , , ,-197.04,-1,70742.29
12/28/2015,15:38,FP #2S ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  ,99.08,2.36,-233.74,-1, 
12/28/2015,15:38,FP Discount ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,65.79, , 
12/28/2015,15:38,FP TOTAL ,TA-FT. BRIDGER I 80 AT BIGELOW RD EXIT 3  ,FT BRIDGER ,WY  , , ,-167.95,-1,70573.34
12/28/2015,16:03,Inquiry ,  , , , , ,0,-0.5,70572.84
12/28/2015,16:43,Load ,  , , , , ,3350.13,-4,73918.97
12/28/2015,17:03,FP #2S ,TA-BLOOMSBURG EXIT 232 I-80  ,BLOOMSBURG ,PA  ,101.96,2.44,-248.68,-1, 
12/28/2015,17:03,FP Discount ,TA-BLOOMSBURG EXIT 232 I-80  ,BLOOMSBURG ,PA  , , ,32.12, , 
12/28/2015,17:03,FP TOTAL ,TA-BLOOMSBURG EXIT 232 I-80  ,BLOOMSBURG ,PA  , , ,-216.56,-1,73701.41
12/28/2015,17:47,Debit Decline ,SUNOCO 034125090  ,STEVENSVILLE ,MD , , ,0,-1.5,73699.91
12/28/2015,19:05,FP #2S ,PETRO FUEL #71 1255 ROUTE 414  ,WATERLOO ,NY  ,63.01,2.62,-165.03,-1, 
12/28/2015,19:05,FP Discount ,PETRO FUEL #71 1255 ROUTE 414  ,WATERLOO ,NY  , , ,47.01, , 
12/28/2015,19:05,FP TOTAL ,PETRO FUEL #71 1255 ROUTE 414  ,WATERLOO ,NY  , , ,-118.02,-1,73580.89
12/28/2015,19:12,FP #2S ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  ,100.56,2.36,-237.22,-1, 
12/28/2015,19:12,FP OTH ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  ,13.8,3,-41.4, , 
12/28/2015,19:12,FP TOTAL ,FLYING J #744 1172 WEST 21ST STREET  ,OGDEN ,UT  , , ,-278.62,-1,73301.27
12/28/2015,19:17,FP #2S ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  ,188.25,2.62,-493.01,-1, 
12/28/2015,19:17,FP Discount ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  , , ,164.15, , 
12/28/2015,19:17,FP TOTAL ,TA-BALTIMORE SOUTH 7401 ASSATEAGUE DRIVE  ,JESSUP ,MD  , , ,-328.86,-1,72971.41
12/28/2015,22:21,FP #2S ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  ,174.09,2.28,-396.75,-1, 
12/28/2015,22:21,FP Discount ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  , , ,88.96, , 
12/28/2015,22:21,FP TOTAL ,TA-DAYTON 6762 ST. RT. 127 N.  ,EATON ,OH  , , ,-307.79,-1,72662.62
