,,,,,,,,,,
12/29/2015,1:21,FP #2S ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  ,50.06,2.22,-111.09,-1, 
12/29/2015,1:21,FP Discount ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,26.88, , 
12/29/2015,1:21,FP TOTAL ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,-84.21,-1,72577.41
12/29/2015,2:30,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,137.94,2.36,-325.41,-1, 
12/29/2015,2:30,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,74.76, , 
12/29/2015,2:30,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-250.65,-1,72325.76
12/29/2015,2:38,FP #2S ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,159.45,2.42,-385.71,-1, 
12/29/2015,2:38,FP OTH ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  ,12.63,2.85,-35.99, , 
12/29/2015,2:38,FP Discount ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,52.78, , 
12/29/2015,2:38,FP TOTAL ,TA-SPARKS 200 NTH MCCARRAN BLVD  ,SPARKS ,NV  , , ,-368.92,-1,71955.84
12/29/2015,2:39,FP #2S ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  ,112.49,2,-224.87,-1, 
12/29/2015,2:39,FP Discount ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,33.07, , 
12/29/2015,2:39,FP TOTAL ,TA-OGALLALA 103 PROSPECTOR DRIVE  ,OGALLALA ,NE  , , ,-191.8,-1,71763.04
12/29/2015,6:04,FP #2S ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,50.07,2,-100.09,-1, 
12/29/2015,6:04,FP OTH ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  ,11.54,2.76,-31.83, , 
12/29/2015,6:04,FP Discount ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,16.57, , 
12/29/2015,6:04,FP TOTAL ,PETRO FUEL #62 / YORK 4700 S LINCOLN  ,YORK ,NE  , , ,-115.35,-1,71646.69
12/29/2015,6:30,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,101.79,2.36,-240.13,-1, 
12/29/2015,6:30,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,55.17, , 
12/29/2015,6:30,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-184.96,-1,71460.73
12/29/2015,6:52,FP RFR ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,32.09,1.81,-58.11,-1, 
12/29/2015,6:52,FP Discount ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,10.88, , 
12/29/2015,6:52,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-47.23,-1,71412.5
12/29/2015,10:06,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,88.13,2.33,-204.89,-1, 
12/29/2015,10:06,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,59.31, , 
12/29/2015,10:06,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-145.58,-1,71265.92
12/29/2015,10:19,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,72.52,2.2,-159.48, , 
12/29/2015,10:19,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,48.81, , 
12/29/2015,10:19,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-110.67, ,71155.25
12/29/2015,10:54,FP #2S ,"PETRO FUEL #53 I-90/94,& HWY 78 SO. EXIT  ",PORTAGE ,WI  ,165.54,1.97,-325.94,-1, 
12/29/2015,10:54,FP OTH ,"PETRO FUEL #53 I-90/94,& HWY 78 SO. EXIT  ",PORTAGE ,WI  ,11.78,2.8,-32.96, , 
12/29/2015,10:54,FP Discount ,"PETRO FUEL #53 I-90/94,& HWY 78 SO. EXIT  ",PORTAGE ,WI  , , ,3.31, , 
