,,,,,,,,,,
12/3/2015,1:10,FP #2S ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,100.12,2.56,-256.22,-1, 
12/3/2015,1:10,FP Discount ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,52.66, , 
12/3/2015,1:10,FP TOTAL ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,-203.56,-1,57551.81
12/3/2015,2:23,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,186.27,2.82,-525.08,-1, 
12/3/2015,2:23,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,121.63, , 
12/3/2015,2:23,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-403.45,-1,57147.36
12/3/2015,3:34,FP #2S ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  ,118.3,2.22,-262.51,-1, 
12/3/2015,3:34,FP Discount ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,55.36, , 
12/3/2015,3:34,FP TOTAL ,TA-KNOXVILLE I-40 LOVELL RD EXIT 374  ,KNOXVILLE ,TN  , , ,-207.15,-1,56939.21
12/3/2015,4:16,FP #2S ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  ,64.59,2.46,-158.83,-1, 
12/3/2015,4:16,FP Discount ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  , , ,27.71, , 
12/3/2015,4:16,FP TOTAL ,TA-BALDWIN (FUEL) 1024 US HWY 301 SOUTH  ,BALDWIN ,FL  , , ,-131.12,-1,56807.09
12/3/2015,4:25,FP #2S ,TA-ASHLAND 100 N CARTER RD  ,ASHLAND ,VA  ,120.96,2.26,-273.25,-1, 
12/3/2015,4:25,FP Discount ,TA-ASHLAND 100 N CARTER RD  ,ASHLAND ,VA  , , ,60.72, , 
12/3/2015,4:25,FP TOTAL ,TA-ASHLAND 100 N CARTER RD  ,ASHLAND ,VA  , , ,-212.53,-1,56593.56
12/3/2015,6:05,FP #2S ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  ,159.81,2.08,-332.25,-1, 
12/3/2015,6:05,FP Discount ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,58.49, , 
12/3/2015,6:05,FP TOTAL ,TA-SPARTANBURG I-85 EXIT 63  ,DUNCAN ,SC  , , ,-273.76,-1,56318.8
12/3/2015,6:53,FP #2S ,"TA-BRANFORD I-95, EXIT 56  ",BRANFORD ,CT  ,113.08,3,-339.12,-1, 
12/3/2015,6:53,FP OTH ,"TA-BRANFORD I-95, EXIT 56  ",BRANFORD ,CT  ,11,2.96,-32.54, , 
12/3/2015,6:53,FP Discount ,"TA-BRANFORD I-95, EXIT 56  ",BRANFORD ,CT  , , ,92.73, , 
12/3/2015,6:53,FP TOTAL ,"TA-BRANFORD I-95, EXIT 56  ",BRANFORD ,CT  , , ,-278.93,-1,56038.87
12/3/2015,8:13,FP #2S ,FLYING J #608 BOX 801 I-10 EXIT 1 S FRO  ,EHRENBERG ,AZ  ,131.38,2.46,-323.07,-1, 
12/3/2015,8:13,FP TOTAL ,FLYING J #608 BOX 801 I-10 EXIT 1 S FRO  ,EHRENBERG ,AZ  , , ,-323.07,-1,55714.8
12/3/2015,10:14,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,16.14,2.85,-46,-1, 
12/3/2015,10:14,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-46,-1,55667.8
12/3/2015,10:22,FP #2S ,TA-GALLUP I-40 & HWY 66  ,GALLUP ,NM  ,184.84,2.48,-458.22,-1, 
12/3/2015,10:22,FP Discount ,TA-GALLUP I-40 & HWY 66  ,GALLUP ,NM  , , ,84.1, , 
12/3/2015,10:22,FP TOTAL ,TA-GALLUP I-40 & HWY 66  ,GALLUP ,NM  , , ,-374.12,-1,55292.68
12/3/2015,10:34,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,34.06,2.48,-84.45, , 
12/3/2015,10:34,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,17.1, , 
12/3/2015,10:34,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-67.35, ,55225.33
12/3/2015,11:37,FP #2S ,TA-WEST MEMPHIS 408 HWY 149  ,EARLE ,AR  ,34.3,2.28,-78.18,-1, 
12/3/2015,11:37,FP Discount ,TA-WEST MEMPHIS 408 HWY 149  ,EARLE ,AR  , , ,15.88, , 
12/3/2015,11:37,FP TOTAL ,TA-WEST MEMPHIS 408 HWY 149  ,EARLE ,AR  , , ,-62.3,-1,55162.03
12/3/2015,13:12,FP #2S ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  ,159.58,2.25,-358.89,-1, 
12/3/2015,13:12,FP Discount ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,67.98, , 
12/3/2015,13:12,FP TOTAL ,"PETRO FUEL #54 I-44 & HWY 43S, EXTI 4  ",JOPLIN ,MO  , , ,-290.91,-1,54870.12
12/3/2015,15:46,Check ,  , , , , ,-20000,-4,34866.12
12/3/2015,16:42,FP #2S ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  ,104.78,2.55,-267.09,-1, 
12/3/2015,16:42,FP TOTAL ,SAPP BROS. SALT LAKE CITY 1953 CALIFORNIA AVENUE  ,SALT LAKE CITY ,UT  , , ,-267.09,-1,34598.03
12/3/2015,16:57,Load ,  , , , , ,2239.18,-4,36833.21
12/3/2015,18:19,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,137.69,2.48,-341.34,-1, 
12/3/2015,18:19,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,69.12, , 
12/3/2015,18:19,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-272.22,-1,36559.99
12/3/2015,19:30,FP #2S ,TA-BAYTOWN (HOUSTON) I-10 & THOMPSON RD EXIT 7  ,BAYTOWN ,TX  ,108.4,2.32,-251.37,-1, 
12/3/2015,19:30,FP Discount ,TA-BAYTOWN (HOUSTON) I-10 & THOMPSON RD EXIT 7  ,BAYTOWN ,TX  , , ,59.95, , 
12/3/2015,19:30,FP TOTAL ,TA-BAYTOWN (HOUSTON) I-10 & THOMPSON RD EXIT 7  ,BAYTOWN ,TX  , , ,-191.42,-1,36367.57
12/3/2015,20:26,FP #2S ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,152.35,2.56,-389.87,-1, 
12/3/2015,20:26,FP OTH ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  ,12.28,2.85,-34.99, , 
12/3/2015,20:26,FP Discount ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,53.32, , 
12/3/2015,20:26,FP TOTAL ,PETRO FUEL #31 6595 N HOLLYWOOD BLVD  ,LAS VEGAS ,NV  , , ,-371.54,-1,35995.03
12/3/2015,20:39,FP #2S ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,58.44,2.36,-137.87,-1, 
12/3/2015,20:39,FP OTH ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  ,7.41,2.85,-21.1, , 
12/3/2015,20:39,FP Discount ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,33.25, , 
12/3/2015,20:39,FP TOTAL ,TA-AMARILLO WEST 7000 I-40 EAST EXIT 74  ,AMARILLO ,TX  , , ,-125.72,-1,35868.31
12/3/2015,20:45,FP #2S ,TA-MANNING I-95 & SC HWY 261  ,MANNING ,SC  ,64.74,2.27,-146.89,-1, 
12/3/2015,20:45,FP OTH ,TA-MANNING I-95 & SC HWY 261  ,MANNING ,SC  ,2.69,2.85,-7.66, , 
12/3/2015,20:45,FP Discount ,TA-MANNING I-95 & SC HWY 261  ,MANNING ,SC  , , ,34.77, , 
12/3/2015,20:45,FP TOTAL ,TA-MANNING I-95 & SC HWY 261  ,MANNING ,SC  , , ,-119.78,-1,35747.53
12/3/2015,22:00,FP #2S ,TA-DENTON TRAVEL CENTER 6420 NORTH I-35 EXIT 471   ,DENTON ,TX  ,59.12,2.32,-137.1,-1, 
12/3/2015,22:00,FP Discount ,TA-DENTON TRAVEL CENTER 6420 NORTH I-35 EXIT 471   ,DENTON ,TX  , , ,2.36, , 
12/3/2015,22:00,FP TOTAL ,TA-DENTON TRAVEL CENTER 6420 NORTH I-35 EXIT 471   ,DENTON ,TX  , , ,-134.74,-1,35611.79
12/3/2015,22:01,FP #2S ,FLYING J #934 63276 HWY 203 I-84 EXIT 2  ,LAGRANDE ,OR  ,96.3,2.14,-205.99,-1, 
12/3/2015,22:01,FP TOTAL ,FLYING J #934 63276 HWY 203 I-84 EXIT 2  ,LAGRANDE ,OR  , , ,-205.99,-1,35404.8
