,,,,,,,,,,
12/30/2015,3:21,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,68.45,1.9,-129.99,-1, 
12/30/2015,3:21,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,4.04, , 
12/30/2015,3:21,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-125.95,-1,82951.41
12/30/2015,4:21,FP #2S ,FLYING J #931 I-90 EXIT 61  ,RAPID CITY ,SD  ,108.04,1.78,-192.2,-1, 
12/30/2015,4:21,FP TOTAL ,FLYING J #931 I-90 EXIT 61  ,RAPID CITY ,SD  , , ,-192.2,-1,82758.21
12/30/2015,4:23,FP #2S ,TA-EUGENE 32910 E PEARL ST  ,COBURG ,OR  ,50.06,2.28,-114.09,-1, 
12/30/2015,4:23,FP Discount ,TA-EUGENE 32910 E PEARL ST  ,COBURG ,OR  , , ,21.63, , 
12/30/2015,4:23,FP TOTAL ,TA-EUGENE 32910 E PEARL ST  ,COBURG ,OR  , , ,-92.46,-1,82664.75
12/30/2015,6:13,FP #2S ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  ,130.17,2.22,-288.85,-1, 
12/30/2015,6:13,FP Discount ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,64.56, , 
12/30/2015,6:13,FP TOTAL ,TA-TOLEDO 3483 LIBBEY RD  ,PERRYSBURG ,OH  , , ,-224.29,-1,82439.46
12/30/2015,8:17,FP #2S ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  ,135.17,2.36,-318.86,-1, 
12/30/2015,8:17,FP Discount ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,75.83, , 
12/30/2015,8:17,FP TOTAL ,TA-RAWLINS I-80 EXIT 214  ,RAWLINS ,WY  , , ,-243.03,-1,82195.43
12/30/2015,9:38,FP #2S ,FLYING J #761 1920 HARRISON DRIVE  ,EVANSTON ,WY  ,142.75,2.36,-336.76,-1, 
