,,,,,,,,,,
12/4/2015,1:00,FP #2S ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  ,10.16,2.56,-25.99,-1, 
12/4/2015,1:00,FP Discount ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,5.57, , 
12/4/2015,1:00,FP TOTAL ,PETRO WELLS (FUEL) 1440 6TH ST  ,WELLS ,NV  , , ,-20.42,-1,35383.38
12/4/2015,1:06,FP #2S ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,169.47,2.58,-437.07, , 
12/4/2015,1:06,FP OTH ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  ,6.35,3,-19.04, , 
12/4/2015,1:06,FP Discount ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,115.58, , 
12/4/2015,1:06,FP TOTAL ,TA-SALT LAKE 8836 NORTH HWY 40  ,TOOELE ,UT  , , ,-340.53, ,35042.85
12/4/2015,1:39,FP #2S ,PILOT #258 2966 LEE HWY. S NORTH  ,TROUTVILLE ,VA  ,21.21,2.36,-50.04,-1, 
12/4/2015,1:39,FP TOTAL ,PILOT #258 2966 LEE HWY. S NORTH  ,TROUTVILLE ,VA  , , ,-50.04,-1,34991.81
12/4/2015,2:55,FP #2S ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  ,95.71,2.93,-280.33,-1, 
12/4/2015,2:55,FP Discount ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  , , ,74.75, , 
12/4/2015,2:55,FP TOTAL ,"TA-WILLINGTON I-84,E XIT 71  ",WILLINGTON ,CT  , , ,-205.58,-1,34785.23
12/4/2015,3:32,FP #2S ,LOVES #581 I-70 & S STATE ST  ,SALINA ,UT  ,178.26,2.35,-418.73,-1, 
12/4/2015,3:32,FP OTH ,LOVES #581 I-70 & S STATE ST  ,SALINA ,UT  ,8.6,2.69,-23.14, , 
12/4/2015,3:32,FP TOTAL ,LOVES #581 I-70 & S STATE ST  ,SALINA ,UT  , , ,-441.87,-1,34342.36
12/4/2015,6:12,FP #2S ,LOVES #239 145 MAJOR GRAHAMS RD.  ,MAX MEADOWS ,VA  ,64.36,2.35,-151.19,-1, 
12/4/2015,6:12,FP TOTAL ,LOVES #239 145 MAJOR GRAHAMS RD.  ,MAX MEADOWS ,VA  , , ,-151.19,-1,34190.17
12/4/2015,7:50,FP #2S ,CIRCLE K SHELL 6401 HWY 550  ,CUBA ,NM  ,71.24,2.24,-159.51,-1, 
12/4/2015,7:50,FP TOTAL ,CIRCLE K SHELL 6401 HWY 550  ,CUBA ,NM  , , ,-159.51,-1,34029.66
12/4/2015,8:08,FP #2S ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  ,52.61,2.36,-124.1,-1, 
12/4/2015,8:08,FP Discount ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  , , ,22.78, , 
12/4/2015,8:08,FP TOTAL ,"PETRO KENLY #395 I 95, EXIT 106  ",KENLY ,NC  , , ,-101.32,-1,33927.34
