,,,,,,,,,,
12/7/2015,4:55,FP #2S ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  ,131.77,2.35,-309.54,-1, 
12/7/2015,4:55,FP Discount ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , , ,58.11, , 
12/7/2015,4:55,FP TOTAL ,"TA-COUNCIL BLUFFS HWY 192, I-80 & I-29  ",COUNCIL BLUFFS ,IA  , , ,-251.43,-1,29185.03
12/7/2015,8:19,FP OTH ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  ,11.22,2.76,-30.97,-1, 
12/7/2015,8:19,FP TOTAL ,TA-GRAND ISLAND WEST 8033 W HOLLING RD  ,ALDA ,NE  , , ,-30.97,-1,29153.06
12/7/2015,10:04,FP #2S ,TA-FLORENCE I 75 AND ST RT 18  ,FLORENCE ,KY  ,106.55,2.43,-258.8,-1, 
12/7/2015,10:04,FP Discount ,TA-FLORENCE I 75 AND ST RT 18  ,FLORENCE ,KY  , , ,64.89, , 
12/7/2015,10:04,FP TOTAL ,TA-FLORENCE I 75 AND ST RT 18  ,FLORENCE ,KY  , , ,-193.91,-1,28958.15
12/7/2015,13:00,FP #2S ,TA-EUGENE 32910 E PEARL ST  ,COBURG ,OR  ,173.23,2.18,-377.48,-1, 
12/7/2015,13:00,FP OTH ,TA-EUGENE 32910 E PEARL ST  ,COBURG ,OR  ,17.01,3,-51.02, , 
12/7/2015,13:00,FP Discount ,TA-EUGENE 32910 E PEARL ST  ,COBURG ,OR  , , ,71.37, , 
12/7/2015,13:00,FP TOTAL ,TA-EUGENE 32910 E PEARL ST  ,COBURG ,OR  , , ,-357.13,-1,28600.02
12/7/2015,14:55,FP #2S ,TA-GARY 2510 BURR ST.  ,GARY ,IN  ,131.38,2.5,-327.92,-1, 
12/7/2015,14:55,FP Discount ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,85.4, , 
12/7/2015,14:55,FP TOTAL ,TA-GARY 2510 BURR ST.  ,GARY ,IN  , , ,-242.52,-1,28356.5
12/7/2015,15:38,FP #2S ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,65.41,2.2,-143.85,-1, 
12/7/2015,15:38,FP OTH ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  ,0.82,2.84,-2.33, , 
12/7/2015,15:38,FP Discount ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,12.1, , 
12/7/2015,15:38,FP TOTAL ,TA-CHEYENNE 4000 I-80 SERVICE RD  ,BURNS ,WY  , , ,-134.08,-1,28221.42
12/7/2015,18:36,FP #2S ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  ,96.34,2.28,-219.57,-1, 
12/7/2015,18:36,FP Discount ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  , , ,56.65, , 
12/7/2015,18:36,FP TOTAL ,TA-OKLAHOMA CITY WEST 501 SOUTH MORGAN RD  ,OKLAHOMA CITY ,OK  , , ,-162.92,-1,28057.5
12/7/2015,19:58,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,74.09,2.46,-182.2,-1, 
12/7/2015,19:58,FP OTH ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,6.84,2.85,-19.48, , 
12/7/2015,19:58,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,36.6, , 
12/7/2015,19:58,FP TOTAL ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,-165.08,-1,27891.42
12/7/2015,21:08,FP #2S ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  ,135.75,2.67,-362.31,-1, 
12/7/2015,21:08,FP OTH ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  ,8.22,2.86,-23.5, , 
12/7/2015,21:08,FP Discount ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  , , ,67.88, , 
12/7/2015,21:08,FP TOTAL ,PETRO ONTARIO EAST 4325 GUASTI ROAD  ,ONTARIO ,CA  , , ,-317.93,-1,27572.49
12/7/2015,21:40,FP #2S ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  ,66.93,2.46,-164.58,-1, 
12/7/2015,21:40,FP Discount ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,24.56, , 
12/7/2015,21:40,FP TOTAL ,TA-HOLBROOK (FUEL) 3747 EXPRESS DRIVE  ,HOLBROOK ,AZ  , , ,-140.02,-1,27431.47
